split,method,rank,group,n_values,mae,bias,spearman
audit,full_K0,0,pair,600,0.05040006468693415,-0.05040006468693415,0.9424354437495911
audit,full_K0,0,triple_rand,360,0.07103767792383829,-0.07063492834568023,0.96484688972379
audit,full_K0,0,triple_top,360,0.1406127883328332,-0.1406127883328332,0.8391655794449605
audit,full_K0,0,wide_random,120,0.10014155010382335,-0.10014155010382335,0.9850475727481075
audit,full_K1,0,pair,600,0.05174684147040049,-0.05173957765102386,0.9318121709723413
audit,full_K1,0,triple_rand,360,0.06856234636571672,-0.06824467281500499,0.9556976835568635
audit,full_K1,0,triple_top,360,0.13398614244328605,-0.13398614244328605,0.8416395215009086
audit,full_K1,0,wide_random,120,0.10688390781482061,-0.10688390781482061,0.9820543093270365
audit,full_K25,0,pair,600,0.028670075237751006,-0.028548418581485747,0.9664847078026292
audit,full_K25,0,triple_rand,360,0.037396144370237985,-0.03700573560264375,0.9840585189700538
audit,full_K25,0,triple_top,360,0.08452756785684162,-0.08452756785684162,0.9307062554495019
audit,full_K25,0,wide_random,120,0.06281291792790095,-0.06245732357104619,0.9897284533648167
audit,full_K5,0,pair,600,0.04033923288186391,-0.0402886039018631,0.9558801744209406
audit,full_K5,0,triple_rand,360,0.057502244081762105,-0.05743426067961587,0.9716516343334508
audit,full_K5,0,triple_top,360,0.1187111465467347,-0.1187111465467347,0.8667461425885488
audit,full_K5,0,wide_random,120,0.09607430944840113,-0.09607430944840113,0.9844641989027014
audit,gradmap_1024,4,pair,600,0.07013901044925054,-0.07013901044925054,0.9442906152920815
audit,gradmap_1024,4,triple_rand,360,0.09146846830844879,-0.09146846830844879,0.9628492503800183
audit,gradmap_1024,4,triple_top,360,0.16113947530587514,-0.16113947530587514,0.8264127552424531
audit,gradmap_1024,4,wide_random,120,0.1256115734577179,-0.1256115734577179,0.9821793180081948
audit,gradmap_1024,8,pair,600,0.06642466276884079,-0.06642170161008835,0.9438164472424246
audit,gradmap_1024,8,triple_rand,360,0.08503304455015394,-0.08503304455015394,0.96398891966759
audit,gradmap_1024,8,triple_top,360,0.15307774626546436,-0.15307774626546436,0.8274937821022281
audit,gradmap_1024,8,wide_random,120,0.11984322965145111,-0.11984322965145111,0.9853948190846586
audit,gradmap_1024,16,pair,600,0.062041289409001665,-0.062039432922999065,0.9467427891109218
audit,gradmap_1024,16,triple_rand,360,0.07928901463747025,-0.07918707446919547,0.9640374645404604
audit,gradmap_1024,16,triple_top,360,0.14383212543196147,-0.14383212543196147,0.8287569091325292
audit,gradmap_1024,16,wide_random,120,0.11273936480283737,-0.11273936480283737,0.9823529411764703
audit,gradmap_1024,32,pair,600,0.05418915738662084,-0.05412910749514898,0.9478134661485169
