rank,split,metric,mean,median
4,train,delta_energy_fraction,0.7209998965263367,0.7409141063690186
4,validation_audit,delta_energy_fraction,0.7377513647079468,0.7514122128486633
8,train,delta_energy_fraction,0.7562270164489746,0.7778353691101074
8,validation_audit,delta_energy_fraction,0.7660600543022156,0.7805562615394592
16,train,delta_energy_fraction,0.8039405941963196,0.8185180425643921
16,validation_audit,delta_energy_fraction,0.8024876713752747,0.813319742679596
32,train,delta_energy_fraction,0.8548344969749451,0.8685798645019531
32,validation_audit,delta_energy_fraction,0.8425272703170776,0.8531782031059265
64,train,delta_energy_fraction,0.9000945091247559,0.9088977575302124
64,validation_audit,delta_energy_fraction,0.8692930340766907,0.8797070980072021
128,train,delta_energy_fraction,0.9410744309425354,0.9421389102935791
128,validation_audit,delta_energy_fraction,0.8841696381568909,0.8934329748153687
192,train,delta_energy_fraction,0.9641855359077454,0.9642512798309326
192,validation_audit,delta_energy_fraction,0.8903452157974243,0.900665283203125
256,train,delta_energy_fraction,0.9802806973457336,0.9794523119926453
256,validation_audit,delta_energy_fraction,0.8942087888717651,0.904407799243927
320,train,delta_energy_fraction,0.9918119311332703,0.9943591356277466
320,validation_audit,delta_energy_fraction,0.8968315720558167,0.9068059921264648
