split,method,rank,group,n_values,mae,bias,spearman
audit,full_K0,0,all,1440,0.08225777269237572,-0.08215708529783619,0.9348193920677992
audit,full_K1,0,all,1440,0.08110529846615261,-0.08102285348706775,0.934670664848736
audit,full_K25,0,all,1440,0.047661202566491236,-0.04748327723807759,0.9704310460330206
audit,full_K5,0,all,1440,0.06886755381193425,-0.06882946255306403,0.9491022883217858
audit,gradmap_1024,4,all,1440,0.1028442047122452,-0.1028442047122452,0.9342623669233856
audit,gradmap_1024,8,all,1440,0.0971915763285425,-0.09719034251239565,0.934793450418985
audit,gradmap_1024,16,all,1440,0.09102576933801174,-0.09099951076010863,0.9366394776784752
audit,gradmap_1024,32,all,1440,0.08342950464122825,-0.08332117427554396,0.9386590289260667
audit,gradmap_1024,64,all,1440,0.07848750472896629,-0.0784297853294346,0.9415959697527099
audit,gradmap_1024,128,all,1440,0.07424047460986508,-0.07421802468597889,0.9462107368685884
audit,gradmap_1024,192,all,1440,0.07200125257174174,-0.07197508033778932,0.9464775416086978
audit,gradmap_1024,256,all,1440,0.07132356046802468,-0.07129093040194777,0.946755546148258
audit,gradmap_1024,320,all,1440,0.07836749317745367,-0.07830569814476702,0.9461878211323628
audit,gradmap_256,4,all,1440,0.10439554850260417,-0.10439554850260417,0.9331913010114138
audit,gradmap_256,8,all,1440,0.09910691355665525,-0.09910691355665525,0.9338947992186194
audit,gradmap_256,16,all,1440,0.0936338492979606,-0.09359814719193511,0.9346718558948569
audit,gradmap_256,32,all,1440,0.08381275422871112,-0.08371242363419798,0.9378866714724551
audit,gradmap_256,64,all,1440,0.07718598523901568,-0.07709946346779664,0.9437041160451799
audit,gradmap_256,128,all,1440,0.07271011219256454,-0.07261987117429575,0.9469091616600462
audit,gradmap_256,192,all,1440,0.07094315832687749,-0.07088387869298458,0.9458828791365388
audit,gradmap_256,256,all,1440,0.07138581694000297,-0.07133185851077238,0.9441632336648171
audit,gradmap_256,320,all,1440,0.07692116445137395,-0.07684283360011047,0.9479595369363351
audit,gradmask_1024,4,all,1440,0.10023245352009932,-0.10022835636304485,0.9340368809515753
audit,gradmask_1024,8,all,1440,0.09412943203416135,-0.0941168051213026,0.9359439220147734
audit,gradmask_1024,16,all,1440,0.08667359836399555,-0.0866075684212976,0.939078410482194
audit,gradmask_1024,32,all,1440,0.08011281651755174,-0.08001612329648601,0.938637277618309
audit,gradmask_1024,64,all,1440,0.07471728585660457,-0.07464319628973802,0.9414937215362846
audit,gradmask_1024,128,all,1440,0.070812695639001,-0.07072986231909859,0.9451101281919237
audit,gradmask_1024,192,all,1440,0.0698714855644438,-0.06980970948934555,0.946013999843146
audit,gradmask_1024,256,all,1440,0.07413060346411335,-0.07402896148463091,0.9474133872631887
audit,gradmask_1024,320,all,1440,0.07309578139748839,-0.07299689778851139,0.9480036309656872
audit,gradmask_256,4,all,1440,0.10099828851719697,-0.1009956367727783,0.9338413151633896
audit,gradmask_256,8,all,1440,0.09475510555009047,-0.09474274404346943,0.935741966337713
audit,gradmask_256,16,all,1440,0.08740584933095508,-0.08733356909619437,0.9385052337044842
audit,gradmask_256,32,all,1440,0.07998776017791695,-0.07987572041650613,0.9394214565750205
audit,gradmask_256,64,all,1440,0.07395328395068645,-0.07385315766765012,0.9423194778952583
audit,gradmask_256,128,all,1440,0.07083034780290391,-0.07072756091753642,0.9449557109175201
audit,gradmask_256,192,all,1440,0.06999614723026752,-0.06992591375278102,0.9453835719092015
audit,gradmask_256,256,all,1440,0.07398187447753217,-0.07387144611113601,0.947844685125735
audit,gradmask_256,320,all,1440,0.07300350885424349,-0.0728961353086763,0.948709911883919
audit,lora_lr0.001_K1,4,all,1440,0.08141924387051,-0.08131801862683562,0.9358490135911905
audit,lora_lr0.001_K1,16,all,1440,0.0792195533712705,-0.0791229580839475,0.9382761920734393
audit,lora_lr0.001_K25,4,all,1440,0.06645302350322406,-0.0663016831709279,0.947563257319827
audit,lora_lr0.001_K25,16,all,1440,0.057968360723720656,-0.05768882570167382,0.9583737935503642
audit,lora_lr0.001_K5,4,all,1440,0.07766335577600532,-0.07755739891694652,0.9399582151052414
audit,lora_lr0.001_K5,16,all,1440,0.07058670351074801,-0.07047280499504673,0.9456991638679226
audit,lora_lr0.005_K1,4,all,1440,0.07872166799174415,-0.07861933095587624,0.9390424631814952
audit,lora_lr0.005_K1,16,all,1440,0.07332054206894503,-0.07324380042652288,0.9447612832291421
audit,lora_lr0.005_K25,4,all,1440,0.05316630254189173,-0.05293328935901324,0.9659953131004619
audit,lora_lr0.005_K25,16,all,1440,0.043170851096510886,-0.042974281517995726,0.9813923115758383
audit,lora_lr0.005_K5,4,all,1440,0.07014928261439006,-0.07002397510740492,0.9448937152261614
audit,lora_lr0.005_K5,16,all,1440,0.06794539081553617,-0.06783023439347743,0.9525315041240335
audit,lora_lr0.01_K1,4,all,1440,0.07656567287113931,-0.07646393577257792,0.94134985718928
audit,lora_lr0.01_K1,16,all,1440,0.07614431045949459,-0.07609863359895018,0.9420515682925243
audit,lora_lr0.01_K25,4,all,1440,0.04649724947909514,-0.04633452333509922,0.9780279582286161
audit,lora_lr0.01_K25,16,all,1440,0.0459551051672962,-0.04575132905609078,0.9808042967264252
audit,lora_lr0.01_K5,4,all,1440,0.06827841624617577,-0.06816138765878148,0.9483883628711756
audit,lora_lr0.01_K5,16,all,1440,0.07190704225665993,-0.07183533397813638,0.953345651078991
audit,lora_lr0.02_K1,4,all,1440,0.07485876079234811,-0.0747631331698762,0.9430822259306422
audit,lora_lr0.02_K1,16,all,1440,0.09124050707452827,-0.09120987103217178,0.9231872223196901
audit,lora_lr0.05_K1,4,all,1440,0.08065927566753493,-0.0806079009340869,0.9392363167462029
audit,lora_lr0.05_K1,16,all,1440,0.08799479285048115,-0.08796817912823623,0.9299177765054344
audit,lora_lr0.1_K1,4,all,1440,0.18724013401402367,-0.1872381455368466,0.7274924367727846
audit,lora_lr0.1_K1,16,all,1440,0.31312385578122404,-0.31312385578122404,0.3966513006095128
audit,lora_lr0.2_K1,4,all,1440,0.33530355389747357,-0.33530355389747357,0.2839345811176255
audit,lora_lr0.2_K1,16,all,1440,0.3558264248900943,-0.3558264248900943,0.03484701123973778
audit,maskmap,4,all,1440,0.1022699449211359,-0.1022633109241724,0.9334615146688304
audit,maskmap,8,all,1440,0.0984721592730946,-0.09845877745085292,0.9341505584968353
audit,maskmap,16,all,1440,0.0922321761233939,-0.09219588343467977,0.9362748100942884
audit,maskmap,32,all,1440,0.08712437223229143,-0.08708122335374355,0.9308414044623503
audit,maskmap,64,all,1440,0.084575206745002,-0.08456641936467754,0.9333188217943129
audit,maskmap,128,all,1440,0.08408262315723632,-0.08407362500826518,0.9334560571683098
audit,maskmap,192,all,1440,0.08403688975506358,-0.08402759705980618,0.9335722721904386
audit,maskmap,256,all,1440,0.08401172190076775,-0.08400259493953652,0.933636375718275
audit,maskmap,320,all,1440,0.08400458234051864,-0.08399522300395701,0.9336913726951693
audit,projected_teacher,4,all,1440,0.09710448479486836,-0.09708870388567448,0.9339623709518677
audit,projected_teacher,8,all,1440,0.09028741841514905,-0.09025198080473476,0.935784523221521
audit,projected_teacher,16,all,1440,0.08239680785271856,-0.08228770155045721,0.9396926428385808
audit,projected_teacher,32,all,1440,0.07317103611098395,-0.07304048637549082,0.942217244653471
audit,projected_teacher,64,all,1440,0.06660028576023048,-0.06647274779776732,0.9481423832859034
audit,projected_teacher,128,all,1440,0.06303054400616222,-0.06291791415876813,0.9524161719918866
audit,projected_teacher,192,all,1440,0.06174217528767056,-0.061633244653542835,0.9541976308883495
audit,projected_teacher,256,all,1440,0.061058345726794666,-0.06094147749245167,0.9550508374876527
audit,projected_teacher,320,all,1440,0.060551258838839,-0.06044167329867681,0.9557104394713254
audit,scalar_grad1024,4,all,1440,0.08743304928971661,-0.08732989078594579,0.9343454112113202
audit,scalar_grad1024,8,all,1440,0.0834164809435606,-0.08331986529131731,0.9363373512741986
audit,scalar_grad1024,16,all,1440,0.08443295268548859,-0.08434523956643211,0.9309989365374357
audit,scalar_grad1024,32,all,1440,0.09161574931608306,-0.0914803327785598,0.9115349671469914
audit,scalar_grad1024,64,all,1440,0.09115781399110953,-0.09099365717007055,0.8893369896803599
audit,scalar_grad1024,128,all,1440,0.0936997336232,-0.0935481048706505,0.8755082454934263
audit,scalar_grad1024,192,all,1440,0.09568325322535302,-0.09554547071456909,0.8679262058512461
audit,scalar_grad1024,256,all,1440,0.09700930693911182,-0.09687359213001198,0.8623318527963846
audit,scalar_grad1024,320,all,1440,0.09817290041181777,-0.09803719893097877,0.8583251377969295
audit,scalar_grad256,4,all,1440,0.0904283086872763,-0.09035378193689717,0.9295630580510721
audit,scalar_grad256,8,all,1440,0.08770748869412476,-0.08761189443369706,0.9313022584472611
audit,scalar_grad256,16,all,1440,0.08679196172290378,-0.08673940276106198,0.9247468907851204
audit,scalar_grad256,32,all,1440,0.09008730318811205,-0.0900216355919838,0.9147935560933149
audit,scalar_grad256,64,all,1440,0.0869382912086116,-0.086786683400472,0.9060369101915109
audit,scalar_grad256,128,all,1440,0.08793508849210209,-0.08777124823795425,0.9010474193446165
audit,scalar_grad256,192,all,1440,0.08868533654345406,-0.08852334535784191,0.899090526228976
audit,scalar_grad256,256,all,1440,0.08918722565803262,-0.08903242809077104,0.897601311617158
audit,scalar_grad256,320,all,1440,0.08976712090273699,-0.08961718243857225,0.8969816276030016
validation,full_K0,0,all,936,0.06953718723394932,-0.069334809978803,0.9622675190694576
validation,full_K1,0,all,936,0.06817865276183838,-0.06794685526536061,0.9643465255016884
validation,full_K25,0,all,936,0.03962510900619703,-0.03929608869246948,0.9840283277737768
validation,full_K5,0,all,936,0.05819929715914604,-0.058024568308112964,0.9693765144318836
validation,gradmap_1024,4,all,936,0.09186002873202674,-0.09183144448404638,0.9625400566538052
validation,gradmap_1024,8,all,936,0.08737571225461797,-0.08729525706452182,0.9630220636104473
validation,gradmap_1024,16,all,936,0.08167542810114022,-0.08154960562530746,0.9658508296453913
validation,gradmap_1024,32,all,936,0.07491424889900745,-0.07478926585525529,0.9647275338630399
validation,gradmap_1024,64,all,936,0.0691295633586044,-0.06906102336624749,0.96752106656737
validation,gradmap_1024,128,all,936,0.06307088411771335,-0.06298155700549102,0.9708462586305701
validation,gradmap_1024,192,all,936,0.06054924874224214,-0.06046502279420184,0.9712885502331335
validation,gradmap_1024,256,all,936,0.06089512054991518,-0.060785931845506035,0.9694160882344149
validation,gradmap_1024,320,all,936,0.06704971856541103,-0.06692690803454472,0.9710227625453576
validation,gradmap_256,4,all,936,0.09342931045426263,-0.09341889950964186,0.9616212985786553
validation,gradmap_256,8,all,936,0.08906770045431252,-0.08900439739227295,0.9619313970221745
validation,gradmap_256,16,all,936,0.08352882332271999,-0.08341759430547045,0.9651278461184524
validation,gradmap_256,32,all,936,0.0745605402904698,-0.07438914127584197,0.963963288737236
validation,gradmap_256,64,all,936,0.06893489592605168,-0.06872609639779115,0.9663180958456853
validation,gradmap_256,128,all,936,0.06254446054370995,-0.06235201650450372,0.9696485587412632
validation,gradmap_256,192,all,936,0.06022232382470726,-0.06006969441460748,0.9706449479970201
validation,gradmap_256,256,all,936,0.06073413738328168,-0.06059135458408258,0.9694438410581669
validation,gradmap_256,320,all,936,0.06593111940683463,-0.06581670001276538,0.9703381338155821
validation,gradmask_1024,4,all,936,0.08953815883296168,-0.08951726931537318,0.9607948850698996
validation,gradmask_1024,8,all,936,0.08310159837078844,-0.08302031508368304,0.962956897428895
validation,gradmask_1024,16,all,936,0.07493372796437679,-0.07482964959409502,0.9668093829502074
validation,gradmask_1024,32,all,936,0.06719366441934536,-0.06706975056574895,0.966484770839089
validation,gradmask_1024,64,all,936,0.06127306137584213,-0.061137161130069666,0.9709723441880515
validation,gradmask_1024,128,all,936,0.059120518338476494,-0.05898350279810082,0.9717041087802989
validation,gradmask_1024,192,all,936,0.05817539365882547,-0.05803905758592817,0.971653256665124
validation,gradmask_1024,256,all,936,0.06266179050390537,-0.06252867499223122,0.9719290350731428
validation,gradmask_1024,320,all,936,0.0616180729916972,-0.06149067570511092,0.9722442303965452
validation,gradmask_256,4,all,936,0.08997783281354822,-0.08995553061493441,0.9608052310983075
validation,gradmask_256,8,all,936,0.08380767340079331,-0.08372079886687107,0.9628159090249664
validation,gradmask_256,16,all,936,0.0758360168363294,-0.07573065645674355,0.9666579533942127
validation,gradmask_256,32,all,936,0.06757121641411741,-0.06741747260093689,0.9662930376404544
validation,gradmask_256,64,all,936,0.061459806930815056,-0.061326710395833366,0.9698908254499905
validation,gradmask_256,128,all,936,0.05993491946122585,-0.05982456095198281,0.9696462304397938
validation,gradmask_256,192,all,936,0.0589367935163343,-0.058830833906291895,0.9703603005124753
validation,gradmask_256,256,all,936,0.06274067922535105,-0.06261753692076756,0.9710400642999024
validation,gradmask_256,320,all,936,0.06183928544195289,-0.06171908745398888,0.9713906997220817
validation,lora_lr0.001_K1,4,all,936,0.06876697002822517,-0.06856394310792287,0.962897730066357
validation,lora_lr0.001_K1,16,all,936,0.06683193949552682,-0.06663080005564241,0.9646274753521613
validation,lora_lr0.001_K25,4,all,936,0.05489082074063456,-0.054562816253075234,0.9708879396485929
validation,lora_lr0.001_K25,16,all,936,0.04739526570098013,-0.046860987368302465,0.9762201717177889
validation,lora_lr0.001_K5,4,all,936,0.06536668290694554,-0.06515122663516265,0.9653186405903487
validation,lora_lr0.001_K5,16,all,936,0.058986979799392894,-0.05874284197632064,0.9699618625899572
validation,lora_lr0.005_K1,4,all,936,0.0662868063037212,-0.06607906246541911,0.9647896465182303
validation,lora_lr0.005_K1,16,all,936,0.06153915281224455,-0.06135770506583727,0.9690319018093446
validation,lora_lr0.005_K25,4,all,936,0.04582394379326421,-0.04539835134632567,0.9778649185508799
validation,lora_lr0.005_K25,16,all,936,0.03944153160366238,-0.03907810068792767,0.9869429799492065
validation,lora_lr0.005_K5,4,all,936,0.05857103063255294,-0.058273126617965534,0.9696107731920752
validation,lora_lr0.005_K5,16,all,936,0.05711028572076406,-0.05685504831564732,0.9708480443504068
validation,lora_lr0.01_K1,4,all,936,0.06428464922385338,-0.06407594763570362,0.9662143006584917
validation,lora_lr0.01_K1,16,all,936,0.06390477869755183,-0.06374020059394021,0.9680972007795885
validation,lora_lr0.01_K25,4,all,936,0.04177422509488896,-0.041441436443063945,0.9849050421171966
validation,lora_lr0.01_K25,16,all,936,0.04282098295342209,-0.04249808090364831,0.9853320620687291
validation,lora_lr0.01_K5,4,all,936,0.057722704723859444,-0.05749192547339659,0.9686946972736514
validation,lora_lr0.01_K5,16,all,936,0.061543932773618616,-0.061254021130565904,0.9727536526850287
validation,lora_lr0.02_K1,4,all,936,0.06266191977466273,-0.062459394526787296,0.9675963626363102
validation,lora_lr0.02_K1,16,all,936,0.07750347326708655,-0.07736352754709049,0.9551001901323879
validation,lora_lr0.05_K1,4,all,936,0.06762662536313391,-0.06745512866311604,0.9654802349123425
