component,singular_value,train_cumulative_energy
1,63.241673,0.6810809
2,12.125338,0.7061177
3,10.342155,0.72433203
4,7.72081,0.73448324
5,7.5559344,0.74420553
6,7.221897,0.75308716
7,6.977759,0.76137847
8,6.630049,0.76886404
9,6.526184,0.77611697
10,6.13523,0.7825269
11,5.7976575,0.7882509
12,5.644764,0.7936769
13,5.537796,0.79889923
14,5.3188133,0.8037167
15,5.211826,0.80834234
16,5.046371,0.81267893
17,4.9224696,0.8168052
18,4.849432,0.8208099
19,4.7704396,0.8246853
20,4.6446066,0.8283589
21,4.5594974,0.83189905
22,4.439049,0.83525467
23,4.3815007,0.83852386
24,4.1835413,0.8415043
25,4.127378,0.84440523
26,4.057987,0.84720945
27,4.0437407,0.84999406
28,3.888873,0.85256946
29,3.809001,0.8550401
30,3.7125177,0.8573872
31,3.6617837,0.8596706
32,3.631624,0.8619164
33,3.579631,0.86409855
34,3.4213698,0.8660919
35,3.3877237,0.8680462
36,3.3430498,0.8699494
37,3.2932782,0.8717963
38,3.2048187,0.87354535
39,3.1227143,0.87520593
40,3.0490413,0.87678915
41,2.9857144,0.8783072
42,2.9784763,0.8798179
43,2.9316235,0.8812814
44,2.8929036,0.8827065
45,2.838939,0.884079
46,2.7779236,0.8853931
47,2.7656815,0.8866956
48,2.7430027,0.8879769
49,2.6777565,0.88919795
50,2.6713665,0.89041317
51,2.6372075,0.89159757
52,2.579508,0.89273065
53,2.569737,0.89385515
54,2.5437493,0.89495707
55,2.4996274,0.89602107
56,2.4758801,0.8970649
57,2.4633162,0.89809823
58,2.3911424,0.89907193
59,2.371426,0.90002954
60,2.363222,0.9009806
61,2.3508325,0.9019217
62,2.298639,0.9028215
63,2.2890456,0.90371376
64,2.2730086,0.9045936
65,2.2638123,0.9054663
66,2.2421641,0.9063224
67,2.2131534,0.9071565
68,2.2092597,0.90798765
69,2.1712463,0.90879047
70,2.1567307,0.90958256
71,2.1429923,0.91036457
72,2.1288013,0.9111363
73,2.11385,0.91189724
74,2.1044474,0.91265136
75,2.0858214,0.91339225
76,2.0754511,0.9141258
77,2.0607982,0.91484904
78,2.0232995,0.9155462
79,2.0133243,0.91623646
80,2.0025458,0.9169194
81,1.9875792,0.91759217
82,1.9855129,0.9182635
83,1.9664952,0.91892207
84,1.9581794,0.91957504
85,1.9506538,0.920223
86,1.9465029,0.9208683
87,1.934944,0.92150587
88,1.9203995,0.92213386
89,1.9151,0.9227584
90,1.8944949,0.9233696
91,1.8782738,0.92397034
92,1.8646947,0.92456245
93,1.8561053,0.92514914
94,1.84607,0.9257295
95,1.8330604,0.9263018
96,1.8232474,0.92686784
97,1.8126978,0.92742735
98,1.792858,0.92797476
99,1.7882029,0.9285193
100,1.7762514,0.92905664
101,1.7691506,0.9295896
102,1.7657913,0.9301206
103,1.7595582,0.93064785
104,1.7463323,0.93116724
105,1.7397535,0.93168265
106,1.7384945,0.93219733
107,1.7334512,0.93270904
108,1.7204992,0.9332131
109,1.7136304,0.9337132
110,1.7121102,0.9342123
111,1.697311,0.93470293
112,1.6911837,0.9351899
113,1.6829202,0.9356722
114,1.674959,0.93614995
115,1.6673635,0.93662345
116,1.666487,0.9370964
117,1.6555339,0.9375631
118,1.6520222,0.93802786
119,1.6417786,0.9384868
120,1.6309491,0.9389398
121,1.6245527,0.9393892
122,1.6142387,0.93983305
123,1.6102161,0.94027454
124,1.6027539,0.940712
125,1.5971358,0.9411464
126,1.5914085,0.9415777
127,1.5883821,0.9420073
128,1.5776278,0.94243115
129,1.5725157,0.9428522
130,1.5695175,0.9432717
131,1.5613531,0.94368684
132,1.555578,0.94409895
133,1.5494118,0.9445078
134,1.5446638,0.94491404
135,1.5349337,0.94531524
136,1.5334661,0.9457157
137,1.5258187,0.94611216
138,1.5227847,0.94650704
139,1.512082,0.94689643
140,1.5086914,0.9472841
141,1.5026239,0.94766855
142,1.5009495,0.9480522
143,1.4952323,0.948433
144,1.4903238,0.94881123
145,1.48704,0.9491878
146,1.4836708,0.94956267
147,1.4781455,0.9499347
148,1.475544,0.9503055
149,1.4651598,0.950671
150,1.4610343,0.95103455
151,1.4581277,0.9513966
152,1.4552786,0.95175725
153,1.4504056,0.9521154
154,1.4425993,0.9524698
155,1.4364755,0.9528212
156,1.4344059,0.9531716
157,1.4283152,0.953519
158,1.4234987,0.9538641
159,1.4200617,0.9542075
160,1.416923,0.9545494
161,1.4097631,0.9548878
162,1.4036554,0.9552233
163,1.402275,0.9555582
164,1.3968594,0.9558904
165,1.3943589,0.9562215
166,1.3939846,0.9565525
167,1.3899375,0.9568815
168,1.3819786,0.9572067
169,1.3789088,0.9575305
170,1.3741022,0.957852
171,1.3715668,0.9581724
172,1.3701148,0.9584921
173,1.3628877,0.9588084
174,1.36109,0.9591239
175,1.3586651,0.95943826
176,1.3532794,0.9597502
177,1.3492347,0.9600602
178,1.3446962,0.9603681
179,1.3415855,0.9606746
180,1.3379887,0.9609794
181,1.3372595,0.96128386
182,1.3318623,0.96158594
183,1.3275113,0.96188605
184,1.3228893,0.9621841
185,1.3216041,0.9624815
186,1.3196743,0.9627781
187,1.3162645,0.9630731
188,1.3151138,0.96336764
189,1.3075796,0.9636588
190,1.3059101,0.96394926
191,1.300977,0.96423745
192,1.2949796,0.964523
193,1.2925341,0.96480745
194,1.2906814,0.96509117
195,1.2846082,0.9653722
196,1.2832427,0.9656526
197,1.2797084,0.9659315
198,1.2770331,0.9662092
199,1.2731192,0.96648514
200,1.2700409,0.9667598
201,1.265993,0.96703273
202,1.2656822,0.96730554
203,1.2604215,0.9675761
204,1.2598246,0.96784633
205,1.2573183,0.96811557
206,1.253878,0.9683833
207,1.246246,0.96864784
208,1.2439104,0.9689113
209,1.2400284,0.96917313
210,1.2382894,0.96943426
211,1.2356836,0.96969426
212,1.232891,0.9699531
213,1.2322947,0.9702117
214,1.2287532,0.9704688
215,1.222064,0.97072315
216,1.220654,0.97097695
217,1.2152113,0.97122836
