group,requested_rank,global_effective_rank,routed_effective_rank,n_train,n_heldout_targets,global_mean_energy,routed_mean_energy,delta_routed_minus_global
pair,4,4,4,200,80,0.7660714387893677,0.7695542573928833,0.003482818603515625
pair,8,8,8,200,80,0.7890055775642395,0.798315167427063,0.009309589862823486
pair,16,16,16,200,80,0.8240435719490051,0.8333438038825989,0.00930023193359375
pair,32,32,32,200,80,0.8620139956474304,0.8662813901901245,0.004267394542694092
pair,64,64,64,200,80,0.8869263529777527,0.886357307434082,-0.0005690455436706543
pair,128,128,128,200,80,0.8996127247810364,0.8936744928359985,-0.005938231945037842
triple,4,4,4,160,100,0.7019760012626648,0.7042998671531677,0.0023238658905029297
triple,8,8,8,160,100,0.7318349480628967,0.7374113202095032,0.005576372146606445
triple,16,16,16,160,100,0.7687094211578369,0.7757807374000549,0.007071316242218018
triple,32,32,32,160,100,0.8098261952400208,0.807844340801239,-0.0019818544387817383
triple,64,64,64,160,100,0.8408290147781372,0.8314642906188965,-0.009364724159240723
triple,128,128,128,160,100,0.8590456247329712,0.8457311987876892,-0.013314425945281982
wide,4,4,4,24,18,0.4113355875015259,0.5398552417755127,0.12851965427398682
wide,8,8,8,24,18,0.45042502880096436,0.5640742778778076,0.11364924907684326
wide,16,16,16,24,18,0.5541751384735107,0.5854945182800293,0.031319379806518555
wide,32,32,24,24,18,0.6177077889442444,0.5991214513778687,-0.018586337566375732
wide,64,64,24,24,18,0.671017050743103,0.5991214513778687,-0.07189559936523438
wide,128,128,24,24,18,0.6996364593505859,0.5991214513778687,-0.10051500797271729
