rank,support,model,ridge_relative,val_coefficient_mse,eta
4,256,scalar,,2.4115540981292725,65.23652648925781
4,256,gradmap_256,0.01,0.17963566200357878,
4,256,gradmask_256,0.01,0.0429021749703197,
4,1024,scalar,,2.6114706993103027,63.38262176513672
4,1024,gradmap_1024,0.01,0.15615808798092332,
4,1024,gradmask_1024,0.01,0.04095744737621825,
4,0,maskmap,0.01,0.05499333464504741,
8,256,scalar,,1.3120688199996948,41.88340377807617
8,256,gradmap_256,0.01,0.10755576331874421,
8,256,gradmask_256,0.01,0.023611746271363015,
8,1024,scalar,,1.3726602792739868,41.30702590942383
8,1024,gradmap_1024,0.01,0.09196476950963613,
8,1024,gradmask_1024,1e-06,0.023811546929510135,
8,0,maskmap,0.01,0.03753077699451505,
16,256,scalar,,0.6965923309326172,34.148860931396484
16,256,gradmap_256,0.01,0.06551019420973961,
16,256,gradmask_256,0.01,0.01450396085818076,
16,1024,scalar,,0.7142109274864197,36.179351806640625
16,1024,gradmap_1024,0.01,0.05926244352822907,
16,1024,gradmask_1024,0.01,0.015384922181749396,
16,0,maskmap,0.01,0.02439645779973295,
32,256,scalar,,0.3704405426979065,24.332151412963867
32,256,gradmap_256,0.01,0.036031744631954916,
32,256,gradmask_256,0.01,0.01010631530444735,
32,1024,scalar,,0.37423425912857056,27.947526931762695
32,1024,gradmap_1024,0.01,0.035539314505073194,
32,1024,gradmask_1024,0.01,0.010765446604746572,
32,0,maskmap,0.01,0.01699384662557998,
64,256,scalar,,0.19783025979995728,14.117119789123535
64,256,gradmap_256,0.01,0.018024444189591364,
64,256,gradmask_256,0.01,0.006991619074431318,
64,1024,scalar,,0.19769559800624847,17.855478286743164
64,1024,gradmap_1024,0.01,0.01751252229622061,
64,1024,gradmask_1024,0.01,0.0072603198299606864,
64,0,maskmap,0.01,0.012114178167554087,
128,256,scalar,,0.10183097422122955,11.288948059082031
128,256,gradmap_256,0.01,0.00830512530928909,
128,256,gradmask_256,0.01,0.005179445281385989,
128,1024,scalar,,0.10155254602432251,14.696365356445312
128,1024,gradmap_1024,0.01,0.008316861286714178,
128,1024,gradmask_1024,0.01,0.005168091987123429,
128,0,maskmap,0.01,0.0077025000375803504,
192,256,scalar,,0.06876310706138611,9.96711254119873
192,256,gradmap_256,0.01,0.005897999272091267,
192,256,gradmask_256,0.01,0.004441222829657128,
192,1024,scalar,,0.06854180246591568,13.240469932556152
192,1024,gradmap_1024,0.01,0.0058385574964171716,
192,1024,gradmask_1024,0.01,0.00423478103487322,
192,0,maskmap,0.01,0.005626542017504038,
256,256,scalar,,0.05197818949818611,9.19294548034668
256,256,gradmap_256,0.01,0.005011470270925422,
256,256,gradmask_256,1.0,0.0036448697864177684,
256,1024,scalar,,0.051810313016176224,12.299947738647461
256,1024,gradmap_1024,0.01,0.004941328447274424,
256,1024,gradmask_1024,1.0,0.0038361456570766405,
256,0,maskmap,0.01,0.004450223497619259,
320,256,scalar,,0.04181507229804993,8.642401695251465
320,256,gradmap_256,1.0,0.0039352902105043155,
320,256,gradmask_256,1.0,0.002877344749469282,
320,1024,scalar,,0.0416736826300621,11.66291618347168
320,1024,gradmap_1024,1.0,0.004347030155215478,
320,1024,gradmask_1024,1.0,0.0030511863489598337,
320,0,maskmap,0.01,0.0036882368857842894,
