feature,gate,pearson,spearman,kendall,nmi,distance_corr,hsic
gross_inadv_interchange_mw,0.7223687,0.7859737,0.76220316,0.5812677,0.21171753,0.74988204,0.39009452
gross_sched_interchange_mw,0.6268466,0.45141312,0.4152569,0.27926606,0.05631559,0.3865922,0.07686699
gen_fuel_coal_mw,0.61939436,0.39545974,0.37463623,0.2606097,0.060648266,0.37039757,0.083007865
gen_fuel_nuclear_mw,0.61320484,0.3424643,0.35593575,0.2501006,0.06743065,0.35487825,0.072364084
forecast_load_mw_latest_available,0.6116438,0.32901087,0.36938885,0.24477512,0.05974668,0.3341768,0.08016834
total_pjm_reg_purchases,0.61133677,0.35520357,0.3578796,0.24921323,0.028292427,0.34679666,0.064867854
gen_fuel_gas_mw,0.6095659,0.32531413,0.3551978,0.24902417,0.045861203,0.33842298,0.064278364
gen_fuel_coal_pct,0.6076053,0.3338772,0.3172712,0.22774541,0.05271618,0.3445781,0.06986981
marginal_loss_price_rt,0.60680753,0.1606126,0.34966394,0.2559719,0.23343748,0.3107335,0.071297936
forecast_load_mw_day_ahead,0.6038744,0.300672,0.32798773,0.2321084,0.033088986,0.32130742,0.06732218
system_energy_price_da,0.5976557,0.23167545,0.30071783,0.22849223,0.042283047,0.3232487,0.05743904
total_pjm_assigned_reg,0.59296227,0.29967806,0.31270236,0.17482945,0.020793082,0.24936259,0.032470345
gen_fuel_nuclear_pct,0.5882636,0.268748,0.2708505,0.16951148,0.0306318,0.24497728,0.033037025
gen_fuel_solar_pct,0.58796984,0.27645838,0.21413979,0.17234303,0.035253346,0.27252397,0.047034286
gen_fuel_other_renewables_pct,0.5854059,0.23297006,0.22139604,0.1942304,0.048996087,0.25154242,0.03237424
total_lmp_rt,0.57851267,0.0951328,0.2524376,0.16913539,0.1342838,0.20754817,0.031818703
gen_fuel_gas_pct,0.57805836,0.23524378,0.20380382,0.14595436,0.028343238,0.21629949,0.021915734
gen_fuel_solar_mw,0.57599735,0.2501152,0.18718548,0.122402236,0.01455999,0.20867655,0.031337034
da_as_ss_mw_synchronized_reserve,0.57388854,0.20026447,0.2042059,0.12989019,0.036721494,0.19032243,0.025568264
da_as_ss_mw_thirty_minutes_reserve,0.57382375,0.18123361,0.1977738,0.14559528,0.037802987,0.20172256,0.02466331
gen_fuel_multiple_fuels_mw,0.5714995,0.1807024,0.20043655,0.123598345,0.022102913,0.19111273,0.028175376
da_as_ss_mw_primary_reserve,0.5703271,0.17102593,0.18668202,0.12308177,0.027340667,0.1957446,0.024476647
gen_fuel_other_renewables_mw,0.5689905,0.16660677,0.16897224,0.12253937,0.030041337,0.19444887,0.02591613
gen_fuel_oil_mw,0.5683884,0.1793344,0.17991395,0.09650746,0.05464695,0.16800751,0.020986043
total_pjm_rmccp_cr,0.5674376,0.060421616,0.20096478,0.13021809,0.14404541,0.15530317,0.021032507
rmccp,0.56671166,0.05864883,0.16872458,0.114857905,0.1766193,0.16593307,0.021053527
da_as_as_req_mw_synchronized_reserve,0.56628495,0.1340342,0.19693156,0.13881604,0.078069516,0.11917563,0.010221011
da_as_as_req_mw_primary_reserve,0.5662525,0.12710714,0.18795562,0.15545999,0.06895154,0.12962851,0.007836066
gen_fuel_oil_pct,0.5647729,0.17991349,0.14288038,0.091091424,0.017539619,0.18448919,0.017174434
gen_fuel_storage_mw,0.56238836,0.17801313,0.1664599,0.112004295,0.0053876843,0.12342789,0.009946033
gen_fuel_multiple_fuels_pct,0.55937284,0.110872924,0.12597097,0.111294135,0.016139422,0.16836125,0.021556044
da_as_as_req_mw_thirty_minutes_reserve,0.55824184,0.11674406,0.154172,0.105931744,0.0754063,0.08816824,0.005643701
net_inadv_interchange_mw,0.552046,0.12027543,0.123411424,0.0700557,0.0,0.108336754,0.0049387016
da_as_nsr_mw_primary_reserve,0.5464074,0.09478312,0.07985743,0.05614759,0.020744193,0.08751783,0.0038873095
gen_fuel_hydro_mw,0.545416,0.08705058,0.02472897,0.013639925,0.031019779,0.14553204,0.026083367
da_as_mcp_synchronized_reserve,0.5433603,0.04769775,0.049460053,0.048909396,0.061059356,0.09294575,0.0049674194
total_pjm_rmpcp_cr,0.5423193,0.0015440255,0.08469242,0.056201555,0.019478736,0.10375368,0.018148461
gen_fuel_hydro_pct,0.5407328,0.021540131,0.032091778,0.020852804,0.026087131,0.13020705,0.026047872
rmpcp,0.5387737,0.007992378,0.048542652,0.056087855,0.012741733,0.09108457,0.0096189445
gen_fuel_wind_pct,0.53869545,0.046993088,0.030018903,0.046540182,0.0043124515,0.08672823,0.005555752
total_pjm_loc_credit,0.53728986,0.01791644,0.03210953,0.031246828,0.029917713,0.083010815,0.008796026
total_pjm_self_sched_reg,0.53724605,0.037063297,0.024285873,0.0314554,0.007874443,0.08683148,0.009797613
da_as_mcp_primary_reserve,0.5369492,0.011369551,0.034310684,0.03552122,0.03469523,0.07827041,0.004567861
gen_fuel_wind_mw,0.5366877,0.035719812,0.037020385,0.024893185,0.014040947,0.069925725,0.0068610404
da_as_ircmwt2_thirty_minutes_reserve,0.5249096,0.0,0.0,0.0,0.0,0.0,0.0
da_as_ircmwt2_synchronized_reserve,0.5249096,0.0,0.0,0.0,0.0,0.0,0.0
da_as_ircmwt2_primary_reserve,0.5249096,0.0,0.0,0.0,0.0,0.0,0.0
da_as_mcp_thirty_minutes_reserve,0.5249096,0.0,0.0,0.0,0.0,0.0,0.0
gen_fuel_storage_pct,0.5249096,0.0,0.0,0.0,0.0,0.0,0.0
