subset_id,indices,size,source,v_truth,band,raw_square,sparse_poly2_top50,sparse_poly2_top100,sparse_poly2_top200,dense_poly2
rs00,"(22,)",1,60_random,0.0354991443455219,1-4,0.012916272705841817,0.012916272705841817,0.012916272705841817,0.012916272705841817,0.012916272705841817
rs01,"(36,)",1,60_random,0.0258677750825881,1-4,0.021065567712338706,0.021065567712338706,0.021065567712338706,0.021065567712338706,0.021065567712338706
rs02,"(18,)",1,60_random,0.0480949878692626,1-4,0.04252175651355881,0.04252175651355881,0.04252175651355881,0.04252175651355881,0.04252175651355881
rs03,"(0, 29, 30, 37)",4,60_random,0.5000260472297668,1-4,0.4430649897111016,0.4430649897111016,0.4430649897111016,0.4456095241071866,0.45092491343768687
rs04,"(8, 23)",2,60_random,0.0588635504245758,1-4,0.05102989730720985,0.05102989730720985,0.05102989730720985,0.05102989730720985,0.05078786541899977
rs05,"(15,)",1,60_random,0.2238233834505081,1-4,0.2031589466861111,0.2031589466861111,0.2031589466861111,0.2031589466861111,0.2031589466861111
rs06,"(1, 10, 34)",3,60_random,0.4144377410411834,1-4,0.354865245832183,0.354865245832183,0.354865245832183,0.354865245832183,0.3599484562798621
rs07,"(20, 28, 42)",3,60_random,0.4401641190052032,1-4,0.38546457759958236,0.38546457759958236,0.38546457759958236,0.38546457759958236,0.39436282797593475
rs08,"(28,)",1,60_random,0.038949679583311,1-4,0.012864790851602267,0.012864790851602267,0.012864790851602267,0.012864790851602267,0.012864790851602267
rs09,"(1, 6, 34, 39)",4,60_random,0.5253174304962158,1-4,0.38290060671504317,0.38290060671504317,0.38290060671504317,0.3878241888356926,0.38684727852188033
rs10,"(0, 7, 12, 23, 25, 27)",6,60_random,0.4718161523342132,5-8,0.34799053547341696,0.34799053547341696,0.34799053547341696,0.35831258587959264,0.36603251925682273
rs11,"(4, 5, 19, 39, 40)",5,60_random,0.6462429165840149,5-8,0.48721783097419663,0.49702379602613905,0.49926771702529865,0.5023243394714935,0.4818636253732243
rs12,"(0, 5, 19, 30, 37, 38, 39)",7,60_random,0.711686909198761,5-8,0.5846938943121297,0.5897351425492682,0.590084480882617,0.591577809393257,0.5941228289570759
rs13,"(7, 9, 23, 36, 37, 41)",6,60_random,0.284542828798294,5-8,0.17181583442744155,0.17181583442744155,0.17181583442744155,0.17181583442744155,0.18330445600773193
rs14,"(3, 4, 6, 12, 14, 16, 21, 26)",8,60_random,0.6876205801963806,5-8,0.4574701858349746,0.4769477224974022,0.4800205510839242,0.4803481934816045,0.5041266652952325
rs15,"(12, 17, 19, 31, 34, 39, 42)",7,60_random,0.7096032500267029,5-8,0.5528099345106526,0.5599769161757987,0.5609497343643594,0.5725567517069868,0.5895318536149041
rs16,"(22, 24, 25, 26, 28, 31)",6,60_random,0.330615222454071,5-8,0.22235649703098273,0.22235649703098273,0.22235649703098273,0.22235649703098273,0.26008774438624793
rs17,"(1, 2, 12, 25, 29, 34)",6,60_random,0.520922064781189,5-8,0.4032416526845996,0.40727311169913155,0.40727311169913155,0.4190899738112995,0.4429522632363671
rs18,"(0, 13, 14, 27, 31, 35, 43)",7,60_random,0.7015374302864075,5-8,0.5267319097907869,0.5313363958087542,0.5399770975684162,0.5439372475248511,0.5613677141629383
rs19,"(9, 12, 14, 17, 29, 31, 32, 39)",8,60_random,0.6793436408042908,5-8,0.5123416859680093,0.5184049754474019,0.5258180140446549,0.528543360058111,0.5472968536333432
rs20,"(2, 6, 7, 10, 11, 17, 21, 22, 26, 37, 38)",11,60_random,0.7397902011871338,9-16,0.5748575373471599,0.5824667926180057,0.5972821002314913,0.5981328466150625,0.6314271260896671
rs21,"(1, 3, 9, 11, 12, 13, 22, 24, 28, 29, 31, 32, 33, 39)",14,60_random,0.7479550242424011,9-16,0.5911803842411386,0.5999872349248329,0.6039047164979937,0.6086904780929699,0.6365183587350763
rs22,"(3, 4, 7, 8, 11, 13, 16, 17, 18, 25, 26, 27, 30, 36, 37)",15,60_random,0.7523463368415833,9-16,0.5753368358765371,0.5909197081651374,0.5919091420066865,0.6066901085962068,0.6289947135203837
rs23,"(2, 5, 7, 8, 16, 23, 24, 27, 29, 35, 36, 37, 40, 42)",14,60_random,0.6769843101501465,9-16,0.444876023957998,0.444876023957998,0.4653338374391353,0.480078018857849,0.4327929009722626
