model,subset_id,size,n_columns,seconds
sparse_poly2_top200,masked_k12,12,61,0.001033419743180275
sparse_poly2_top200,masked_k16,16,101,0.0021183546632528305
sparse_poly2_top200,masked_k24,24,186,0.0057648587971925735
sparse_poly2_top200,masked_k32,32,256,0.0113863255828619
sparse_poly2_top200,masked_k44,44,288,0.014399074018001556
sparse_poly2_top200,noprior_k1,1,2,0.0003564506769180298
sparse_poly2_top200,noprior_k2,2,4,0.0003372393548488617
sparse_poly2_top200,noprior_k3,3,7,0.00037294067442417145
sparse_poly2_top200,noprior_k4,4,10,0.00038875825703144073
sparse_poly2_top200,noprior_k6,6,18,0.0004344414919614792
sparse_poly2_top200,noprior_k8,8,30,0.0004737097769975662
sparse_poly2_top200,noprior_k12,12,59,0.0010351445525884628
sparse_poly2_top200,noprior_k16,16,93,0.001876983791589737
sparse_poly2_top200,noprior_k24,24,184,0.005977559834718704
sparse_poly2_top200,noprior_k32,32,249,0.01071365736424923
sparse_poly2_top200,noprior_k44,44,288,0.014427823945879936
sparse_poly2_top200,static_k1,1,2,0.00036250054836273193
sparse_poly2_top200,static_k2,2,5,0.00037667155265808105
sparse_poly2_top200,static_k3,3,7,0.0003732684999704361
sparse_poly2_top200,static_k4,4,10,0.0003865491598844528
sparse_poly2_top200,static_k6,6,16,0.00042773783206939697
sparse_poly2_top200,static_k8,8,30,0.0005192123353481293
sparse_poly2_top200,static_k12,12,61,0.0010796207934617996
sparse_poly2_top200,static_k16,16,96,0.0019188225269317627
sparse_poly2_top200,static_k24,24,170,0.0052643269300460815
sparse_poly2_top200,static_k32,32,242,0.010006926953792572
sparse_poly2_top200,static_k44,44,288,0.014419177547097206
sparse_poly2_top200,zeromask_k1,1,2,0.0003584660589694977
sparse_poly2_top200,zeromask_k2,2,4,0.0003422033041715622
sparse_poly2_top200,zeromask_k3,3,7,0.0003750249743461609
sparse_poly2_top200,zeromask_k4,4,10,0.0003925841301679611
sparse_poly2_top200,zeromask_k6,6,18,0.0004147179424762726
sparse_poly2_top200,zeromask_k8,8,30,0.00047463923692703247
sparse_poly2_top200,zeromask_k12,12,59,0.0010268092155456543
sparse_poly2_top200,zeromask_k16,16,91,0.0017370879650115967
sparse_poly2_top200,zeromask_k24,24,183,0.005988869816064835
sparse_poly2_top200,zeromask_k32,32,254,0.01096978411078453
sparse_poly2_top200,zeromask_k44,44,288,0.01439446397125721
dense_poly2,rs00,1,2,0.0003772694617509842
dense_poly2,rs01,1,2,0.00032800622284412384
dense_poly2,rs02,1,2,0.0003211498260498047
dense_poly2,rs03,4,14,0.00045386888086795807
dense_poly2,rs04,2,5,0.000328991562128067
dense_poly2,rs05,1,2,0.00031212717294692993
dense_poly2,rs06,3,9,0.00036315806210041046
dense_poly2,rs07,3,9,0.0003692973405122757
dense_poly2,rs08,1,2,0.00028185173869132996
dense_poly2,rs09,4,14,0.00040665268898010254
dense_poly2,rs10,6,27,0.0005006417632102966
dense_poly2,rs11,5,20,0.0004302076995372772
dense_poly2,rs12,7,35,0.0005744285881519318
dense_poly2,rs13,6,27,0.00045060180127620697
dense_poly2,rs14,8,44,0.0007112491875886917
dense_poly2,rs15,7,35,0.0005306713283061981
dense_poly2,rs16,6,27,0.0005432497709989548
dense_poly2,rs17,6,27,0.0005857981741428375
dense_poly2,rs18,7,35,0.0005775280296802521
dense_poly2,rs19,8,44,0.000681580975651741
dense_poly2,rs20,11,77,0.0014473460614681244
dense_poly2,rs21,14,119,0.0026844572275877
dense_poly2,rs22,15,135,0.0032979287207126617
dense_poly2,rs23,14,119,0.002435293048620224
dense_poly2,rs24,13,104,0.0021175239235162735
dense_poly2,rs25,16,152,0.004258193075656891
dense_poly2,rs26,14,119,0.002666940912604332
dense_poly2,rs27,12,90,0.0016226507723331451
dense_poly2,rs28,14,119,0.0025418754667043686
dense_poly2,rs29,11,77,0.0015181079506874084
dense_poly2,dnn_k1,1,2,0.00033576972782611847
dense_poly2,dnn_k2,2,5,0.00034496188163757324
dense_poly2,dnn_k3,3,9,0.0003834925591945648
dense_poly2,dnn_k4,4,14,0.00042476877570152283
dense_poly2,dnn_k6,6,27,0.0004925616085529327
dense_poly2,dnn_k8,8,44,0.0006948094815015793
dense_poly2,dnn_k12,12,90,0.001634150743484497
dense_poly2,dnn_k16,16,152,0.004336593672633171
dense_poly2,masked_k1,1,2,0.00035242922604084015
dense_poly2,masked_k2,2,5,0.0003613624721765518
dense_poly2,masked_k3,3,9,0.0003806222230195999
dense_poly2,masked_k4,4,14,0.00041348859667778015
dense_poly2,masked_k6,6,27,0.0005324371159076691
dense_poly2,masked_k8,8,44,0.0007261279970407486
dense_poly2,masked_k12,12,90,0.0015367474406957626
dense_poly2,masked_k16,16,152,0.004543652758002281
dense_poly2,noprior_k1,1,2,0.00035037659108638763
dense_poly2,noprior_k2,2,5,0.00034264102578163147
dense_poly2,noprior_k3,3,9,0.000348895788192749
dense_poly2,noprior_k4,4,14,0.0003848038613796234
dense_poly2,noprior_k6,6,27,0.0005360059440135956
dense_poly2,noprior_k8,8,44,0.0007166154682636261
dense_poly2,noprior_k12,12,90,0.0017367582768201828
dense_poly2,noprior_k16,16,152,0.00398334302008152
dense_poly2,static_k1,1,2,0.0003473125398159027
dense_poly2,static_k2,2,5,0.00036980584263801575
dense_poly2,static_k3,3,9,0.00037791207432746887
dense_poly2,static_k4,4,14,0.00038460642099380493
dense_poly2,static_k6,6,27,0.0005701165646314621
dense_poly2,static_k8,8,44,0.0007603541016578674
dense_poly2,static_k12,12,90,0.0017531774938106537
dense_poly2,static_k16,16,152,0.003982352092862129
dense_poly2,zeromask_k1,1,2,0.0003485698252916336
dense_poly2,zeromask_k2,2,5,0.0003416333347558975
dense_poly2,zeromask_k3,3,9,0.0003822203725576401
dense_poly2,zeromask_k4,4,14,0.0003852676600217819
dense_poly2,zeromask_k6,6,27,0.0005393140017986298
dense_poly2,zeromask_k8,8,44,0.0007446557283401489
dense_poly2,zeromask_k12,12,90,0.0017330441623926163
dense_poly2,zeromask_k16,16,152,0.004251658916473389
