edge,score
"(3, 13)",0.6915381434719724
"(2, 12)",0.6334601021697369
"(9, 18)",0.6212651050506912
"(7, 17)",0.5564700072174205
"(6, 16)",0.403808873583432
"(31, 37)",0.36805334770635345
"(32, 37)",0.3680488979858003
"(33, 37)",0.3622416533974766
"(4, 38)",0.33432755026951266
"(4, 15)",0.3332584788440025
"(4, 20)",0.3224474049694611
"(4, 19)",0.3173565852150334
"(4, 5)",0.303817883401015
"(0, 10)",0.2944496382870129
"(5, 15)",0.29099334671780896
"(3, 4)",0.28650338791848173
"(1, 9)",0.2837137818188761
"(1, 4)",0.28356307009739956
"(1, 11)",0.26886005005573976
"(4, 14)",0.26351337387010487
"(1, 18)",0.25325387417584944
"(4, 29)",0.24537501809011208
"(4, 30)",0.2400388502157792
"(3, 33)",0.2337567231922767
"(2, 10)",0.22986922827510903
"(3, 31)",0.21880950529183713
"(3, 32)",0.21880421594293564
"(10, 15)",0.2170058211792475
"(10, 11)",0.2074399278387019
"(2, 4)",0.2069173772184678
"(14, 38)",0.20685308306129419
"(1, 38)",0.20468215925886746
"(4, 39)",0.20286679487480863
"(1, 13)",0.20137990770476222
"(14, 31)",0.20009889605789316
"(14, 32)",0.20009231593942678
"(9, 19)",0.1973786332837728
"(0, 38)",0.19714363828583203
"(9, 20)",0.19650137724716887
"(33, 42)",0.19579245233801623
"(14, 19)",0.19210695685902374
"(18, 19)",0.1906033043236306
"(1, 3)",0.1905580980292007
"(4, 16)",0.18834314060919344
"(18, 20)",0.18788897825147188
"(14, 20)",0.1866402780862086
"(14, 33)",0.18482402088604638
"(20, 31)",0.18326152741119156
"(20, 32)",0.1832586375064021
"(19, 31)",0.18260182107346523
"(19, 32)",0.1825992506849916
"(20, 38)",0.18253175642501934
"(4, 40)",0.18020514693521056
"(37, 40)",0.17698726174486196
"(5, 31)",0.17630265022357622
"(5, 32)",0.17629759108320392
"(19, 38)",0.17606026495307045
"(13, 20)",0.17559751113344468
"(0, 4)",0.1742624134378859
"(3, 43)",0.17359571117852796
"(20, 33)",0.17267458034648558
"(13, 19)",0.17261413498873507
"(19, 33)",0.17166753362267473
"(10, 38)",0.17008569260265338
"(3, 10)",0.16854946169457496
"(5, 10)",0.16763165578640837
"(3, 20)",0.16660277966169396
"(3, 19)",0.16537691040799385
"(13, 33)",0.16512121078929354
"(0, 14)",0.16299574773289766
"(33, 38)",0.16089985432873322
"(2, 31)",0.16019945414924053
"(2, 32)",0.1601968030196511
"(10, 16)",0.16005020871690767
"(19, 29)",0.15732580263943907
"(20, 29)",0.15716468616845447
"(0, 9)",0.15537014156737627
"(3, 6)",0.15491251060949351
"(13, 32)",0.15372451413002086
"(13, 31)",0.1537239886687241
"(15, 31)",0.1536933765337456
"(15, 32)",0.15368969562041201
"(10, 14)",0.15365768304018956
"(4, 13)",0.15333922144492718
"(15, 29)",0.1532037155302618
"(31, 39)",0.15278209419605193
"(32, 39)",0.15277869585127246
"(31, 38)",0.15156717772055672
"(32, 38)",0.15156394940235984
"(9, 14)",0.15102222831316603
"(5, 33)",0.15097445940963966
"(5, 16)",0.1508217049211713
"(10, 12)",0.1495486788043247
"(0, 18)",0.14952776702211745
"(3, 14)",0.1492748494518112
"(33, 39)",0.14875780444591774
"(13, 40)",0.14842258427179386
"(16, 24)",0.14686165974441445
"(1, 15)",0.1460706136938757
"(2, 21)",0.14580572462448932
"(0, 29)",0.14515508735391525
"(3, 40)",0.14463726004620336
"(24, 42)",0.14455067129949434
"(5, 30)",0.1444621992480868
"(2, 33)",0.14442669324710145
"(30, 38)",0.1419773873040307
"(16, 38)",0.1413310167223589
"(2, 27)",0.14026404696419903
"(1, 31)",0.1400736026031772
"(1, 32)",0.14007155216107298
