model,slice,n,mae,bias,spearman
raw_square,overall_available,105,0.09872011172400876,-0.09872011172400876,0.9741866949035848
raw_square,60_random,50,0.11326251963005841,-0.11326251963005841,0.9850180072028811
raw_square,59_topk,55,0.08549974090032728,-0.08549974090032728,0.9657216711200575
raw_square,1-4,30,0.05786639453891474,-0.05786639453891474,0.9560554992365082
raw_square,5-8,20,0.12810195117504217,-0.12810195117504217,0.9751695762836765
raw_square,9-16,20,0.1329399920441928,-0.1329399920441928,0.9522377506804738
raw_square,17-32,20,0.106537989945819,-0.106537989945819,0.9127819548872179
raw_square,33-44,15,0.08520141543682656,-0.08520141543682656,0.06182840223353118
sparse_poly2_top50,overall_available,105,0.08784036057478951,-0.08784036057478951,0.9761256740947438
sparse_poly2_top50,60_random,50,0.10280156978601962,-0.10280156978601962,0.9858823529411764
sparse_poly2_top50,59_topk,55,0.07423926129185304,-0.07423926129185304,0.9665885666955693
sparse_poly2_top50,1-4,30,0.05714601473122796,-0.05714601473122796,0.9560554992365082
sparse_poly2_top50,5-8,20,0.11937035108571256,-0.11937035108571256,0.9751695762836765
sparse_poly2_top50,9-16,20,0.12054555732866475,-0.12054555732866475,0.9567507258021823
sparse_poly2_top50,17-32,20,0.08698784575743261,-0.08698784575743261,0.9248120300751879
sparse_poly2_top50,33-44,15,0.06471882233199075,-0.06471882233199075,0.04728054288446502
sparse_poly2_top100,overall_available,105,0.08637885583691977,-0.08637885583691977,0.9821810957398611
sparse_poly2_top100,60_random,50,0.1005372886793888,-0.1005372886793888,0.9848259303721489
sparse_poly2_top100,59_topk,55,0.07350755325285699,-0.07350755325285699,0.9772080374955878
sparse_poly2_top100,1-4,30,0.054696003250042285,-0.054696003250042285,0.9560554992365082
sparse_poly2_top100,5-8,20,0.11825611935904398,-0.11825611935904398,0.9736646849622512
sparse_poly2_top100,9-16,20,0.11775336730475708,-0.11775336730475708,0.9356901752342097
sparse_poly2_top100,17-32,20,0.0853270734724969,-0.0853270734724969,0.8812030075187969
sparse_poly2_top100,33-44,15,0.06681123750995638,-0.06681123750995638,0.04728054288446502
sparse_poly2_top200,overall_available,105,0.07791182615084767,-0.07791182615084767,0.9784897770657828
sparse_poly2_top200,60_random,50,0.09113633059788917,-0.09113633059788917,0.9881872749099639
sparse_poly2_top200,59_topk,55,0.06588954938080994,-0.06588954938080994,0.9616039171363769
sparse_poly2_top200,1-4,30,0.054376584574538714,-0.054376584574538714,0.9591864412223119
sparse_poly2_top200,5-8,20,0.11567938389851709,-0.11567938389851709,0.9676451196765493
sparse_poly2_top200,9-16,20,0.10619014378142946,-0.10619014378142946,0.9507334256399045
sparse_poly2_top200,17-32,20,0.07044125026456456,-0.07044125026456456,0.8691729323308269
sparse_poly2_top200,33-44,15,0.04688190998084147,-0.04688190998084147,0.07637626158259735
dense_poly2,overall_available,70,0.0815416667373395,-0.0815416667373395,0.9838963821109245
dense_poly2,60_random,30,0.09580011580252021,-0.09580011580252021,0.9781979977753059
dense_poly2,59_topk,40,0.07084782993845397,-0.07084782993845397,0.9807241805265646
dense_poly2,1-4,30,0.05235066854401183,-0.05235066854401183,0.9560554992365082
dense_poly2,5-8,20,0.10604555997811912,-0.10604555997811912,0.9781793589265274
dense_poly2,9-16,20,0.10082427078655135,-0.10082427078655135,0.9432118004370571
