model,size,n,mean_columns,median_ms,p95_ms
dense_poly2,1,10,2.0,0.3415411338210106,0.3660913556814194
dense_poly2,2,6,5.0,0.34380145370960236,0.36769500002264977
dense_poly2,3,7,9.0,0.37791207432746887,0.3831109032034874
dense_poly2,4,7,14.0,0.40665268898010254,0.44513884931802744
dense_poly2,5,1,20.0,0.4302076995372772,0.4302076995372772
dense_poly2,6,9,27.0,0.5360059440135956,0.5795255303382874
dense_poly2,7,3,35.0,0.5744285881519318,0.57721808552742
dense_poly2,8,7,44.0,0.7166154682636261,0.7556445896625519
dense_poly2,11,2,77.0,1.4827270060777664,1.5145698562264442
dense_poly2,12,6,90.0,1.6835974529385567,1.749072689563036
dense_poly2,13,1,104.0,2.1175239235162735,2.1175239235162735
dense_poly2,14,4,119.0,2.6044081896543503,2.6818297803401947
dense_poly2,15,1,135.0,3.2979287207126617,3.2979287207126617
dense_poly2,16,6,152.0,4.25492599606514,4.491887986660004
raw_square,1,10,2.0,0.3376742824912071,0.40072789415717114
raw_square,2,6,4.0,0.33567752689123154,0.3414982929825783
raw_square,3,7,6.0,0.3714561462402344,0.380641408264637
raw_square,4,7,8.0,0.36751292645931244,0.3732901066541672
raw_square,5,1,10.0,0.3967117518186569,0.3967117518186569
raw_square,6,9,12.0,0.37647224962711334,0.4232533276081085
raw_square,7,3,14.0,0.4230476915836334,0.4856051877140999
raw_square,8,7,16.0,0.3896001726388931,0.43931882828474045
raw_square,11,2,22.0,0.47654565423727036,0.5025220103561878
raw_square,12,6,24.0,0.523669645190239,0.5927029997110367
raw_square,13,1,26.0,0.5194935947656631,0.5194935947656631
raw_square,14,4,28.0,0.5308007821440697,0.5722738802433014
raw_square,15,1,30.0,0.5801226943731308,0.5801226943731308
raw_square,16,6,32.0,0.5468036979436874,0.5683470517396927
raw_square,20,1,40.0,0.7381774485111237,0.7381774485111237
raw_square,21,3,42.0,0.6907600909471512,0.6966358050704002
raw_square,22,1,44.0,0.8052289485931396,0.8052289485931396
raw_square,23,2,46.0,0.7391441613435745,0.7543371990323067
raw_square,24,6,48.0,0.7563494145870209,0.7967567071318626
raw_square,30,1,60.0,0.9345449507236481,0.9345449507236481
raw_square,31,1,62.0,0.9904280304908752,0.9904280304908752
raw_square,32,5,64.0,0.9387042373418808,0.9978249669075011
raw_square,33,2,66.0,1.059497706592083,1.0600031353533268
raw_square,36,1,72.0,1.1827480047941208,1.1827480047941208
raw_square,38,2,76.0,1.223839819431305,1.2590371072292328
raw_square,41,3,82.0,1.3005118817090988,1.387021504342556
raw_square,42,1,84.0,1.4452114701271057,1.4452114701271057
raw_square,43,1,86.0,1.4505740255117416,1.4505740255117416
raw_square,44,5,88.0,1.4379210770130157,1.456429436802864
sparse_poly2_top100,1,10,2.0,0.35211164504289627,0.36732191219925875
sparse_poly2_top100,2,6,4.166666666666667,0.33859629184007645,0.37138257175683975
sparse_poly2_top100,3,7,6.714285714285714,0.3639664500951767,0.3711821511387825
sparse_poly2_top100,4,7,9.714285714285714,0.3862399607896805,0.40389392524957657
sparse_poly2_top100,5,1,14.0,0.41982531547546387,0.41982531547546387
sparse_poly2_top100,6,9,15.0,0.4174746572971344,0.4287566989660263
sparse_poly2_top100,7,3,16.333333333333332,0.4186704754829407,0.428805872797966
sparse_poly2_top100,8,7,26.0,0.4733968526124954,0.5304168909788132
sparse_poly2_top100,11,2,28.5,0.5150027573108673,0.5320079624652863
sparse_poly2_top100,12,6,46.666666666666664,0.8738953620195389,0.9231078438460827
sparse_poly2_top100,13,1,37.0,0.6840918213129044,0.6840918213129044
sparse_poly2_top100,14,4,36.5,0.635392963886261,0.6970528513193129
sparse_poly2_top100,15,1,36.0,0.6070155650377274,0.6070155650377274
sparse_poly2_top100,16,6,67.0,1.3043908402323723,1.4231693930923939
sparse_poly2_top100,20,1,69.0,1.2388918548822403,1.2388918548822403
sparse_poly2_top100,21,3,62.333333333333336,1.067519187927246,1.1748209595680237
