method,slice,n_triples,n_strong,parent_mae,parent_bias,syn_mae,s1_spearman,within_slice_top30_recall
uniform_k0,test_all,878,130,0.07181018526736187,-0.07177820781496021,0.019642793726542915,0.6823982101142174,0.8400227982569846
uniform_k0,test_random,720,46,0.07131710023720574,-0.0712851083145722,0.01939661599479459,0.671537759605305,0.8478260869565216
uniform_k0,test_targeted,158,84,0.0878473077544908,-0.087815800932643,0.02764949073862081,0.601508460369448,0.5595238095238095
cached_poly2,test_all,878,130,0.061348899814788714,-0.06124820823708713,0.01543176288986487,0.7845437924126247,0.962954179815189
cached_poly2,test_random,720,46,0.06120798149267056,-0.06110682737844101,0.01526300158612295,0.7714606739369475,0.9565217391304346
cached_poly2,test_targeted,158,84,0.0659321344584644,-0.06584648644221826,0.020920564077643266,0.868117725626332,0.5595238095238095
standalone_arith,test_all,878,130,0.045861715557345875,-0.045463513981031656,0.012696159848409784,0.7798122026256203,0.9383679035035479
standalone_arith,test_random,720,46,0.04572596751918183,-0.04532500318452094,0.012556000408507491,0.768601228523074,0.9565217391304346
standalone_arith,test_targeted,158,84,0.05027679162391162,-0.049968446139950655,0.017254712568472462,0.8837347628921183,0.5595238095238095
residual_arith,test_all,878,130,0.037682720011982467,-0.037160699532648486,0.011348771863638252,0.8310399743339248,0.9432185964789361
residual_arith,test_random,720,46,0.03757181773474051,-0.037044982067714644,0.01124709159289091,0.8198596597261967,0.9782608695652173
residual_arith,test_targeted,158,84,0.041289711292305034,-0.040924300221269014,0.01465582613779283,0.9175032212231063,0.5595238095238095
residual_poly2,test_all,878,130,0.04506245919091874,-0.04495845523667799,0.012797973017073763,0.8302164271155259,0.9581034868398007
residual_poly2,test_random,720,46,0.04490478805318619,-0.04479989346450477,0.012666491894917406,0.8183259471166503,0.9565217391304346
residual_poly2,test_targeted,158,84,0.05019056325788029,-0.0501155263432839,0.01707427169135921,0.8956034678159118,0.5595238095238095
