method,parent_mae,syn_mae,s1_spearman,global_top30_recall,extreme_syn_est_mean,extreme_negative_count,measured_scan_seconds,cost_note
uniform_K0,0.0718101498078491,0.0196427898200393,0.6823891948039347,0.8424481447446787,0.0044598857561747,11,3.7347824722528458,D85 K0 forward
uniform_K25,0.0413534357675371,0.0121374936759405,0.8400518597619875,0.8988967368310425,0.0610538880030314,1,,D79 K-grid total to K50: 510s on 4 GPUs
uniform_K50,0.0326727112450287,0.010056939871227,0.8726833020328846,0.9110234692695128,0.1304017980893453,0,,D79 K-grid total to K50: 510s on 4 GPUs
cached_poly2,0.061348899814788686,0.015431762889864873,0.7845437924126247,0.962954179815189,0.27728920388266237,0,4.993804389610887,"CPU warm cache, all pairs+triples"
k0_residual_poly2,0.0450624591909187,0.0127979730170737,0.8302164271155259,0.9581034868398008,0.2675222158788379,0,60.84518518857658,GPU K0 forward + CPU closed-form residual
k0_residual_arith,0.0376827200119824,0.0113487718636382,0.8310399743339248,0.9605288333274948,0.2920487616198122,0,94.159886514768,GPU K0 forward + CPU closed-form residual
