method,keep,threshold,source,test_recall,n_test_strong,tune_selected_lane
uniform_k0_s1,0.05,0.1,all,0.37364483765000095,130,
uniform_k0_s1,0.05,0.1,random,0.32608695652173897,46,
uniform_k0_s1,0.05,0.1,targeted,0.5595238095238095,84,
uniform_k0_s1,0.05,0.15,all,0.5452288580215893,43,
uniform_k0_s1,0.05,0.15,random,0.5,2,
uniform_k0_s1,0.05,0.15,targeted,0.5609756097560976,41,
uniform_k0_s1,0.05,0.2,all,0.2,5,
uniform_k0_s1,0.05,0.2,random,,0,
uniform_k0_s1,0.05,0.2,targeted,0.2,5,
uniform_k0_s1,0.1,0.1,all,0.6080464911973397,130,
uniform_k0_s1,0.1,0.1,random,0.5869565217391302,46,
uniform_k0_s1,0.1,0.1,targeted,0.6904761904761905,84,
uniform_k0_s1,0.1,0.15,all,0.5995034876474964,43,
uniform_k0_s1,0.1,0.15,random,0.5,2,
uniform_k0_s1,0.1,0.15,targeted,0.6341463414634146,41,
uniform_k0_s1,0.1,0.2,all,0.2,5,
uniform_k0_s1,0.1,0.2,random,,0,
uniform_k0_s1,0.1,0.2,targeted,0.2,5,
uniform_k0_s1,0.2,0.1,all,0.7932755921213969,130,
uniform_k0_s1,0.2,0.1,random,0.8043478260869562,46,
uniform_k0_s1,0.2,0.1,targeted,0.75,84,
uniform_k0_s1,0.2,0.15,all,0.617595030856132,43,
uniform_k0_s1,0.2,0.15,random,0.5,2,
uniform_k0_s1,0.2,0.15,targeted,0.6585365853658537,41,
uniform_k0_s1,0.2,0.2,all,0.2,5,
uniform_k0_s1,0.2,0.2,random,,0,
uniform_k0_s1,0.2,0.2,targeted,0.2,5,
uniform_k0_s1,0.3,0.1,all,0.8424481447446787,130,
uniform_k0_s1,0.3,0.1,random,0.8478260869565216,46,
uniform_k0_s1,0.3,0.1,targeted,0.8214285714285714,84,
uniform_k0_s1,0.3,0.15,all,0.6356865740647677,43,
uniform_k0_s1,0.3,0.15,random,0.5,2,
uniform_k0_s1,0.3,0.15,targeted,0.6829268292682927,41,
uniform_k0_s1,0.3,0.2,all,0.2,5,
uniform_k0_s1,0.3,0.2,random,,0,
uniform_k0_s1,0.3,0.2,targeted,0.2,5,
uniform_k10_s1,0.05,0.1,all,0.4200592323508884,130,
uniform_k10_s1,0.05,0.1,random,0.34782608695652156,46,
uniform_k10_s1,0.05,0.1,targeted,0.7023809523809523,84,
uniform_k10_s1,0.05,0.15,all,0.5995034876474964,43,
uniform_k10_s1,0.05,0.15,random,0.5,2,
uniform_k10_s1,0.05,0.15,targeted,0.6341463414634146,41,
uniform_k10_s1,0.05,0.2,all,0.2,5,
uniform_k10_s1,0.05,0.2,random,,0,
uniform_k10_s1,0.05,0.2,targeted,0.2,5,
uniform_k10_s1,0.1,0.1,all,0.6818053201322622,130,
uniform_k10_s1,0.1,0.1,random,0.6521739130434779,46,
uniform_k10_s1,0.1,0.1,targeted,0.7976190476190477,84,
uniform_k10_s1,0.1,0.15,all,0.617595030856132,43,
uniform_k10_s1,0.1,0.15,random,0.5,2,
uniform_k10_s1,0.1,0.15,targeted,0.6585365853658537,41,
uniform_k10_s1,0.1,0.2,all,0.2,5,
uniform_k10_s1,0.1,0.2,random,,0,
uniform_k10_s1,0.1,0.2,targeted,0.2,5,
uniform_k10_s1,0.2,0.1,all,0.8175290569983376,130,
uniform_k10_s1,0.2,0.1,random,0.8043478260869562,46,
uniform_k10_s1,0.2,0.1,targeted,0.8690476190476191,84,
uniform_k10_s1,0.2,0.15,all,0.7080527468993105,43,
uniform_k10_s1,0.2,0.15,random,0.5,2,
uniform_k10_s1,0.2,0.15,targeted,0.7804878048780488,41,
uniform_k10_s1,0.2,0.2,all,0.4,5,
uniform_k10_s1,0.2,0.2,random,,0,
uniform_k10_s1,0.2,0.2,targeted,0.4,5,
uniform_k10_s1,0.3,0.1,all,0.8916206973679603,130,
uniform_k10_s1,0.3,0.1,random,0.8913043478260866,46,
uniform_k10_s1,0.3,0.1,targeted,0.8928571428571429,84,
uniform_k10_s1,0.3,0.15,all,0.8371761111222787,43,
uniform_k10_s1,0.3,0.15,random,1.0,2,
uniform_k10_s1,0.3,0.15,targeted,0.7804878048780488,41,
uniform_k10_s1,0.3,0.2,all,0.4,5,
uniform_k10_s1,0.3,0.2,random,,0,
uniform_k10_s1,0.3,0.2,targeted,0.4,5,
uniform_k25_s1,0.05,0.1,all,0.44707085515022327,130,
uniform_k25_s1,0.05,0.1,random,0.36956521739130416,46,
uniform_k25_s1,0.05,0.1,targeted,0.75,84,
uniform_k25_s1,0.05,0.15,all,0.6356865740647677,43,
uniform_k25_s1,0.05,0.15,random,0.5,2,
uniform_k25_s1,0.05,0.15,targeted,0.6829268292682927,41,
uniform_k25_s1,0.05,0.2,all,0.2,5,
uniform_k25_s1,0.05,0.2,random,,0,
uniform_k25_s1,0.05,0.2,targeted,0.2,5,
