S,size,conf,v_audit,v_full
"(2,)",1,actual_load__mw__ca_iso_tac,0.49817365407943726,0.49573618173599243
"(2,)",1,dam_schedule__mw__generation__caiso_totals,0.44572651386260986,0.45853108167648315
"(2,)",1,dam_schedule__mw__import__caiso_totals,0.2417687177658081,0.25371938943862915
"(2,)",1,dam_schedule__mw__export__caiso_totals,0.2003827691078186,0.20253920555114746
"(2,)",1,dam_lmp__lmp_usd_per_mwh__th_sp15_gen_apnd,0.5954891443252563,0.6170434355735779
"(2,)",1,dam_lmp__congestion_usd_per_mwh__th_sp15_gen_apnd,0.18619918823242188,0.21039873361587524
"(2,)",1,dam_lmp__loss_usd_per_mwh__th_sp15_gen_apnd,0.3030092120170593,0.3010411262512207
"(2,)",1,rt15_lmp_hourly_mean__congestion_usd_per_mwh__th_sp15_gen_apnd,0.1747691035270691,0.19732439517974854
"(2,)",1,dam_as_total_procured__mw__ru__as_caiso,0.1133459210395813,0.10148924589157104
"(2,)",1,dam_as_total_procured__mw__rd__as_caiso,0.2528025507926941,0.248424232006073
"(2,)",1,dam_as_total_procured__mw__sr__as_caiso,0.052709758281707764,0.06514406204223633
"(2,)",1,dam_as_total_procured__mw__nr__as_caiso,0.1395202875137329,0.14385837316513062
"(6,)",1,actual_load__mw__ca_iso_tac,0.602130115032196,0.6277793645858765
"(6,)",1,dam_schedule__mw__generation__caiso_totals,0.6786681413650513,0.6904792785644531
"(6,)",1,dam_schedule__mw__import__caiso_totals,0.11455345153808594,0.10735422372817993
"(6,)",1,dam_schedule__mw__export__caiso_totals,0.5215058922767639,0.5045807957649231
"(6,)",1,dam_lmp__lmp_usd_per_mwh__th_sp15_gen_apnd,0.2569296360015869,0.2739498019218445
"(6,)",1,dam_lmp__congestion_usd_per_mwh__th_sp15_gen_apnd,0.1731007695198059,0.16991406679153442
"(6,)",1,dam_lmp__loss_usd_per_mwh__th_sp15_gen_apnd,0.12893760204315186,0.143521249294281
"(6,)",1,rt15_lmp_hourly_mean__congestion_usd_per_mwh__th_sp15_gen_apnd,0.15897607803344727,0.17592298984527588
"(6,)",1,dam_as_total_procured__mw__ru__as_caiso,0.06378579139709473,0.0711018443107605
"(6,)",1,dam_as_total_procured__mw__rd__as_caiso,0.10863858461380005,0.11387211084365845
"(6,)",1,dam_as_total_procured__mw__sr__as_caiso,0.06641417741775513,0.09036964178085327
"(6,)",1,dam_as_total_procured__mw__nr__as_caiso,0.1441015601158142,0.1425371766090393
"(10,)",1,actual_load__mw__ca_iso_tac,0.0,0.0
"(10,)",1,dam_schedule__mw__generation__caiso_totals,0.006583511829376221,0.005241990089416504
"(10,)",1,dam_schedule__mw__import__caiso_totals,0.018191277980804443,0.015299618244171143
"(10,)",1,dam_schedule__mw__export__caiso_totals,0.020313620567321777,0.018911123275756836
"(10,)",1,dam_lmp__lmp_usd_per_mwh__th_sp15_gen_apnd,0.009297966957092285,0.008710503578186035
"(10,)",1,dam_lmp__congestion_usd_per_mwh__th_sp15_gen_apnd,0.011272609233856201,0.008710205554962158
"(10,)",1,dam_lmp__loss_usd_per_mwh__th_sp15_gen_apnd,0.005255162715911865,0.004355251789093018
"(10,)",1,rt15_lmp_hourly_mean__congestion_usd_per_mwh__th_sp15_gen_apnd,0.0010337233543395996,0.0047487616539001465
"(10,)",1,dam_as_total_procured__mw__ru__as_caiso,0.018329739570617676,0.014475524425506592
"(10,)",1,dam_as_total_procured__mw__rd__as_caiso,0.016581714153289795,0.017924189567565918
"(10,)",1,dam_as_total_procured__mw__sr__as_caiso,0.0,0.0
"(10,)",1,dam_as_total_procured__mw__nr__as_caiso,0.01918429136276245,0.018579185009002686
"(14,)",1,actual_load__mw__ca_iso_tac,0.05665314197540283,0.04814857244491577
"(14,)",1,dam_schedule__mw__generation__caiso_totals,0.06769639253616333,0.05672323703765869
"(14,)",1,dam_schedule__mw__import__caiso_totals,0.005924046039581299,0.005787372589111328
"(14,)",1,dam_schedule__mw__export__caiso_totals,0.04943567514419556,0.054413795471191406
"(14,)",1,dam_lmp__lmp_usd_per_mwh__th_sp15_gen_apnd,0.01712566614151001,0.015289545059204102
"(14,)",1,dam_lmp__congestion_usd_per_mwh__th_sp15_gen_apnd,0.044736266136169434,0.04804110527038574
"(14,)",1,dam_lmp__loss_usd_per_mwh__th_sp15_gen_apnd,0.008939206600189209,0.009469151496887207
"(14,)",1,rt15_lmp_hourly_mean__congestion_usd_per_mwh__th_sp15_gen_apnd,0.015570640563964844,0.022652089595794678
"(14,)",1,dam_as_total_procured__mw__ru__as_caiso,0.030164599418640137,0.025310754776000977
"(14,)",1,dam_as_total_procured__mw__rd__as_caiso,0.02144378423690796,0.02745187282562256
"(14,)",1,dam_as_total_procured__mw__sr__as_caiso,0.005850315093994141,0.006731986999511719
"(14,)",1,dam_as_total_procured__mw__nr__as_caiso,0.028564155101776123,0.026472389698028564
"(18,)",1,actual_load__mw__ca_iso_tac,0.008775115013122559,0.011092126369476318
"(18,)",1,dam_schedule__mw__generation__caiso_totals,0.00818479061126709,0.006974697113037109
"(18,)",1,dam_schedule__mw__import__caiso_totals,0.02130192518234253,0.017837226390838623
"(18,)",1,dam_schedule__mw__export__caiso_totals,0.0,0.00017243623733520508
"(18,)",1,dam_lmp__lmp_usd_per_mwh__th_sp15_gen_apnd,0.023705661296844482,0.0187605619430542
"(18,)",1,dam_lmp__congestion_usd_per_mwh__th_sp15_gen_apnd,0.0034641623497009277,0.002027153968811035
"(18,)",1,dam_lmp__loss_usd_per_mwh__th_sp15_gen_apnd,0.00658947229385376,0.007534921169281006
"(18,)",1,rt15_lmp_hourly_mean__congestion_usd_per_mwh__th_sp15_gen_apnd,0.0019068717956542969,0.0019780397415161133
"(18,)",1,dam_as_total_procured__mw__ru__as_caiso,0.00585097074508667,0.0024500489234924316
"(18,)",1,dam_as_total_procured__mw__rd__as_caiso,0.006455063819885254,0.0051299333572387695
"(18,)",1,dam_as_total_procured__mw__sr__as_caiso,0.0,0.002167642116546631
"(18,)",1,dam_as_total_procured__mw__nr__as_caiso,0.005996108055114746,0.006790339946746826
"(22,)",1,actual_load__mw__ca_iso_tac,0.07042336463928223,0.07848984003067017
"(22,)",1,dam_schedule__mw__generation__caiso_totals,0.06989026069641113,0.07677733898162842
"(22,)",1,dam_schedule__mw__import__caiso_totals,0.09988409280776978,0.10439270734786987
"(22,)",1,dam_schedule__mw__export__caiso_totals,0.02484995126724243,0.028777599334716797
"(22,)",1,dam_lmp__lmp_usd_per_mwh__th_sp15_gen_apnd,0.5130596160888672,0.5376273393630981
"(22,)",1,dam_lmp__congestion_usd_per_mwh__th_sp15_gen_apnd,0.054071903228759766,0.05034846067428589
"(22,)",1,dam_lmp__loss_usd_per_mwh__th_sp15_gen_apnd,0.2846665382385254,0.3169535994529724
"(22,)",1,rt15_lmp_hourly_mean__congestion_usd_per_mwh__th_sp15_gen_apnd,0.04725480079650879,0.03552621603012085
"(22,)",1,dam_as_total_procured__mw__ru__as_caiso,0.10001248121261597,0.09003424644470215
"(22,)",1,dam_as_total_procured__mw__rd__as_caiso,0.13572674989700317,0.15102893114089966
"(22,)",1,dam_as_total_procured__mw__sr__as_caiso,0.003839850425720215,0.008573770523071289
"(22,)",1,dam_as_total_procured__mw__nr__as_caiso,0.006688833236694336,0.009605050086975098
"(26,)",1,actual_load__mw__ca_iso_tac,0.12062525749206543,0.11817717552185059
"(26,)",1,dam_schedule__mw__generation__caiso_totals,0.15419423580169678,0.14985942840576172
"(26,)",1,dam_schedule__mw__import__caiso_totals,0.018437504768371582,0.021438777446746826
"(26,)",1,dam_schedule__mw__export__caiso_totals,0.13543051481246948,0.13435381650924683
"(26,)",1,dam_lmp__lmp_usd_per_mwh__th_sp15_gen_apnd,0.04397439956665039,0.058066725730895996
"(26,)",1,dam_lmp__congestion_usd_per_mwh__th_sp15_gen_apnd,0.06973528861999512,0.07387691736221313
"(26,)",1,dam_lmp__loss_usd_per_mwh__th_sp15_gen_apnd,0.13647371530532837,0.1352156400680542
"(26,)",1,rt15_lmp_hourly_mean__congestion_usd_per_mwh__th_sp15_gen_apnd,0.031662702560424805,0.03268510103225708
"(26,)",1,dam_as_total_procured__mw__ru__as_caiso,0.0847211480140686,0.0918232798576355
"(26,)",1,dam_as_total_procured__mw__rd__as_caiso,0.15760624408721924,0.16458725929260254
"(26,)",1,dam_as_total_procured__mw__sr__as_caiso,0.0,0.0015082955360412598
"(26,)",1,dam_as_total_procured__mw__nr__as_caiso,0.029577136039733887,0.024939119815826416
"(30,)",1,actual_load__mw__ca_iso_tac,0.0,0.0
"(30,)",1,dam_schedule__mw__generation__caiso_totals,0.0,0.0
"(30,)",1,dam_schedule__mw__import__caiso_totals,0.0,0.0
"(30,)",1,dam_schedule__mw__export__caiso_totals,0.0,0.0
"(30,)",1,dam_lmp__lmp_usd_per_mwh__th_sp15_gen_apnd,0.0,1.5974044799804688e-05
"(30,)",1,dam_lmp__congestion_usd_per_mwh__th_sp15_gen_apnd,3.7610530853271484e-05,9.822845458984375e-05
"(30,)",1,dam_lmp__loss_usd_per_mwh__th_sp15_gen_apnd,0.0,0.0
"(30,)",1,rt15_lmp_hourly_mean__congestion_usd_per_mwh__th_sp15_gen_apnd,0.0,3.88026237487793e-05
"(30,)",1,dam_as_total_procured__mw__ru__as_caiso,0.0012836456298828125,0.0006421208381652832
"(30,)",1,dam_as_total_procured__mw__rd__as_caiso,0.0,0.0
"(30,)",1,dam_as_total_procured__mw__sr__as_caiso,0.0,7.748603820800781e-05
"(30,)",1,dam_as_total_procured__mw__nr__as_caiso,0.0,0.0
"(34,)",1,actual_load__mw__ca_iso_tac,0.08033889532089233,0.07648831605911255
"(34,)",1,dam_schedule__mw__generation__caiso_totals,0.10716986656188965,0.10449367761611938
"(34,)",1,dam_schedule__mw__import__caiso_totals,0.12911123037338257,0.12873834371566772
"(34,)",1,dam_schedule__mw__export__caiso_totals,0.12496048212051392,0.12420904636383057
"(34,)",1,dam_lmp__lmp_usd_per_mwh__th_sp15_gen_apnd,0.27380645275115967,0.23971092700958252
"(34,)",1,dam_lmp__congestion_usd_per_mwh__th_sp15_gen_apnd,0.2511942386627197,0.22484594583511353
"(34,)",1,dam_lmp__loss_usd_per_mwh__th_sp15_gen_apnd,0.00985652208328247,0.010151207447052002
