ix,conf,syn3_true,syn3_true_full,group
"(0, 1, 11)",actual_load__mw__ca_iso_tac,0.03295397758483887,0.03084444999694813,triple_rand
"(0, 1, 11)",dam_as_total_procured__mw__nr__as_caiso,0.010775446891784696,0.009571433067321777,triple_rand
"(0, 1, 11)",dam_as_total_procured__mw__rd__as_caiso,0.0009878277778625488,-0.00022453069686889648,triple_rand
"(0, 1, 11)",dam_as_total_procured__mw__ru__as_caiso,0.0044422149658203125,0.007942438125610296,triple_rand
"(0, 1, 11)",dam_as_total_procured__mw__sr__as_caiso,0.012151181697845403,0.00626176595687869,triple_rand
"(0, 1, 11)",dam_lmp__congestion_usd_per_mwh__th_sp15_gen_apnd,0.038663446903228704,0.03155547380447382,triple_rand
"(0, 1, 11)",dam_lmp__lmp_usd_per_mwh__th_sp15_gen_apnd,0.01973038911819458,0.02114051580429077,triple_rand
"(0, 1, 11)",dam_lmp__loss_usd_per_mwh__th_sp15_gen_apnd,0.02494186162948603,0.030706465244293213,triple_rand
"(0, 1, 11)",dam_schedule__mw__export__caiso_totals,0.013073980808258057,0.013742506504058838,triple_rand
"(0, 1, 11)",dam_schedule__mw__generation__caiso_totals,0.017390966415405273,0.01937401294708252,triple_rand
"(0, 1, 11)",dam_schedule__mw__import__caiso_totals,0.007912933826446589,0.008985936641693115,triple_rand
"(0, 1, 11)",rt15_lmp_hourly_mean__congestion_usd_per_mwh__th_sp15_gen_apnd,0.014361143112182673,0.0239440798759461,triple_rand
"(0, 1, 18)",actual_load__mw__ca_iso_tac,0.00910419225692749,0.00870579481124878,triple_rand
"(0, 1, 18)",dam_as_total_procured__mw__nr__as_caiso,0.010755896568298395,0.007223606109619113,triple_rand
"(0, 1, 18)",dam_as_total_procured__mw__rd__as_caiso,0.020769715309143066,0.01680290699005127,triple_rand
"(0, 1, 18)",dam_as_total_procured__mw__ru__as_caiso,0.01778095960617071,0.017012417316436712,triple_rand
"(0, 1, 18)",dam_as_total_procured__mw__sr__as_caiso,0.006435751914978,0.00697976350784299,triple_rand
"(0, 1, 18)",dam_lmp__congestion_usd_per_mwh__th_sp15_gen_apnd,0.03255057334899911,0.022178173065185602,triple_rand
"(0, 1, 18)",dam_lmp__lmp_usd_per_mwh__th_sp15_gen_apnd,0.033774733543395996,0.02910715341567993,triple_rand
"(0, 1, 18)",dam_lmp__loss_usd_per_mwh__th_sp15_gen_apnd,0.014701843261718806,0.013207137584686335,triple_rand
"(0, 1, 18)",dam_schedule__mw__export__caiso_totals,0.009239614009857178,0.008758723735809382,triple_rand
"(0, 1, 18)",dam_schedule__mw__generation__caiso_totals,0.007932722568511963,0.005815088748931885,triple_rand
"(0, 1, 18)",dam_schedule__mw__import__caiso_totals,0.02391058206558222,0.022824227809906006,triple_rand
"(0, 1, 18)",rt15_lmp_hourly_mean__congestion_usd_per_mwh__th_sp15_gen_apnd,0.02335041761398321,0.015279650688171303,triple_rand
"(0, 2, 37)",actual_load__mw__ca_iso_tac,0.049265384674072266,0.040153563022613525,triple_rand
