S,group,artifact,syn_struct,conf_struct,v_struct,syn_true_audit,conf_true_audit,v_true_audit,maxsub_true_audit,syn_true_full,conf_true_full,v_true_full,syn_at_struct_conf,Stup,closed_syn
"(14, 15, 24, 26)",strong,False,0.1310760239049755,1,0.8564778668311058,0.1567798852920532,1,0.8629335165023804,0.8614672422409058,0.1479329466819763,1,0.8713156580924988,0.1567798852920532,"(14, 15, 24, 26)",0.05482469561446107
"(8, 17, 24, 26)",strong,False,0.120765999648722,1,0.8431521927533715,0.1283548474311828,1,0.8468521237373352,0.8467740416526794,0.117907166481018,1,0.8558889627456665,0.1283548474311828,"(8, 17, 24, 26)",0.05162448134560277
"(14, 15, 26, 37)",strong,False,0.117714498827211,3,0.79608415424681,0.1232738494873046,3,0.8013718128204346,0.7868844270706177,0.105399489402771,3,0.8010586500167847,0.1232738494873046,"(14, 15, 26, 37)",0.07460397819283682
"(8, 9, 24, 26)",strong,False,0.1169258485596597,1,0.8560241039556079,0.123710811138153,1,0.8562358021736145,0.8562811613082886,0.1292855739593505,1,0.8634995818138123,0.123710811138153,"(8, 9, 24, 26)",0.05424739177637017
"(14, 15, 20, 36)",strong,False,0.1144917583519863,3,0.9156903080416428,0.1161532402038574,3,0.917874276638031,0.909045398235321,0.1092896461486816,3,0.9211586713790894,0.1161532402038574,"(14, 15, 20, 36)",0.08030999922789994
"(14, 17, 24, 26)",strong,False,0.113027921631206,1,0.8445140459006801,0.1411695480346679,1,0.8518947958946228,0.8467740416526794,0.1309106349945068,1,0.8604571223258972,0.1411695480346679,"(14, 17, 24, 26)",0.05668961277045559
"(8, 15, 24, 26)",strong,False,0.1103435134410397,1,0.8525394615671534,0.1406416893005371,1,0.8619672060012817,0.8614672422409058,0.1300352811813354,1,0.8694391846656799,0.1406416893005371,"(8, 15, 24, 26)",0.05008131672933275
"(8, 21, 26, 33)",strong,False,0.1096000091068445,1,0.955817131005325,0.1234468221664428,1,0.9522266387939452,0.95377779006958,0.1376854181289672,1,0.9586230516433716,0.1234468221664428,"(8, 21, 26, 33)",0.07380242608214738
"(14, 19, 26, 33)",strong,False,0.1089962659479979,1,0.9700559685527688,0.1274174451828003,1,0.9660120606422424,0.9651628732681274,0.1236063241958618,1,0.9666641354560852,0.1274174451828003,"(14, 19, 26, 33)",0.05487221672718667
"(8, 9, 23, 26)",strong,False,0.1082641685540023,1,0.8926393330673488,0.1308714151382446,1,0.8909742832183838,0.8915141820907593,0.1243475079536438,1,0.894331693649292,0.1308714151382446,"(8, 9, 23, 26)",0.048491084487832625
"(7, 18, 25, 28)",control,False,0.0172683114518257,4,0.8944891254133045,0.0304933786392211,4,0.8983685374259949,0.8884180784225464,0.0230796337127685,4,0.897539496421814,0.0304933786392211,"(7, 18, 25, 28)",0.008965694793393486
"(2, 6, 13, 16)",control,False,0.0372797185227588,6,0.8578991333488348,0.0504463911056518,6,0.8608136177062988,0.8555565476417542,0.0445905327796936,6,0.860423743724823,0.0504463911056518,"(2, 6, 13, 16)",0.03080031738353517
"(7, 19, 28, 36)",control,False,0.0219865255384857,8,0.9698350495856544,0.0308282375335693,6,0.9679124355316162,0.9670583605766296,0.0271390676498413,8,0.9676572680473328,0.0246464610099792,"(7, 19, 28, 36)",0.006859058410466967
"(2, 15, 24, 30)",control,False,0.0050756265069477,6,0.8703714807315412,0.0041215419769287,3,0.8777494430541992,0.8784390687942505,0.0030097365379333,3,0.8863390684127808,-0.0030449628829956,"(2, 15, 24, 30)",0.001593132678170489
"(0, 19, 20, 33)",control,False,0.0274473482039318,2,0.9827819225724146,0.0628708004951477,2,0.9810486435890198,0.979095220565796,0.0641799569129943,2,0.9804250001907348,0.0628708004951477,"(0, 19, 20, 33)",0.006904250450006477
"(8, 16, 34, 38)",control,False,0.0186207856325804,6,0.8507309440380858,0.0349555611610412,0,0.8503005504608154,0.8495503664016724,0.0375449061393737,6,0.843024730682373,0.0296001434326171,"(8, 16, 34, 38)",0.011200067823905119
"(15, 19, 24, 37)",control,False,0.0275632483864487,5,0.9748989310947056,0.0358746647834777,5,0.9721970558166504,0.9680618047714232,0.0261125564575195,5,0.9730049967765808,0.0358746647834777,"(15, 19, 24, 37)",0.01574961988431428
"(10, 12, 16, 39)",control,False,0.0106843334239238,0,0.1318872149325807,0.0186154246330261,7,0.1557030081748962,0.1461930871009826,0.0163279175758361,1,0.1504234671592712,0.0102682709693908,"(10, 12, 16, 39)",0.005922921346731724
"(0, 29, 33, 38)",control,False,0.0142860201695228,1,0.8017060581284268,0.0274171233177185,3,0.8120534420013428,0.7996741533279419,0.0293462872505188,8,0.8170515298843384,0.0155274868011474,"(0, 29, 33, 38)",0.018064052724900026
"(0, 4, 7, 37)",control,False,0.0214532674980266,4,0.9247694455451876,0.0322655439376831,2,0.9269808530807496,0.9251306056976318,0.0303268432617187,2,0.9225299954414368,0.0210616588592529,"(0, 4, 7, 37)",0.00905351882506511
"(14, 15, 23, 26)",strong,False,0.1229251172075172,1,0.8993044615730115,0.1447392106056213,1,0.8972519040107727,0.8952089548110962,0.1359298825263977,1,0.9011319875717164,0.1447392106056213,"(14, 15, 23, 26)",0.04851501808867553
"(14, 17, 23, 26)",strong,False,0.1199978548338945,1,0.8929233251988922,0.139318585395813,1,0.8906695246696472,0.8858055472373962,0.1312605142593383,1,0.8968281149864197,0.139318585395813,"(14, 17, 23, 26)",0.05522842807546546
