S,size,conf,v_audit,v_full
"(1,)",1,actual_load__mw__ca_iso_tac,0.8223358392715454,0.8248108625411987
"(1,)",1,dam_schedule__mw__generation__caiso_totals,0.8017817735671997,0.8081382513046265
"(1,)",1,dam_schedule__mw__import__caiso_totals,0.07742029428482056,0.07565367221832275
"(1,)",1,dam_schedule__mw__export__caiso_totals,0.40752536058425903,0.40665531158447266
"(1,)",1,dam_lmp__lmp_usd_per_mwh__th_sp15_gen_apnd,0.2446744441986084,0.2481532096862793
"(1,)",1,dam_lmp__congestion_usd_per_mwh__th_sp15_gen_apnd,0.044492483139038086,0.03558826446533203
"(1,)",1,dam_lmp__loss_usd_per_mwh__th_sp15_gen_apnd,0.23313498497009277,0.22597771883010864
"(1,)",1,rt15_lmp_hourly_mean__congestion_usd_per_mwh__th_sp15_gen_apnd,0.06978458166122437,0.07198542356491089
"(1,)",1,dam_as_total_procured__mw__ru__as_caiso,0.054216206073760986,0.051999032497406006
"(1,)",1,dam_as_total_procured__mw__rd__as_caiso,0.07069885730743408,0.07049214839935303
"(1,)",1,dam_as_total_procured__mw__sr__as_caiso,0.08797180652618408,0.09825849533081055
"(1,)",1,dam_as_total_procured__mw__nr__as_caiso,0.18899816274642944,0.18521499633789062
"(5,)",1,actual_load__mw__ca_iso_tac,0.6206960678100586,0.6321257948875427
"(5,)",1,dam_schedule__mw__generation__caiso_totals,0.6975264549255371,0.6962829828262329
"(5,)",1,dam_schedule__mw__import__caiso_totals,0.0379299521446228,0.03806126117706299
"(5,)",1,dam_schedule__mw__export__caiso_totals,0.5385368466377258,0.5062365531921387
"(5,)",1,dam_lmp__lmp_usd_per_mwh__th_sp15_gen_apnd,0.1257120966911316,0.14064091444015503
"(5,)",1,dam_lmp__congestion_usd_per_mwh__th_sp15_gen_apnd,0.04563581943511963,0.04199421405792236
"(5,)",1,dam_lmp__loss_usd_per_mwh__th_sp15_gen_apnd,0.1284368634223938,0.14071303606033325
