S,group,artifact,syn_struct,conf_struct,v_struct,syn_true_audit,conf_true_audit,v_true_audit,maxsub_true_audit,syn_true_full,conf_true_full,v_true_full,syn_at_struct_conf
"(15, 16, 24, 26, 33)",strong,False,0.0846005993597696,0,0.8793017458138376,0.08722805976867676,0,0.8918814063072205,0.889652669429779,0.06863635778427124,0,0.8935772180557251,0.08722805976867676
"(1, 20, 26, 34, 43)",strong,False,0.07975014540140712,2,0.9036718985397473,0.06428182125091553,2,0.9127326011657715,0.9007012844085693,0.05672097206115723,2,0.9122738242149353,0.06428182125091553
"(8, 9, 26, 35, 41)",strong,False,0.07773123056347764,0,0.981907109956585,0.07413232326507568,0,0.9771694540977478,0.9791117310523987,0.07488054037094116,0,0.9757410287857056,0.07413232326507568
"(22, 24, 25, 26, 39)",strong,False,0.07651279401592914,1,0.8240130558205939,0.07596755027770996,1,0.8326743841171265,0.8300584554672241,0.07972019910812378,1,0.8466378450393677,0.07596755027770996
"(15, 22, 25, 26, 33)",strong,False,0.0751332938846504,1,0.8282307175443016,0.07464098930358887,1,0.8295489549636841,0.8339759111404419,0.0775529146194458,1,0.8251849412918091,0.07464098930358887
"(2, 6, 16, 22, 27)",strong,False,0.07441326193396514,7,0.835679352318279,0.04947775602340698,8,0.871658444404602,0.8554729223251343,0.04768472909927368,8,0.8738034963607788,0.04823768138885498
"(14, 22, 24, 26, 38)",strong,False,0.07408060903155156,1,0.8183169119884872,0.07309931516647339,0,0.8297377228736877,0.8239958882331848,0.07539081573486328,0,0.8439443111419678,0.061659157276153564
"(16, 20, 25, 34, 43)",strong,False,0.07360295537002459,1,0.8698386035283077,0.10364317893981934,1,0.8726505041122437,0.8724979162216187,0.08899068832397461,1,0.8659161329269409,0.10364317893981934
"(11, 14, 26, 35, 41)",strong,False,0.0724846767395273,0,0.9807488450285927,0.0642390251159668,0,0.9777054786682129,0.9793022274971008,0.07184833288192749,0,0.9768103361129761,0.0642390251159668
"(9, 23, 25, 26, 33)",strong,False,0.07198426206670161,1,0.8986141447147884,0.08483582735061646,1,0.9005553126335144,0.8931695222854614,0.08520865440368652,1,0.9004903435707092,0.08483582735061646
"(0, 12, 15, 29, 36)",control,False,0.015069897502204666,8,0.9335726339242264,0.019306421279907227,2,0.9390761852264404,0.9341992139816284,0.018147706985473633,5,0.9375429153442383,0.010732948780059814
"(13, 14, 28, 38, 42)",control,False,0.012861622813875373,7,0.889849333690609,0.021336674690246582,2,0.8922489881515503,0.8905627131462097,0.020366549491882324,7,0.8941217660903931,0.01753830909729004
"(6, 14, 23, 31, 37)",control,False,0.0018514596002733308,4,0.8845384955258355,0.003906548023223877,9,0.8822388052940369,0.8815010786056519,0.0009609460830688477,10,0.8854659199714661,0.0007377266883850098
"(1, 9, 28, 30, 42)",control,False,0.002607129746875936,11,0.9111392473386987,0.0009630918502807617,5,0.911135196685791,0.9114676713943481,0.0018666982650756836,5,0.9107003211975098,0.0009132623672485352
"(19, 20, 22, 25, 28)",control,False,0.00687997379746641,2,0.9823717953014226,0.023953616619110107,2,0.9809126853942871,0.9816974401473999,0.02500396966934204,2,0.9809758067131042,0.023953616619110107
"(2, 9, 25, 33, 39)",control,False,0.0065153671110266265,3,0.833478801265487,0.01585078239440918,3,0.8445929288864136,0.8423170447349548,0.013181328773498535,11,0.854004442691803,0.01585078239440918
"(6, 13, 23, 29, 43)",control,False,0.01324548383367119,5,0.9070785597278348,0.012399256229400635,3,0.9071677923202515,0.9047477841377258,0.011278033256530762,2,0.912865161895752,0.011325180530548096
"(9, 10, 28, 32, 39)",control,False,0.00376766698014519,10,0.9055792797488923,0.01723998785018921,7,0.9112111926078796,0.9069264531135559,0.015679121017456055,8,0.9082058072090149,0.006879448890686035
"(7, 17, 19, 22, 25)",control,False,0.015774393183220492,7,0.975462178380298,0.018369078636169434,5,0.970782995223999,0.9723578095436096,0.01903069019317627,5,0.9699883460998535,0.012749850749969482
"(1, 6, 16, 22, 27)",control,False,0.022424098210638066,2,0.8713646073318777,0.050704002380371094,9,0.8901909589767456,0.8766542673110962,0.0427364706993103,9,0.8878613114356995,0.042570650577545166
