i,j,conf,synergy,synergy_full,v_pair,v_i,v_j
0,1,actual_load__mw__ca_iso_tac,0.03732830286026001,0.034732282161712646,0.8596641421318054,0.6231890320777893,0.8223358392715454
0,1,dam_as_total_procured__mw__nr__as_caiso,0.023199379444122314,0.0160638689994812,0.2210142016410827,0.1978148221969604,0.1889981627464294
0,1,dam_as_total_procured__mw__rd__as_caiso,0.2011815309524536,0.2028428316116333,0.3299357891082763,0.1287542581558227,0.070698857307434
0,1,dam_as_total_procured__mw__ru__as_caiso,0.0949001312255859,0.0943762063980103,0.1671533584594726,0.0722532272338867,0.0542162060737609
0,1,dam_as_total_procured__mw__sr__as_caiso,0.03932780027389529,0.054770290851593004,0.1272996068000793,0.0422374010086059,0.087971806526184
0,1,dam_lmp__congestion_usd_per_mwh__th_sp15_gen_apnd,0.0949702262878418,0.1136389374732971,0.1767275929450988,0.081757366657257,0.044492483139038
0,1,dam_lmp__lmp_usd_per_mwh__th_sp15_gen_apnd,0.08223998546600342,0.09189444780349731,0.5421440601348877,0.4599040746688843,0.2446744441986084
0,1,dam_lmp__loss_usd_per_mwh__th_sp15_gen_apnd,0.039368629455566406,0.0338900089263916,0.4077592492103576,0.3683906197547912,0.2331349849700927
0,1,dam_schedule__mw__export__caiso_totals,0.0846244096755982,0.08722943067550659,0.4921497702598572,0.2964986562728882,0.407525360584259
0,1,dam_schedule__mw__generation__caiso_totals,0.030080735683441162,0.028955161571502686,0.8318625092506409,0.5637332201004028,0.8017817735671997
0,1,dam_schedule__mw__import__caiso_totals,0.0699852705001831,0.067456305027008,0.2811574935913086,0.2111722230911255,0.0774202942848205
0,1,rt15_lmp_hourly_mean__congestion_usd_per_mwh__th_sp15_gen_apnd,0.03706198930740348,0.05313807725906379,0.125880479812622,0.0888184905052185,0.0697845816612243
0,2,actual_load__mw__ca_iso_tac,0.09843450784683228,0.08720290660858154,0.7216235399246216,0.6231890320777893,0.4981736540794372
0,2,dam_as_total_procured__mw__nr__as_caiso,0.013414919376373319,0.007853209972381592,0.2112297415733337,0.1978148221969604,0.1395202875137329
0,2,dam_as_total_procured__mw__rd__as_caiso,0.0980796217918396,0.0953685045242309,0.3508821725845337,0.1287542581558227,0.2528025507926941
0,2,dam_as_total_procured__mw__ru__as_caiso,0.06684422492980951,0.05567598342895509,0.1801901459693908,0.0722532272338867,0.1133459210395813
0,2,dam_as_total_procured__mw__sr__as_caiso,0.03614765405654909,0.032748818397522,0.0888574123382568,0.0422374010086059,0.0527097582817077
0,2,dam_lmp__congestion_usd_per_mwh__th_sp15_gen_apnd,0.05192649364471441,0.04094797372817999,0.2381256818771362,0.081757366657257,0.1861991882324218
0,2,dam_lmp__lmp_usd_per_mwh__th_sp15_gen_apnd,0.047438859939575195,0.04651373624801636,0.6429280042648315,0.4599040746688843,0.5954891443252563
0,2,dam_lmp__loss_usd_per_mwh__th_sp15_gen_apnd,0.0074901580810546875,0.012712061405181885,0.3758807778358459,0.3683906197547912,0.3030092120170593
0,2,dam_schedule__mw__export__caiso_totals,0.08447867631912231,0.07802659273147577,0.3809773325920105,0.2964986562728882,0.2003827691078186
0,2,dam_schedule__mw__generation__caiso_totals,0.08522146940231323,0.07684338092803955,0.6489546895027161,0.5637332201004028,0.4457265138626098
0,2,dam_schedule__mw__import__caiso_totals,0.034574925899505615,0.030159831047058105,0.2763436436653137,0.2111722230911255,0.2417687177658081
0,2,rt15_lmp_hourly_mean__congestion_usd_per_mwh__th_sp15_gen_apnd,0.02017199993133542,0.019892513751983587,0.1949411034584045,0.0888184905052185,0.1747691035270691
0,3,actual_load__mw__ca_iso_tac,0.07509398460388184,0.07735860347747803,0.8397716879844666,0.6231890320777893,0.7646777033805847
0,3,dam_as_total_procured__mw__nr__as_caiso,0.009171307086944497,0.008580386638641385,0.218010127544403,0.1978148221969604,0.2088388204574585
0,3,dam_as_total_procured__mw__rd__as_caiso,0.180914044380188,0.1796512603759765,0.3096683025360107,0.1287542581558227,0.10862797498703
0,3,dam_as_total_procured__mw__ru__as_caiso,0.10572046041488649,0.09751117229461671,0.1779736876487732,0.0722532272338867,0.071952223777771
0,3,dam_as_total_procured__mw__sr__as_caiso,0.0604163408279419,0.073879063129425,0.1212102174758911,0.0422374010086059,0.0607938766479492
0,3,dam_lmp__congestion_usd_per_mwh__th_sp15_gen_apnd,0.09716916084289559,0.1046665906906128,0.1789265275001526,0.081757366657257,0.0736157894134521
0,3,dam_lmp__lmp_usd_per_mwh__th_sp15_gen_apnd,0.0727839469909668,0.07854396104812622,0.5326880216598511,0.4599040746688843,0.4181773662567138
0,3,dam_lmp__loss_usd_per_mwh__th_sp15_gen_apnd,0.02999186515808111,0.024590551853179987,0.3983824849128723,0.3683906197547912,0.3364015221595764
0,3,dam_schedule__mw__export__caiso_totals,0.07978332042694092,0.08981072902679438,0.4531982541084289,0.2964986562728882,0.373414933681488
0,3,dam_schedule__mw__generation__caiso_totals,0.07551354169845581,0.07303136587142944,0.7992920279502869,0.5637332201004028,0.723778486251831
0,3,dam_schedule__mw__import__caiso_totals,0.0521775484085083,0.04741257429122919,0.2633497714996338,0.2111722230911255,0.1577278971672058
0,3,rt15_lmp_hourly_mean__congestion_usd_per_mwh__th_sp15_gen_apnd,0.04237031936645509,0.0633818507194519,0.1313921809196472,0.0888184905052185,0.0890218615531921
0,4,actual_load__mw__ca_iso_tac,0.13505560159683228,0.14585822820663452,0.7582446336746216,0.6231890320777893,0.5219427347183228
0,4,dam_as_total_procured__mw__nr__as_caiso,0.020534574985504206,0.011819601058959905,0.2183493971824646,0.1978148221969604,0.1031493544578552
0,4,dam_as_total_procured__mw__rd__as_caiso,0.1679896116256714,0.17028862237930298,0.2967438697814941,0.1287542581558227,0.1120281219482421
0,4,dam_as_total_procured__mw__ru__as_caiso,0.07392555475234978,0.07607895135879521,0.1461787819862365,0.0722532272338867,0.0460330247879028
0,4,dam_as_total_procured__mw__sr__as_caiso,0.018610358238220194,0.029389739036560003,0.069961667060852,0.0422374010086059,0.0513513088226318
0,4,dam_lmp__congestion_usd_per_mwh__th_sp15_gen_apnd,0.06627726554870611,0.09317797422409059,0.1480346322059631,0.081757366657257,0.030217170715332
0,4,dam_lmp__lmp_usd_per_mwh__th_sp15_gen_apnd,0.04356563091278076,0.05400007963180542,0.503469705581665,0.4599040746688843,0.0166842341423034
0,4,dam_lmp__loss_usd_per_mwh__th_sp15_gen_apnd,0.01160973310470581,0.01590776443481451,0.380000352859497,0.3683906197547912,0.0964955687522888
0,4,dam_schedule__mw__export__caiso_totals,0.07249557971954346,0.0728108286857605,0.6278737783432007,0.2964986562728882,0.5553781986236572
0,4,dam_schedule__mw__generation__caiso_totals,0.15079253911972046,0.160386323928833,0.7801846265792847,0.5637332201004028,0.6293920874595642
0,4,dam_schedule__mw__import__caiso_totals,0.06883186101913452,0.06531357765197748,0.28000408411026,0.2111722230911255,0.012446105480194
0,4,rt15_lmp_hourly_mean__congestion_usd_per_mwh__th_sp15_gen_apnd,0.04889529943466178,0.052673280239105294,0.1377137899398803,0.0888184905052185,0.014327049255371
0,5,actual_load__mw__ca_iso_tac,0.15725606679916382,0.14386790990829468,0.7804450988769531,0.6231890320777893,0.6206960678100586
0,5,dam_as_total_procured__mw__nr__as_caiso,0.012774050235748319,0.011492848396301297,0.2105888724327087,0.1978148221969604,0.1465163230895996
0,5,dam_as_total_procured__mw__rd__as_caiso,0.17430919408798218,0.15138506889343262,0.3030634522438049,0.1287542581558227,0.0171062350273132
0,5,dam_as_total_procured__mw__ru__as_caiso,0.0933068990707397,0.08283883333206181,0.1655601263046264,0.0722532272338867,0.0367324352264404
0,5,dam_as_total_procured__mw__sr__as_caiso,0.016482770442962605,0.020818114280700697,0.0991594195365905,0.0422374010086059,0.0826766490936279
0,5,dam_lmp__congestion_usd_per_mwh__th_sp15_gen_apnd,0.11833697557449349,0.09284138679504399,0.2000943422317505,0.081757366657257,0.0456358194351196
0,5,dam_lmp__lmp_usd_per_mwh__th_sp15_gen_apnd,0.1154523491859436,0.1013975739479065,0.5753564238548279,0.4599040746688843,0.1257120966911316
0,5,dam_lmp__loss_usd_per_mwh__th_sp15_gen_apnd,0.06348979473114019,0.0719177126884461,0.4318804144859314,0.3683906197547912,0.1284368634223938
