S,conf,syn_search,syn_audit,se,p@0.0,q@0.0,rej@0.0,p@0.05,q@0.05,rej@0.05,p@0.1,q@0.1,rej@0.1,p@0.15,q@0.15,rej@0.15
"(5, 26, 30)",10,0.012092108012198954,125.37083815278527,121.93002345186397,0.15201832375420207,0.18375684025157904,False,0.152114733172273,0.5191189344193999,False,0.15221118323133104,1.0,False,0.1523076739323094,1.0,False
"(5, 12, 30)",10,0.008214397534498707,125.36716613083605,121.92999545383657,0.15202534722414313,0.18375684025157904,False,0.1521217596256185,0.5191189344193999,False,0.15221821266816815,1.0,False,0.15231470635272426,1.0,False
"(8, 30, 34)",6,0.03035994953212151,74.77880717861848,61.09203422922571,0.11057966860539008,0.1386801457484343,False,0.11073406030395631,0.41346543407544334,False,0.11088860658686904,1.0,False,0.1110433075055564,1.0,False
"(8, 15, 36)",3,0.1029991226952105,15.045146912264585,10.565361131118179,0.07734149476306254,0.10126651079011373,False,0.07802863994329617,0.3169973335610474,False,0.07872041235804038,1.0,False,0.07941682762975885,1.0,False
"(10, 15, 36)",3,0.045668582167268545,15.003897086219217,10.575678798700068,0.0781098579508803,0.1020908870720871,False,0.07880149858006345,0.31935344161394136,False,0.079497774825583,1.0,False,0.08019870214892558,1.0,False
"(15, 36, 38)",3,0.044181021903900275,14.98032230168823,10.578994714328978,0.07850034663211818,0.10250010754173056,False,0.07919438801987656,0.32006992392994627,False,0.07989307086290574,1.0,False,0.08059641054909604,1.0,False
"(15, 30, 36)",3,0.007300275860006034,14.705253586283419,10.466021825402093,0.08012235989235181,0.10439159217061557,False,0.08083485839923477,0.32454098431597045,False,0.08155213568495379,1.0,False,0.0822742073821067,1.0,False
"(15, 21, 36)",1,0.24435818712462098,14.180712281121878,9.823197942903718,0.07454629636024136,0.09815002972413128,False,0.07526512408134482,0.30891103474841075,False,0.0759892300182069,1.0,False,0.07671863410490606,1.0,False
"(15, 23, 36)",1,0.20252252438688867,14.132621007646478,9.82639254505359,0.07530388653543987,0.09894093980906406,False,0.0760280402050677,0.31120012794164964,False,0.07675748964021376,1.0,False,0.07749225461948601,1.0,False
"(15, 24, 36)",1,0.19253725331291383,14.10829844807175,9.82588249727973,0.0756448867832194,0.09931015865949223,False,0.07637157440223985,0.31218059610594584,False,0.07710356768646293,1.0,False,0.07784088635574254,1.0,False
"(9, 15, 36)",0,0.06579953147318829,9.736831717701428,6.8368501162036885,0.07731800004848786,0.10125561954972398,False,0.0783815870467572,0.31804097391153563,False,0.07945624351568961,1.0,False,0.08054202681004838,1.0,False
"(15, 36, 40)",0,0.04899566067652539,9.72831332295247,6.838714980380044,0.07755467420206703,0.10146538626219262,False,0.07862043717340983,0.3189124257043307,False,0.07969727642224587,1.0,False,0.08078524912390353,1.0,False
"(15, 36, 42)",0,0.07373306782563271,9.727602523247178,6.840442940738576,0.0776218751616231,0.10151319390150451,False,0.07868806744123463,0.3190890279215283,False,0.07976533402712462,1.0,False,0.08085373201377677,1.0,False
"(15, 36, 43)",0,0.021264843676498835,9.69696787061922,6.837862934250688,0.07819573232563037,0.10216279756541864,False,0.07926829888932527,0.32006992392994627,False,0.08035197904017648,1.0,False,0.08144682961273354,1.0,False
"(15, 36, 41)",0,0.03753964059157244,9.690430142670827,6.831934188324166,0.07815579866192596,0.10214085232667726,False,0.0792288855586503,0.32006992392994627,False,0.0803131032463557,1.0,False,0.0814085087295989,1.0,False
"(0, 10, 25)",8,0.03000348229148586,7.597090000934862,7.557260921773067,0.15747631941812648,0.18938409604705744,False,0.15907348301436894,0.534984562986872,False,0.16068123439136334,1.0,False,0.16229957300183578,1.0,False
"(0, 18, 25)",8,0.02955345088505934,7.579164428950971,7.557394423386148,0.15805197613772864,0.19000094145121887,False,0.15965293555513707,0.5358864870189953,False,0.1612644822889775,1.0,False,0.16288661545530148,1.0,False
"(0, 12, 25)",7,0.023972509866800884,6.506346102026526,6.480782022524155,0.15779550201136308,0.18972706569573242,False,0.15966145896617395,0.5358864870189953,False,0.161541812987338,1.0,False,0.16343656254187788,1.0,False
"(0, 25, 38)",7,0.05997695032918693,6.501115636456371,6.481192191436553,0.15800533206703846,0.18996211128321144,False,0.1598727949317725,0.5363108652675772,False,0.16175465295411018,1.0,False,0.16365090440662167,1.0,False
"(0, 25, 30)",7,0.004983935436231435,6.4788829115432005,6.481550405620048,0.15884729863358155,0.1908011629877702,False,0.1607211615962385,0.5383585016505541,False,0.16260941755904734,1.0,False,0.16451206401310703,1.0,False
"(30, 37, 41)",7,0.0039770326592153404,6.19777954995888,4.317416643128517,0.0756876565203554,0.0993466127805339,False,0.07734992293926357,0.3153005248446453,False,0.07903980647374977,1.0,False,0.08075753644895427,1.0,False
"(0, 25, 39)",7,0.03448435713235887,6.061977272883987,6.496337815249857,0.1754605641954985,0.20856217126235702,False,0.1774536369891404,0.5753233704490026,False,0.17946095819757468,1.0,False,0.18148251006761917,1.0,False
"(15, 32, 36)",10,0.01477302493962307,5.656461452210022,3.9885819229964845,0.07819061025008474,0.10216279756541864,False,0.08003608534050552,0.3222857750835072,False,0.08191434199485083,1.0,False,0.08382566326022166,1.0,False
"(7, 15, 36)",4,0.049002612848798366,4.525739911154407,3.1647817554207474,0.0764732924776465,0.10026851654033761,False,0.07876568839133027,0.31930602297360827,False,0.08110983941448922,1.0,False,0.0835063180327937,1.0,False
"(14, 15, 36)",6,0.11658543516723485,2.8203722923042003,1.9514755608803884,0.07431344164000436,0.09787263535006144,False,0.07797692275716339,0.3168997813467402,False,0.08177599493088113,1.0,False,0.0857131010423403,1.0,False
"(15, 18, 36)",6,0.0505894783551164,2.802202537700657,1.951831501394305,0.07566646737488307,0.09932864445563995,False,0.07937962619894869,0.32032412229703733,False,0.08322924919833492,1.0,False,0.08721774325977079,1.0,False
"(15, 34, 36)",6,0.039937055285039325,2.80054501421456,1.9479057073895434,0.07537620459239172,0.09902613367936076,False,0.07908618753418932,0.3200175581126805,False,0.08293299351895311,1.0,False,0.086919051267225,1.0,False
"(15, 36, 39)",6,0.052679124421006196,2.796882396590544,1.9497355620471923,0.07583530199413671,0.09953054599250288,False,0.07955879203764579,0.32094932736721926,False,0.08341915609703746,1.0,False,0.0874188042863985,1.0,False
"(12, 15, 36)",6,0.02909458089290473,2.776660557557032,1.949570245905047,0.07730742135706528,0.10125192725998543,False,0.08108565475202532,0.32499992104325504,False,0.08500176051560815,1.0,False,0.08905811067249031,1.0,False
"(15, 31, 36)",6,0.006706553509222779,2.7549993454994026,1.9423995421467048,0.07816363464670667,0.10214101403660415,False,0.08198765709655559,0.32785160947668546,False,0.08595113847835072,1.0,False,0.09005645352221396,1.0,False
"(9, 34, 37)",10,0.031142473022722883,2.5972843364819425,1.6338854787729271,0.05607918817617871,0.0761834822243626,False,0.059615023813671536,0.2614375415192933,False,0.06332343408405598,1.0,False,0.06720921860094435,1.0,False
"(9, 32, 37)",10,0.014902645246326007,2.564811128906112,1.6233793283560263,0.05718336594470734,0.07753240157367977,False,0.060797261931403626,0.26547937257484655,False,0.06458755948653179,1.0,False,0.06855911748507806,1.0,False
"(9, 31, 37)",10,0.0033888092591530805,2.547404884236676,1.6150496964680778,0.05748508370591777,0.07789364115010998,False,0.06113301446367085,0.26672460250460645,False,0.06495961977223998,1.0,False,0.0689698236409894,1.0,False
"(0, 14, 25)",3,0.07627383910094221,2.404824545885975,2.3180255840209,0.14986008133181522,0.1814874649925531,False,0.15493836099966174,0.5261138784423763,False,0.1601291394555839,1.0,False,0.16543244476823288,1.0,False
"(0, 8, 25)",3,0.07614776722801053,2.3713988836447406,2.31811605860056,0.15325195343885137,0.18493566025914782,False,0.158405436747403,0.5334151040637187,False,0.16367144040024878,1.0,False,0.1690499221394875,1.0,False
"(9, 23, 37)",1,0.185265258755954,1.572391689959134,0.8454830296922443,0.03157224682609056,0.045758682092880656,True,0.035996726202253686,0.1768940154998726,False,0.04091729521023638,1.0,False,0.0463706002788343,1.0,False
"(9, 24, 37)",1,0.1788502603749378,1.5526505159937538,0.8458592008989553,0.033322631517995326,0.04791801648472639,True,0.03794325449356211,0.18454662596868768,False,0.04307443986857424,1.0,False,0.04875285630896602,1.0,False
"(4, 15, 27)",3,0.04811498144419013,1.517154341380915,1.487608777223889,0.15399146410039932,0.1857434381189152,False,0.1620963927691927,0.5400292306035603,False,0.17047447264257076,1.0,False,0.17912514577190403,1.0,False
"(4, 15, 16)",4,0.07129683042031187,1.4802127013390565,1.392234777127633,0.14394559535385576,0.17520590615444037,False,0.15223966283030219,0.5193874535096656,False,0.16084539151260455,1.0,False,0.1697630026719898,1.0,False
"(4, 10, 15)",4,0.06099216663034579,1.4632422214026013,1.3922644700620974,0.14673093434971168,0.17813772981277673,False,0.15513072069055558,0.526330447750001,False,0.16384231939401517,1.0,False,0.17286567914789175,1.0,False
"(4, 15, 37)",4,0.04796945051924295,1.4527450612263677,1.3922829727488717,0.1484717862319762,0.18008611932011107,False,0.15693700586794376,0.5305638341477196,False,0.16571408554225348,1.0,False,0.1748028036815586,1.0,False
"(4, 15, 41)",4,0.04627098331414292,1.4355003708836287,1.392229458990117,0.1513468883048077,0.183070434624977,False,0.1599196325611007,0.5363321381714908,False,0.16880427614527604,1.0,False,0.17800031638807373,1.0,False
"(0, 23, 25)",6,0.08674509202953606,1.433908105654434,1.365379684887765,0.14691237620386827,0.17834165998570406,False,0.1554876760659617,0.5272091095283146,False,0.16438720026851356,1.0,False,0.17361085014369243,1.0,False
"(0, 24, 25)",6,0.09460681083437017,1.4250167023484266,1.3655196928002842,0.1484383810737101,0.18006209186116656,False,0.1570713510734619,0.5305638341477196,False,0.1660285255209994,1.0,False,0.175309647543185,1.0,False
"(0, 25, 26)",5,0.06618973399526773,1.4174612070570372,1.3977708949411969,0.15536440707388885,0.1873312279030029,False,0.16404955699679946,0.5443929673930373,False,0.17304400620426408,1.0,False,0.18234687555894386,1.0,False
"(0, 16, 25)",5,0.0429057126687008,1.414349990762166,1.397882355215066,0.15591508945623558,0.18777297851763064,False,0.1646194871434386,0.545873932831172,False,0.17363310282606986,1.0,False,0.18295500468076875,1.0,False
"(9, 33, 37)",1,0.04255563548036212,1.414235003147637,0.8423179462280782,0.04669739013555874,0.06465332193121326,False,0.052777492860955816,0.23846156071689895,False,0.059470177013393064,1.0,False,0.06681138589713627,1.0,False
"(0, 7, 25)",6,0.049081566968788515,1.406655048842708,1.3654162541186468,0.15155273844026512,0.1832692173030379,False,0.16030472588623376,0.537487541680324,False,0.16938097481133585,1.0,False,0.17878090518607614,1.0,False
"(0, 11, 25)",6,0.044753226421277215,1.4023861514449922,1.365338936316211,0.15227361919259352,0.18397298053153702,False,0.16105328333224894,0.538977975088987,False,0.17015723106919467,1.0,False,0.17958480749099237,1.0,False
"(4, 15, 36)",4,0.04750776398925005,1.4021469152617332,1.3927648181667247,0.1571238534170192,0.18900529651725725,False,0.16590459713238925,0.5486673917780452,False,0.17499675015335542,1.0,False,0.18439924818350473,1.0,False
"(0, 15, 25)",6,0.04156097787804036,1.4014660342738214,1.3655228273057882,0.15246480949954339,0.18413678068684594,False,0.16125046089938017,0.539293208119038,False,0.1703603037206164,1.0,False,0.17979366369576316,1.0,False
