S,size,conf,v_audit,v_full
"(3,)",1,actual_load__mw__ca_iso_tac,0.7646777033805847,0.7615562677383423
"(3,)",1,dam_schedule__mw__generation__caiso_totals,0.723778486251831,0.732674241065979
"(3,)",1,dam_schedule__mw__import__caiso_totals,0.1577278971672058,0.16061514616012573
"(3,)",1,dam_schedule__mw__export__caiso_totals,0.37341493368148804,0.3656579852104187
"(3,)",1,dam_lmp__lmp_usd_per_mwh__th_sp15_gen_apnd,0.41817736625671387,0.4313792586326599
"(3,)",1,dam_lmp__congestion_usd_per_mwh__th_sp15_gen_apnd,0.07361578941345215,0.07256454229354858
"(3,)",1,dam_lmp__loss_usd_per_mwh__th_sp15_gen_apnd,0.3364015221595764,0.3286832571029663
"(3,)",1,rt15_lmp_hourly_mean__congestion_usd_per_mwh__th_sp15_gen_apnd,0.08902186155319214,0.10404670238494873
"(3,)",1,dam_as_total_procured__mw__ru__as_caiso,0.071952223777771,0.06713682413101196
"(3,)",1,dam_as_total_procured__mw__rd__as_caiso,0.10862797498703003,0.11330288648605347
"(3,)",1,dam_as_total_procured__mw__sr__as_caiso,0.06079387664794922,0.06918859481811523
"(3,)",1,dam_as_total_procured__mw__nr__as_caiso,0.2088388204574585,0.21225911378860474
"(7,)",1,actual_load__mw__ca_iso_tac,0.2192399501800537,0.22093987464904785
"(7,)",1,dam_schedule__mw__generation__caiso_totals,0.25129520893096924,0.25362247228622437
"(7,)",1,dam_schedule__mw__import__caiso_totals,0.264815092086792,0.26446157693862915
"(7,)",1,dam_schedule__mw__export__caiso_totals,0.2988475561141968,0.31230878829956055
"(7,)",1,dam_lmp__lmp_usd_per_mwh__th_sp15_gen_apnd,0.5043009519577026,0.5138134956359863
"(7,)",1,dam_lmp__congestion_usd_per_mwh__th_sp15_gen_apnd,0.3781823515892029,0.3739693760871887
"(7,)",1,dam_lmp__loss_usd_per_mwh__th_sp15_gen_apnd,0.15143805742263794,0.13010722398757935
"(7,)",1,rt15_lmp_hourly_mean__congestion_usd_per_mwh__th_sp15_gen_apnd,0.2724462151527405,0.2708871364593506
"(7,)",1,dam_as_total_procured__mw__ru__as_caiso,0.31958335638046265,0.30694764852523804
"(7,)",1,dam_as_total_procured__mw__rd__as_caiso,0.6808812022209167,0.6732063293457031
"(7,)",1,dam_as_total_procured__mw__sr__as_caiso,0.06902426481246948,0.10786360502243042
"(7,)",1,dam_as_total_procured__mw__nr__as_caiso,0.03553414344787598,0.038174211978912354
"(11,)",1,actual_load__mw__ca_iso_tac,0.1398274302482605,0.14805752038955688
"(11,)",1,dam_schedule__mw__generation__caiso_totals,0.17315208911895752,0.17421483993530273
"(11,)",1,dam_schedule__mw__import__caiso_totals,0.2644016146659851,0.2624947428703308
"(11,)",1,dam_schedule__mw__export__caiso_totals,0.24044108390808105,0.2518160343170166
