S,group,artifact,syn_struct,conf_struct,v_struct,syn_true_audit,conf_true_audit,v_true_audit,maxsub_true_audit,syn_true_full,conf_true_full,v_true_full,syn_at_struct_conf
"(13, 20, 37)",strong,False,0.3459313070222928,1,,0.29370683431625366,1,0.8728853464126587,0.8517594337463379,0.2693042755126953,1,0.8730517625808716,0.29370683431625366
"(7, 21, 36)",strong,False,0.3132695359271141,0,,0.24596500396728516,0,0.9578422904014587,0.9570262432098389,0.2342442274093628,0,0.962857723236084,0.24596500396728516
"(11, 20, 37)",strong,False,0.2934694728169448,1,,0.2887237071990967,1,0.8714267015457153,0.8491724729537964,0.2612125873565674,1,0.8729628920555115,0.2887237071990967
"(17, 20, 37)",strong,False,0.2812865429242671,1,,0.2802364230155945,1,0.8740694522857666,0.8517864942550659,0.25493109226226807,1,0.8786799907684326,0.2802364230155945
"(7, 20, 37)",strong,False,0.2760453563976666,1,,0.26328641176223755,1,0.866814374923706,0.8443847298622131,0.2432001829147339,1,0.8681873083114624,0.26328641176223755
"(1, 22, 31)",control,False,0.0046747931341235,9,,0.007799267768859863,9,0.8354030251502991,0.833206295967102,0.006281614303588867,9,0.8380281925201416,0.007799267768859863
"(14, 40, 43)",control,False,0.0281127420647772,5,,0.03820061683654785,8,0.3618418574333191,0.33394771814346313,0.03585737943649292,5,0.3820647597312927,0.033197641372680664
"(18, 25, 27)",control,False,0.0190111011516311,8,,0.03613448143005371,4,0.7096204161643982,0.698601245880127,0.02280944585800171,4,0.712040364742279,0.018199801445007324
"(5, 16, 31)",control,False,0.0048006640987321,9,,0.003989577293395996,9,0.7265613079071045,0.7282911539077759,0.003261387348175049,9,0.7212175130844116,0.003989577293395996
"(8, 18, 35)",control,False,0.0062077950060779,1,,0.02632129192352295,6,0.9773968458175659,0.9785637855529785,0.02977985143661499,6,0.9757364988327026,0.00947338342666626
