S,group,artifact,syn_struct,conf_struct,v_struct,syn_true_audit,conf_true_audit,v_true_audit,maxsub_true_audit,syn_true_full,conf_true_full,v_true_full,syn_at_struct_conf
"(9, 14, 20, 37)",strong,False,0.12636364380934006,3,0.8866009185285822,0.10792458057403564,3,0.9005479216575623,0.8894930481910706,0.10401690006256104,3,0.9052753448486328,0.10792458057403564
"(11, 14, 26, 37)",strong,False,0.12469324982197472,3,0.7239861995728305,0.1122012734413147,1,0.7818834781646729,0.7697160243988037,0.09136652946472168,1,0.7712608575820923,0.10132712125778198
"(14, 15, 20, 37)",strong,False,0.12356812311754228,3,0.903577356819331,0.10932880640029907,3,0.9169939756393433,0.909685492515564,0.10345172882080078,3,0.9202888607978821,0.10932880640029907
"(9, 14, 26, 37)",strong,False,0.12347936630995782,3,0.7681111053720056,0.11432385444641113,3,0.7898017168045044,0.782867968082428,0.09864526987075806,1,0.7800183296203613,0.11432385444641113
"(14, 15, 26, 37)",strong,False,0.12314302050547132,3,0.7714400664019365,0.12327384948730469,3,0.8013718128204346,0.7868844270706177,0.105399489402771,3,0.8010586500167847,0.12327384948730469
"(8, 17, 26, 36)",strong,False,0.12298143818470797,3,0.7404850183116727,0.11759012937545776,1,0.7913151383399963,0.7802489995956421,0.09052777290344238,1,0.7825350761413574,0.10152405500411987
"(8, 11, 26, 37)",strong,False,0.12100888459990466,3,0.7158123700825727,0.10378754138946533,1,0.7775691747665405,0.7697160243988037,0.08412015438079834,3,0.7702755928039551,0.09641969203948975
"(14, 20, 21, 29)",strong,False,0.120087794592323,1,0.9586092303679337,0.1279618740081787,1,0.9608727097511292,0.9598869681358337,0.11096251010894775,1,0.9650065898895264,0.1279618740081787
"(9, 14, 21, 36)",strong,False,0.11934761822199913,3,0.961441547470178,0.09403979778289795,3,0.9603673815727234,0.9607915282249451,0.1031266450881958,3,0.9653365015983582,0.09403979778289795
"(14, 17, 26, 36)",strong,False,0.11833135376656523,3,0.7435769690012016,0.11674559116363525,1,0.7932087182998657,0.7802489995956421,0.10155463218688965,1,0.7837477922439575,0.10173046588897705
