阶,最强真值,口径,强协同数
3,0.294,专用DNN重训（FDR-top-10；FDR 统计口径最强 0.374 互证），10个>0.10,"122 个过 FDR(τ=0.10, q=0.05)——统计保证的计数"
4,0.157,专用DNN重训（L1自选top-20，19个>0.10）,L1 估计 44 个>0.10（top精确率 19/20）
5,0.104,专用DNN重训（L1自选top-21，1个>0.10）,L1 估计 0 个>0.10（top精确率 1/21）
