S,group,artifact,syn_struct,conf_struct,v_struct,syn_true_audit,conf_true_audit,v_true_audit,maxsub_true_audit,syn_true_full,conf_true_full,v_true_full,syn_at_struct_conf,Stup,closed_syn
"(16, 20, 25, 34, 43)",strong,False,0.0736029553700245,1,0.8698386035283077,0.1036431789398193,1,0.8726505041122437,0.8724979162216187,0.0889906883239746,1,0.8659161329269409,0.1036431789398193,"(16, 20, 25, 34, 43)",0.01206153810808075
"(11, 14, 26, 35, 41)",strong,False,0.0724846767395273,0,0.9807488450285928,0.0642390251159668,0,0.9777054786682128,0.9793022274971008,0.0718483328819274,0,0.976810336112976,0.0642390251159668,"(11, 14, 26, 35, 41)",0.0067566009019044415
"(9, 23, 25, 26, 33)",strong,False,0.0719842620667016,1,0.8986141447147884,0.0848358273506164,1,0.9005553126335144,0.8931695222854614,0.0852086544036865,1,0.9004903435707092,0.0848358273506164,"(9, 23, 25, 26, 33)",0.03145666461438351
"(0, 12, 15, 29, 36)",control,False,0.0150698975022046,8,0.9335726339242264,0.0193064212799072,2,0.9390761852264404,0.9341992139816284,0.0181477069854736,5,0.9375429153442384,0.0107329487800598,"(0, 12, 15, 29, 36)",0.002036420925023541
"(13, 14, 28, 38, 42)",control,False,0.0128616228138753,7,0.889849333690609,0.0213366746902465,2,0.8922489881515503,0.8905627131462097,0.0203665494918823,7,0.8941217660903931,0.01753830909729,"(13, 14, 28, 38, 42)",0.0018596031725173767
"(6, 14, 23, 31, 37)",control,False,0.0018514596002733,4,0.8845384955258355,0.0039065480232238,9,0.8822388052940369,0.8815010786056519,0.0009609460830688,10,0.8854659199714661,0.000737726688385,"(6, 14, 23, 31, 37)",0.0008848987513234152
"(1, 9, 28, 30, 42)",control,False,0.0026071297468759,11,0.9111392473386988,0.0009630918502807,5,0.911135196685791,0.911467671394348,0.0018666982650756,5,0.9107003211975098,0.0009132623672485,"(1, 9, 28, 30, 42)",0.00012773352051431708
"(19, 20, 22, 25, 28)",control,False,0.0068799737974664,2,0.9823717953014226,0.0239536166191101,2,0.9809126853942872,0.9816974401474,0.025003969669342,2,0.9809758067131042,0.0239536166191101,"(19, 20, 22, 25, 28)",0.005029428295698135
"(2, 9, 25, 33, 39)",control,False,0.0065153671110266,3,0.833478801265487,0.0158507823944091,3,0.8445929288864136,0.8423170447349548,0.0131813287734985,11,0.854004442691803,0.0158507823944091,"(2, 9, 25, 33, 39)",0.0034665302952639476
"(6, 13, 23, 29, 43)",control,False,0.0132454838336711,5,0.9070785597278348,0.0123992562294006,3,0.9071677923202516,0.9047477841377258,0.0112780332565307,2,0.912865161895752,0.011325180530548,"(6, 13, 23, 29, 43)",0.004067382078001003
"(9, 10, 28, 32, 39)",control,False,0.0037676669801451,10,0.9055792797488924,0.0172399878501892,7,0.9112111926078796,0.906926453113556,0.015679121017456,8,0.9082058072090148,0.006879448890686,"(9, 10, 28, 32, 39)",0.002926980266862389
"(7, 17, 19, 22, 25)",control,False,0.0157743931832204,7,0.975462178380298,0.0183690786361694,5,0.970782995223999,0.9723578095436096,0.0190306901931762,5,0.9699883460998536,0.0127498507499694,"(7, 17, 19, 22, 25)",0.008136408193285094
"(1, 6, 16, 22, 27)",control,False,0.022424098210638,2,0.8713646073318777,0.050704002380371,9,0.8901909589767456,0.8766542673110962,0.0427364706993103,9,0.8878613114356995,0.0425706505775451,"(1, 6, 16, 22, 27)",0.00858009670903076
