S,group,artifact,syn_struct,conf_struct,v_struct,syn_true_audit,conf_true_audit,v_true_audit,maxsub_true_audit,syn_true_full,conf_true_full,v_true_full,syn_at_struct_conf,Stup,closed_syn
"(10, 20, 25, 34, 43)",strong,False,0.0855392869356422,1,0.8645613623162367,0.0961930751800537,1,0.8703898787498474,0.8724979162216187,0.0816199779510498,0,0.864547610282898,0.0961930751800537,"(10, 20, 25, 34, 43)",0.012192143280529533
"(23, 25, 26, 39, 42)",strong,False,0.0843334842245066,3,0.8737558166352374,0.096154510974884,3,0.8754859566688538,0.8764453530311584,0.0788764357566833,3,0.8801506757736206,0.096154510974884,"(23, 25, 26, 39, 42)",0.0074184609974086435
"(8, 20, 26, 34, 38)",strong,False,0.0781683791833014,0,0.8565185363906901,0.070970594882965,0,0.8565830588340759,0.8517781496047974,0.083288550376892,0,0.8541879653930664,0.070970594882965,"(8, 20, 26, 34, 38)",0.009540825802986486
"(5, 22, 26, 34, 43)",strong,False,0.0774195017650896,2,0.8561284286250195,0.0645197629928588,7,0.8559690117835999,0.8561263084411621,0.0591992735862731,7,0.8568252325057983,0.0643771290779113,"(5, 22, 26, 34, 43)",0.003811115609643201
"(9, 24, 25, 26, 33)",strong,False,0.0761535437979051,1,0.8595988899423341,0.0813474059104919,1,0.8698568344116211,0.8697028160095215,0.0833601951599121,1,0.8740346431732178,0.0813474059104919,"(9, 24, 25, 26, 33)",0.028820137367299548
"(4, 12, 13, 22, 26)",strong,False,0.0744460903525486,7,0.8223536761003499,0.033534824848175,7,0.8382928371429443,0.8152618408203125,0.0177546739578247,8,0.8440146446228027,0.033534824848175,"(4, 12, 13, 22, 26)",0.00834815434547631
"(19, 22, 24, 25, 39)",strong,False,0.0742895016726514,0,0.9753246227358012,0.0748062133789062,1,0.9749758243560792,0.9747790694236756,0.0812605619430542,1,0.9745933413505554,0.0574010014533996,"(19, 22, 24, 25, 39)",0.012969617736447892
"(8, 22, 25, 34, 43)",strong,False,0.0738335586713355,1,0.8489234491151711,0.0745196342468261,0,0.8498815894126892,0.8474185466766357,0.0718257427215576,0,0.8420547842979431,0.0697972178459167,"(8, 22, 25, 34, 43)",0.0008874933770919372
"(3, 22, 23, 26, 28)",strong,False,0.0729357848464584,2,0.8950860351644055,0.0713499188423156,2,0.9107138514518738,0.9039677977561952,0.0731012821197509,2,0.9113208651542664,0.0713499188423156,"(3, 22, 23, 26, 28)",0.007884653329815139
"(0, 1, 14, 23, 25)",strong,False,0.0723248702146018,2,0.8938683808789281,0.0761011242866516,2,0.9104342460632324,0.9071423411369324,0.0620619654655456,2,0.9062097668647766,0.0761011242866516,"(0, 1, 14, 23, 25)",0.007816190035224824
"(10, 15, 22, 25, 26)",strong,False,0.0717385071311603,1,0.8107423144822933,0.0911670327186584,1,0.8319817781448364,0.8119917511940002,0.0758869051933288,0,0.8394262790679932,0.0911670327186584,"(10, 15, 22, 25, 26)",0.03234053080437849
"(1, 9, 19, 21, 36)",control,False,0.0059469303734611,6,0.9845130043152568,0.0085027813911437,6,0.9836944937705994,0.9841821193695068,0.0110952258110046,2,0.9835954308509828,0.0085027813911437,"(1, 9, 19, 21, 36)",0.0018877666421170947
"(2, 4, 5, 13, 30)",control,False,0.0094435301344171,3,0.8819341839236553,0.0003365874290466,5,0.880908727645874,0.8826252818107605,0.0009503364562988,10,0.8759075999259949,-0.0036902427673339,"(2, 4, 5, 13, 30)",0.0017033762319866586
"(0, 19, 29, 39, 41)",control,False,0.0116515401873921,2,0.9644281453436512,0.0327207446098327,5,0.9654911160469056,0.962344765663147,0.0290758609771728,9,0.9644513130187988,0.0043935775756835,"(0, 19, 29, 39, 41)",0.0025569937400251597
"(1, 12, 14, 30, 38)",control,False,0.002516383556858,11,0.8602793763156096,0.0028815269470214,2,0.8655329942703247,0.8655368685722351,0.0023573637008666,2,0.8650662899017334,0.0002776980400085,"(1, 12, 14, 30, 38)",0.0003134738166145623
"(0, 2, 3, 22, 24)",control,False,0.0312290967516301,2,0.9072479032055708,0.053903579711914,2,0.9223363995552064,0.9168341755867004,0.0576673746109008,2,0.9189689755439758,0.053903579711914,"(0, 2, 3, 22, 24)",0.008542339260898979
"(12, 13, 21, 23, 42)",control,False,0.0047049205160272,6,0.9688517857586024,0.0097534656524658,6,0.9694168567657472,0.9690629243850708,0.0107682347297668,11,0.9718359708786012,0.0097534656524658,"(12, 13, 21, 23, 42)",0.0007974134352888296
"(5, 10, 18, 20, 36)",control,False,0.0055676409788283,6,0.8515149027274421,0.051430344581604,2,0.8744857311248779,0.8667058348655701,0.0477368235588073,2,0.881100594997406,0.0082316398620605,"(5, 10, 18, 20, 36)",0.0022242023466777505
"(1, 4, 23, 28, 40)",control,False,0.0036973917491643,11,0.8842681310056786,0.0094984769821167,2,0.8920379281044006,0.8885909914970398,0.0136950016021728,2,0.8926886916160583,0.0022574663162231,"(1, 4, 23, 28, 40)",0.006165467320177809
"(13, 14, 25, 34, 35)",control,False,0.0189564384679323,1,0.9815820695024606,0.0273063778877258,1,0.9784181118011476,0.979236364364624,0.0313362479209899,1,0.9776593446731568,0.0273063778877258,"(13, 14, 25, 34, 35)",0.002510363353180667
"(7, 15, 22, 37, 41)",control,False,0.0242791333374768,3,0.8595142549439928,0.0269921422004699,7,0.8696810603141785,0.8587244153022766,0.0243496298789978,7,0.8776136040687561,0.0241716504096984,"(7, 15, 22, 37, 41)",0.01028886746212232
"(15, 16, 24, 26, 33)",strong,False,0.0846005993597696,0,0.8793017458138376,0.0872280597686767,0,0.8918814063072205,0.889652669429779,0.0686363577842712,0,0.8935772180557251,0.0872280597686767,"(15, 16, 24, 26, 33)",0.018763047085982087
"(1, 20, 26, 34, 43)",strong,False,0.0797501454014071,2,0.9036718985397472,0.0642818212509155,2,0.9127326011657716,0.9007012844085693,0.0567209720611572,2,0.9122738242149352,0.0642818212509155,"(1, 20, 26, 34, 43)",0.006505683168057996
"(8, 9, 26, 35, 41)",strong,False,0.0777312305634776,0,0.981907109956585,0.0741323232650756,0,0.9771694540977478,0.9791117310523988,0.0748805403709411,0,0.9757410287857056,0.0741323232650756,"(8, 9, 26, 35, 41)",0.0036846775750810634
"(22, 24, 25, 26, 39)",strong,False,0.0765127940159291,1,0.8240130558205939,0.0759675502777099,1,0.8326743841171265,0.8300584554672241,0.0797201991081237,1,0.8466378450393677,0.0759675502777099,"(22, 24, 25, 26, 39)",0.007859658448589907
"(15, 22, 25, 26, 33)",strong,False,0.0751332938846504,1,0.8282307175443016,0.0746409893035888,1,0.8295489549636841,0.8339759111404419,0.0775529146194458,1,0.8251849412918091,0.0746409893035888,"(15, 22, 25, 26, 33)",0.01821212900135205
"(2, 6, 16, 22, 27)",strong,False,0.0744132619339651,7,0.835679352318279,0.0494777560234069,8,0.871658444404602,0.8554729223251343,0.0476847290992736,8,0.8738034963607788,0.0482376813888549,"(2, 6, 16, 22, 27)",0.0025332500216648235
"(14, 22, 24, 26, 38)",strong,False,0.0740806090315515,1,0.8183169119884872,0.0730993151664733,0,0.8297377228736877,0.8239958882331848,0.0753908157348632,0,0.8439443111419678,0.0616591572761535,"(14, 22, 24, 26, 38)",0.004987380103269157
