S,size,conf,v_audit,v_full
"(0, 1, 11)",3,actual_load__mw__ca_iso_tac,0.9215316772460938,0.9162809252738953
"(0, 1, 11)",3,dam_schedule__mw__generation__caiso_totals,0.8937347531318665,0.893378734588623
"(0, 1, 11)",3,dam_schedule__mw__import__caiso_totals,0.3910070061683655,0.3909419775009155
"(0, 1, 11)",3,dam_schedule__mw__export__caiso_totals,0.57753986120224,0.5758073925971985
"(0, 1, 11)",3,dam_lmp__lmp_usd_per_mwh__th_sp15_gen_apnd,0.7552310228347778,0.7714998126029968
"(0, 1, 11)",3,dam_lmp__congestion_usd_per_mwh__th_sp15_gen_apnd,0.48329293727874756,0.47003811597824097
"(0, 1, 11)",3,dam_lmp__loss_usd_per_mwh__th_sp15_gen_apnd,0.43519067764282227,0.4287184476852417
"(0, 1, 11)",3,rt15_lmp_hourly_mean__congestion_usd_per_mwh__th_sp15_gen_apnd,0.3115057945251465,0.3245602250099182
"(0, 1, 11)",3,dam_as_total_procured__mw__ru__as_caiso,0.40893101692199707,0.39063477516174316
"(0, 1, 11)",3,dam_as_total_procured__mw__rd__as_caiso,0.7748544216156006,0.7647596597671509
"(0, 1, 11)",3,dam_as_total_procured__mw__sr__as_caiso,0.15426474809646606,0.18386083841323853
"(0, 1, 11)",3,dam_as_total_procured__mw__nr__as_caiso,0.23178964853286743,0.23581987619400024
"(0, 2, 37)",3,actual_load__mw__ca_iso_tac,0.813545823097229,0.8188875317573547
"(0, 2, 37)",3,dam_schedule__mw__generation__caiso_totals,0.7259830236434937,0.7489321231842041
"(0, 2, 37)",3,dam_schedule__mw__import__caiso_totals,0.3511819839477539,0.34971874952316284
"(0, 2, 37)",3,dam_schedule__mw__export__caiso_totals,0.48046594858169556,0.4793945550918579
"(0, 2, 37)",3,dam_lmp__lmp_usd_per_mwh__th_sp15_gen_apnd,0.6902354955673218,0.7156487107276917
"(0, 2, 37)",3,dam_lmp__congestion_usd_per_mwh__th_sp15_gen_apnd,0.30210983753204346,0.3257417678833008
"(0, 2, 37)",3,dam_lmp__loss_usd_per_mwh__th_sp15_gen_apnd,0.4200495481491089,0.4224677085876465
