S,size,conf,v_audit,v_full
"(0, 4, 31)",3,rt15_lmp_hourly_mean__congestion_usd_per_mwh__th_sp15_gen_apnd,0.13847535848617554,0.15290236473083496
"(0, 4, 31)",3,dam_as_total_procured__mw__ru__as_caiso,0.15046393871307373,0.14038723707199097
"(0, 4, 31)",3,dam_as_total_procured__mw__rd__as_caiso,0.2983372211456299,0.3032378554344177
"(0, 4, 31)",3,dam_as_total_procured__mw__sr__as_caiso,0.0730399489402771,0.09651082754135132
"(0, 4, 31)",3,dam_as_total_procured__mw__nr__as_caiso,0.2173810601234436,0.2218577265739441
"(0, 5, 27)",3,actual_load__mw__ca_iso_tac,0.8089408278465271,0.8101387023925781
"(0, 5, 27)",3,dam_schedule__mw__generation__caiso_totals,0.8049030303955078,0.8089102506637573
"(0, 5, 27)",3,dam_schedule__mw__import__caiso_totals,0.30619341135025024,0.30032992362976074
"(0, 5, 27)",3,dam_schedule__mw__export__caiso_totals,0.6405773162841797,0.61175537109375
"(0, 5, 27)",3,dam_lmp__lmp_usd_per_mwh__th_sp15_gen_apnd,0.6136301755905151,0.6331114172935486
"(0, 5, 27)",3,dam_lmp__congestion_usd_per_mwh__th_sp15_gen_apnd,0.2828071713447571,0.29134225845336914
"(0, 5, 27)",3,dam_lmp__loss_usd_per_mwh__th_sp15_gen_apnd,0.4556789994239807,0.45639312267303467
"(0, 5, 27)",3,rt15_lmp_hourly_mean__congestion_usd_per_mwh__th_sp15_gen_apnd,0.2147960662841797,0.2349003553390503
"(0, 5, 27)",3,dam_as_total_procured__mw__ru__as_caiso,0.21328026056289673,0.20253342390060425
"(0, 5, 27)",3,dam_as_total_procured__mw__rd__as_caiso,0.3920215964317322,0.38900548219680786
"(0, 5, 27)",3,dam_as_total_procured__mw__sr__as_caiso,0.12349510192871094,0.14985370635986328
"(0, 5, 27)",3,dam_as_total_procured__mw__nr__as_caiso,0.227880597114563,0.23743629455566406
"(0, 6, 27)",3,actual_load__mw__ca_iso_tac,0.8048140406608582,0.8080452680587769
"(0, 6, 27)",3,dam_schedule__mw__generation__caiso_totals,0.8088958263397217,0.8130226135253906
"(0, 6, 27)",3,dam_schedule__mw__import__caiso_totals,0.33394306898117065,0.3225732445716858
"(0, 6, 27)",3,dam_schedule__mw__export__caiso_totals,0.616365373134613,0.602961003780365
"(0, 6, 27)",3,dam_lmp__lmp_usd_per_mwh__th_sp15_gen_apnd,0.6284713745117188,0.6505602598190308
"(0, 6, 27)",3,dam_lmp__congestion_usd_per_mwh__th_sp15_gen_apnd,0.3794235587120056,0.3763156533241272
"(0, 6, 27)",3,dam_lmp__loss_usd_per_mwh__th_sp15_gen_apnd,0.465964138507843,0.4654279351234436
"(0, 6, 27)",3,rt15_lmp_hourly_mean__congestion_usd_per_mwh__th_sp15_gen_apnd,0.29046547412872314,0.3029191493988037
"(0, 6, 27)",3,dam_as_total_procured__mw__ru__as_caiso,0.21291029453277588,0.21120113134384155
"(0, 6, 27)",3,dam_as_total_procured__mw__rd__as_caiso,0.4339906573295593,0.4351750612258911
"(0, 6, 27)",3,dam_as_total_procured__mw__sr__as_caiso,0.09894776344299316,0.13029342889785767
"(0, 6, 27)",3,dam_as_total_procured__mw__nr__as_caiso,0.2360028624534607,0.2450120449066162
"(0, 7, 41)",3,actual_load__mw__ca_iso_tac,0.8798421621322632,0.8700252771377563
"(0, 7, 41)",3,dam_schedule__mw__generation__caiso_totals,0.850149929523468,0.854465663433075
"(0, 7, 41)",3,dam_schedule__mw__import__caiso_totals,0.38329923152923584,0.38330674171447754
"(0, 7, 41)",3,dam_schedule__mw__export__caiso_totals,0.5943366289138794,0.5887846350669861
"(0, 7, 41)",3,dam_lmp__lmp_usd_per_mwh__th_sp15_gen_apnd,0.7573361992835999,0.7755528092384338
"(0, 7, 41)",3,dam_lmp__congestion_usd_per_mwh__th_sp15_gen_apnd,0.4525318145751953,0.44648653268814087
"(0, 7, 41)",3,dam_lmp__loss_usd_per_mwh__th_sp15_gen_apnd,0.42425626516342163,0.4085405468940735
"(0, 7, 41)",3,rt15_lmp_hourly_mean__congestion_usd_per_mwh__th_sp15_gen_apnd,0.34961605072021484,0.3540583848953247
"(0, 7, 41)",3,dam_as_total_procured__mw__ru__as_caiso,0.3484644293785095,0.3391735553741455
"(0, 7, 41)",3,dam_as_total_procured__mw__rd__as_caiso,0.7208677530288696,0.714881420135498
"(0, 7, 41)",3,dam_as_total_procured__mw__sr__as_caiso,0.12023764848709106,0.1592286229133606
"(0, 7, 41)",3,dam_as_total_procured__mw__nr__as_caiso,0.22274327278137207,0.22686010599136353
"(0, 9, 22)",3,actual_load__mw__ca_iso_tac,0.8905073404312134,0.8970118165016174
"(0, 9, 22)",3,dam_schedule__mw__generation__caiso_totals,0.8481639623641968,0.8598962426185608
"(0, 9, 22)",3,dam_schedule__mw__import__caiso_totals,0.4581766128540039,0.4587339162826538
"(0, 9, 22)",3,dam_schedule__mw__export__caiso_totals,0.5618823766708374,0.562508761882782
"(0, 9, 22)",3,dam_lmp__lmp_usd_per_mwh__th_sp15_gen_apnd,0.8272525668144226,0.8432380557060242
"(0, 9, 22)",3,dam_lmp__congestion_usd_per_mwh__th_sp15_gen_apnd,0.5226120948791504,0.5133031010627747
