S,group,artifact,syn_struct,conf_struct,v_struct,syn_true_audit,conf_true_audit,v_true_audit,maxsub_true_audit,syn_true_full,conf_true_full,v_true_full,syn_at_struct_conf,Stup,closed_syn
"(9, 21, 36)",strong,False,0.3738000173711724,1,,0.2820389866828918,1,0.9607915282249452,0.9562040567398072,0.2837129831314087,1,0.9651535153388976,0.2820389866828918,"(9, 21, 36)",0.20108236702125054
"(17, 21, 37)",strong,False,0.3152129713504571,1,,0.271056056022644,1,0.959415316581726,0.957865834236145,0.2518039345741272,1,0.9637417197227478,0.271056056022644,"(17, 21, 37)",0.18198420444079572
"(13, 20, 36)",strong,False,0.2948391056254804,1,,0.294209361076355,1,0.8727696537971497,0.8517594337463379,0.2689409852027893,1,0.8729292154312134,0.294209361076355,"(13, 20, 36)",0.19340094420839749
"(11, 20, 36)",strong,False,0.2891441043555394,1,,0.289782702922821,1,0.8717471361160278,0.8491724729537964,0.2615184783935547,1,0.873371422290802,0.289782702922821,"(11, 20, 36)",0.19083829521459356
"(17, 20, 36)",strong,False,0.2790521776142219,1,,0.2810789346694946,1,0.8757340312004089,0.8517864942550659,0.2548168897628784,1,0.8798573017120361,0.2810789346694946,"(17, 20, 36)",0.20387914342162927
"(0, 31, 42)",control,False,0.0201807848151588,7,,0.0053695440292358,3,0.6371470093727112,0.6359453201293945,0.0051094889640808,3,0.6406880617141724,-0.0001341104507446,"(0, 31, 42)",0.004070766313218455
"(17, 24, 34)",control,False,0.0236039637147654,0,,0.0254935026168823,11,0.8425735831260681,0.8407214283943176,0.0312025547027587,11,0.8422154188156128,0.0199070572853088,"(17, 24, 34)",0.008020922969009692
"(0, 28, 40)",control,False,0.0241058875209964,7,,0.0535804033279418,4,0.8504948616027832,0.851594865322113,0.050869882106781,4,0.8495653867721558,0.0285695195198059,"(0, 28, 40)",0.031018931106746084
"(11, 12, 32)",control,False,0.0015697645889417,4,,0.011193573474884,6,0.7387908697128296,0.7379184365272522,0.0182574391365051,6,0.7268471717834473,0.0078681707382202,"(11, 12, 32)",0.0036342255153105074
"(0, 7, 9)",control,False,0.0310484742976803,5,,0.0312559008598327,7,0.8943367600440979,0.8846830129623413,0.041258692741394,5,0.8928292989730835,0.0306093096733093,"(0, 7, 9)",0.0044307692498621876
"(13, 20, 37)",strong,False,0.3459313070222928,1,,0.2937068343162536,1,0.8728853464126587,0.8517594337463379,0.2693042755126953,1,0.8730517625808716,0.2937068343162536,"(13, 20, 37)",0.19340155115865076
"(7, 21, 36)",strong,False,0.3132695359271141,0,,0.2459650039672851,0,0.9578422904014589,0.9570262432098388,0.2342442274093628,0,0.962857723236084,0.2459650039672851,"(7, 21, 36)",0.16875993121413208
"(11, 20, 37)",strong,False,0.2934694728169448,1,,0.2887237071990967,1,0.8714267015457153,0.8491724729537964,0.2612125873565674,1,0.8729628920555115,0.2887237071990967,"(11, 20, 37)",0.19083829621112092
"(17, 20, 37)",strong,False,0.2812865429242671,1,,0.2802364230155945,1,0.8740694522857666,0.8517864942550659,0.254931092262268,1,0.8786799907684326,0.2802364230155945,"(17, 20, 37)",0.20387913982008937
"(7, 20, 37)",strong,False,0.2760453563976666,1,,0.2632864117622375,1,0.866814374923706,0.8443847298622131,0.2432001829147339,1,0.8681873083114624,0.2632864117622375,"(7, 20, 37)",0.19179046467058575
"(1, 22, 31)",control,False,0.0046747931341235,9,,0.0077992677688598,9,0.8354030251502991,0.833206295967102,0.0062816143035888,9,0.8380281925201416,0.0077992677688598,"(1, 22, 31)",0.0037856852745507263
"(14, 40, 43)",control,False,0.0281127420647772,5,,0.0382006168365478,8,0.3618418574333191,0.3339477181434631,0.0358573794364929,5,0.3820647597312927,0.0331976413726806,"(14, 40, 43)",0.013722515354718384
"(18, 25, 27)",control,False,0.0190111011516311,8,,0.0361344814300537,4,0.7096204161643982,0.698601245880127,0.0228094458580017,4,0.712040364742279,0.0181998014450073,"(18, 25, 27)",0.017037557570773604
"(5, 16, 31)",control,False,0.0048006640987321,9,,0.0039895772933959,9,0.7265613079071045,0.7282911539077759,0.003261387348175,9,0.7212175130844116,0.0039895772933959,"(5, 16, 31)",0.0026399544900693704
"(8, 18, 35)",control,False,0.0062077950060779,1,,0.0263212919235229,6,0.977396845817566,0.9785637855529784,0.0297798514366149,6,0.9757364988327026,0.0094733834266662,"(8, 18, 35)",0.03586883928376955
