S,group,artifact,syn_struct,conf_struct,v_struct,syn_true_audit,conf_true_audit,v_true_audit,maxsub_true_audit,syn_true_full,conf_true_full,v_true_full,syn_at_struct_conf,Stup,rank_s1,rank_s2,cross_rank,true
"(14, 17, 23, 26)",strong,False,0.1199978548338945,1,0.8929233251988922,0.139318585395813,1,0.8906695246696472,0.8858055472373962,0.1312605142593383,1,0.8968281149864197,0.139318585395813,"(14, 17, 23, 26)",4,1,2.0,True
"(8, 15, 24, 26)",strong,False,0.1103435134410397,1,0.8525394615671534,0.1406416893005371,1,0.8619672060012817,0.8614672422409058,0.1300352811813354,1,0.8694391846656799,0.1406416893005371,"(8, 15, 24, 26)",13,3,6.244997998398398,True
"(8, 13, 23, 26)",strong,False,0.1079110678497958,1,0.8931028422757121,0.1388171911239624,1,0.8900054693222046,0.8897601962089539,0.1237530708312988,1,0.8950990438461304,0.1388171911239624,"(8, 13, 23, 26)",6,8,6.928203230275509,True
"(14, 15, 24, 26)",strong,False,0.1310760239049755,1,0.8564778668311058,0.1567798852920532,1,0.8629335165023804,0.8614672422409058,0.1479329466819763,1,0.8713156580924988,0.1567798852920532,"(14, 15, 24, 26)",10,5,7.0710678118654755,True
"(11, 14, 23, 26)",strong,False,0.109261098273571,1,0.8908693838228133,0.1386095881462097,1,0.8870769739151001,0.8864692449569702,0.1363682746887207,1,0.8912543654441833,0.1386095881462097,"(11, 14, 23, 26)",2,25,7.0710678118654755,True
"(14, 15, 23, 26)",strong,False,0.1229251172075172,1,0.8993044615730115,0.1447392106056213,1,0.8972519040107727,0.8952089548110962,0.1359298825263977,1,0.9011319875717164,0.1447392106056213,"(14, 15, 23, 26)",5,14,8.366600265340756,True
"(14, 17, 24, 26)",strong,False,0.113027921631206,1,0.8445140459006801,0.1411695480346679,1,0.8518947958946228,0.8467740416526794,0.1309106349945068,1,0.8604571223258972,0.1411695480346679,"(14, 17, 24, 26)",17,7,10.908712114635714,True
"(8, 9, 23, 26)",strong,False,0.1082641685540023,1,0.8926393330673488,0.1308714151382446,1,0.8909742832183838,0.8915141820907593,0.1243475079536438,1,0.894331693649292,0.1308714151382446,"(8, 9, 23, 26)",24,9,14.696938456699069,True
"(14, 15, 20, 36)",strong,False,0.1144917583519863,3,0.9156903080416428,0.1161532402038574,3,0.917874276638031,0.909045398235321,0.1092896461486816,3,0.9211586713790894,0.1161532402038574,"(14, 15, 20, 36)",15,20,17.320508075688775,True
"(13, 14, 24, 26)",strong,False,0.1147953721695369,1,0.8403160588253782,0.1450428962707519,1,0.8468467593193054,0.8449183702468872,0.1356518864631652,1,0.8565356135368347,0.1450428962707519,"(13, 14, 24, 26)",30,13,19.748417658131498,True
"(8, 9, 26, 37)",strong,False,0.1124931758294203,3,0.7825773690211532,0.1126259565353393,3,0.7897765040397644,0.782867968082428,0.0901371240615844,3,0.7802675366401672,0.1126259565353393,"(8, 9, 26, 37)",20,22,20.97617696340303,True
"(8, 13, 24, 26)",strong,False,0.1171835845555516,1,0.8414291193360424,0.1336226463317871,1,0.8427585363388062,0.8449183702468872,0.1236357688903808,1,0.8527235388755798,0.1336226463317871,"(8, 13, 24, 26)",29,28,28.495613697550013,True
"(14, 15, 26, 37)",strong,False,0.117714498827211,3,0.79608415424681,0.1232738494873046,3,0.8013718128204346,0.7868844270706177,0.105399489402771,3,0.8010586500167847,0.1232738494873046,"(14, 15, 26, 37)",25,40,31.622776601683793,True
"(8, 21, 26, 33)",strong,False,0.1096000091068445,1,0.955817131005325,0.1234468221664428,1,0.9522266387939452,0.95377779006958,0.1376854181289672,1,0.9586230516433716,0.1234468221664428,"(8, 21, 26, 33)",18,71,35.749125863438955,True
"(14, 19, 26, 33)",strong,False,0.1089962659479979,1,0.9700559685527688,0.1274174451828003,1,0.9660120606422424,0.9651628732681274,0.1236063241958618,1,0.9666641354560852,0.1274174451828003,"(14, 19, 26, 33)",51,26,36.41428291206625,True
"(9, 14, 26, 37)",strong,False,0.1139361633162115,3,0.7919094705263323,0.1143238544464111,3,0.7898017168045044,0.782867968082428,0.098645269870758,1,0.7800183296203613,0.1143238544464111,"(9, 14, 26, 37)",153,11,41.02438299353203,True
"(8, 17, 24, 26)",strong,False,0.120765999648722,1,0.8431521927533715,0.1283548474311828,1,0.8468521237373352,0.8467740416526794,0.117907166481018,1,0.8558889627456665,0.1283548474311828,"(8, 17, 24, 26)",45,76,58.48076606885378,True
"(8, 9, 24, 26)",strong,False,0.1169258485596597,1,0.8560241039556079,0.123710811138153,1,0.8562358021736145,0.8562811613082886,0.1292855739593505,1,0.8634995818138123,0.123710811138153,"(8, 9, 24, 26)",84,52,66.09084656743322,True
"(8, 9, 22, 26)",strong,False,0.1096199795571711,1,0.7570535893476097,0.1203532218933105,1,0.7640817761421204,0.7574701905250549,0.1118338704109191,1,0.772675096988678,0.1203532218933105,"(8, 9, 22, 26)",36,180,80.49844718999243,True
"(8, 19, 21, 33)",strong,False,0.108454514923902,3,0.9821880169058652,0.0530986189842224,0,0.9822637438774108,0.9816542267799376,0.0507540702819824,0,0.98206889629364,0.0403231978416442,"(8, 19, 21, 33)",2320,282,808.8510369653982,False
