field,multi_block_32test,multi_include_39,d_multi,single_block_32test,single_include_39,d_single
net_actual_interchange_mw,0.8077611923217773,0.8037950992584229,-0.003966093063354492,0.8853111267089844,0.8872606754302979,0.0019495487213134766
gross_actual_interchange_mw,0.7469661235809326,0.7416504621505737,-0.005315661430358887,0.8101683855056763,0.8106027245521545,0.0004343390464782715
total_gen,0.9853320717811584,0.9862083196640016,0.0008762478828431286,0.998100221157074,0.998010754585266,-8.946657180797235e-05
metered_load_mw,0.9887996912002563,0.9892125129699708,0.0004128217697144665,0.9952993988990784,0.9953007698059082,1.3709068298339844e-06
total_losses,0.8170769214630127,0.809262752532959,-0.007814168930053711,0.877171516418457,0.8800974488258362,0.0029259324073791504
congestion_price_da,0.4174652695655823,0.4034098982810974,-0.014055371284484863,0.8325854539871216,0.8466801643371582,0.014094710350036621
congestion_price_rt,0.5666795969009399,0.5556395053863525,-0.011040091514587402,0.6040388345718384,0.604457437992096,0.00041860342025756836
marginal_loss_price_da,0.7242662310600281,0.7328116297721863,0.008545398712158203,0.8151653409004211,0.7858828902244568,-0.029282450675964355
total_lmp_da,0.9773788452148438,0.9789354205131532,0.0015565752983094372,0.9979448318481444,0.9985785484313964,0.0006337165832519531
da_as_total_mw_primary_reserve,0.9490666389465332,0.9468300342559814,-0.002236604690551758,0.996891438961029,0.997078537940979,0.00018709897994995117
da_as_total_mw_synchronized_reserve,0.9152980446815492,0.9137595891952516,-0.0015384554862976074,0.9982166290283204,0.9979966878890992,-0.0002199411392211914
da_as_total_mw_thirty_minutes_reserve,0.8194113969802856,0.8257312774658203,0.006319880485534668,0.8672859072685242,0.8664096593856812,-0.0008762478828430176
