数据集,K,仅多目标DNN,多目标DNN+树,正式三攻击器,正式减仅多目标DNN
pjm,0,0.13461625370068278,0.14367453283594153,0.14429637789726257,0.009680124196579792
pjm,1,0.22624957828017755,0.24018760283223953,0.24169595539569855,0.015446377115520993
pjm,2,0.26075810194015503,0.2842631029465323,0.28733086585998535,0.026572763919830322
pjm,3,0.2820705447981997,,,
caiso,0,0.17661313276465346,0.1818568631377541,0.18195797502994537,0.005344842265291916
caiso,1,0.24545419010204997,0.25308002340445857,0.25501543283462524,0.009561242732575276
caiso,2,0.2664268151289079,0.27873269808327217,0.28169146180152893,0.015264646672621007
caiso,3,0.2766151546947355,,,
