数据集,K,alpha,覆盖率_M小于等于U,覆盖率_区间含M,区间宽度_U减L3,紧度_U减M,下界差_M减L3
pjm,0,0.05,0.9186991869918699,0.9186991869918699,0.030986273661255836,0.030986273661255836,0.0
pjm,0,0.01,0.9654471544715447,0.9654471544715447,0.06327839940786362,0.06327839940786362,0.0
pjm,1,0.05,0.926829268292683,0.926829268292683,0.07400280237197876,0.06424965709447861,0.009753142483532429
pjm,1,0.01,0.9817073170731707,0.9817073170731707,0.12494809180498123,0.11519493907690048,0.009753142483532429
pjm,2,0.05,0.926829268292683,0.926829268292683,0.09325791150331497,0.06694746762514114,0.026310447603464127
pjm,2,0.01,0.9796747967479674,0.9796747967479674,0.1451219767332077,0.11881153285503387,0.026310447603464127
caiso,0,0.05,0.9308943089430894,0.9308943089430894,0.01923881284892559,0.01923881284892559,0.0
caiso,0,0.01,0.9613821138211383,0.9613821138211383,0.045308392494916916,0.045308392494916916,0.0
caiso,1,0.05,0.959349593495935,0.959349593495935,0.0345420241355896,0.03339531272649765,0.0011467084987089038
caiso,1,0.01,0.983739837398374,0.983739837398374,0.08932498097419739,0.08817826956510544,0.0011467084987089038
caiso,2,0.05,0.9349593495934959,0.9349593495934959,0.040293190628290176,0.03303376957774162,0.007259421981871128
caiso,2,0.01,0.9857723577235772,0.9857723577235772,0.09231792390346527,0.08505850285291672,0.007259421981871128
