feature,gate,pearson,spearman,kendall,nmi,distance_corr
gross_sched_interchange_mw,0.68993455,0.4850815,0.4639036,0.2791743,0.1488546,0.43492144
da_as_as_req_mw_thirty_minutes_reserve,0.68192166,0.42698318,0.36257836,0.27577353,0.18141629,0.46237466
da_as_as_req_mw_synchronized_reserve,0.67440695,0.41320917,0.32518062,0.24156387,0.18913306,0.42804393
da_as_as_req_mw_primary_reserve,0.67202187,0.40729678,0.3177655,0.22457275,0.19833712,0.41471276
gen_fuel_nuclear_mw,0.67154163,0.4233933,0.35076246,0.22334367,0.10760381,0.41644
total_pjm_rmccp_cr,0.6498283,0.11813394,0.23000707,0.17035297,0.77021486,0.21428186
gen_fuel_multiple_fuels_pct,0.64878345,0.3291733,0.30151698,0.18919079,0.056710534,0.32238397
gen_fuel_gas_mw,0.64178246,0.29736114,0.3028512,0.19722903,0.032662477,0.27808133
total_pjm_rmpcp_cr,0.6362557,0.21797815,0.25512606,0.18717314,0.09581475,0.3041056
total_pjm_assigned_reg,0.6358472,0.28329992,0.25858074,0.1754941,0.03355442,0.271158
system_energy_price_da,0.63532174,0.12900348,0.3129934,0.2506228,0.101756044,0.2951071
total_pjm_reg_purchases,0.62949306,0.25312927,0.22563902,0.16603002,0.039598648,0.2565844
gen_fuel_other_renewables_mw,0.6281457,0.23951434,0.23140618,0.15997666,0.055601384,0.24376512
gen_fuel_gas_pct,0.6259431,0.23287134,0.2380688,0.16026485,0.024196066,0.23654692
gen_fuel_multiple_fuels_mw,0.6227508,0.21975824,0.225243,0.13150977,0.036604434,0.23250343
marginal_loss_price_rt,0.6225261,0.12623963,0.26235542,0.17763942,0.12808305,0.2152766
total_lmp_rt,0.61568815,0.0829547,0.25292152,0.14094245,0.1958061,0.1691363
gen_fuel_coal_mw,0.6152512,0.18973619,0.14331217,0.1145349,0.054984696,0.245036
forecast_load_mw_day_ahead,0.6142905,0.19347328,0.18057795,0.113103844,0.029514218,0.21300478
gen_fuel_wind_pct,0.61359686,0.20223461,0.21569674,0.10414507,0.024982676,0.17298341
rmpcp,0.6119821,0.13072346,0.1783319,0.12812074,0.070492156,0.22053188
gen_fuel_wind_mw,0.61178017,0.1755717,0.18859993,0.12339387,0.027469924,0.19034149
da_as_mcp_synchronized_reserve,0.61176753,0.10082874,0.17404617,0.17147373,0.108003914,0.20627603
rmccp,0.61141795,0.13093211,0.19044338,0.13675164,0.089976385,0.18697484
gen_fuel_storage_mw,0.60175675,0.13902234,0.1657538,0.12067569,0.013763405,0.14021043
gen_fuel_other_renewables_pct,0.59983164,0.094245054,0.11939363,0.13139693,0.033864163,0.18671654
gross_inadv_interchange_mw,0.59414023,0.16023004,0.09816242,0.03967751,0.022429204,0.12969822
da_as_mcp_primary_reserve,0.5936528,0.06387511,0.117544204,0.08873535,0.088122465,0.14106962
forecast_load_mw_latest_available,0.5875745,0.10711296,0.080713846,0.044230312,0.02470523,0.12012452
gen_fuel_coal_pct,0.58725,0.03961628,0.066517495,0.030210376,0.06122498,0.18553464
da_as_ss_mw_primary_reserve,0.5865448,0.09616353,0.10449296,0.05101059,0.029730292,0.09217769
gen_fuel_nuclear_pct,0.58641326,0.07678227,0.06849403,0.061588738,0.01608424,0.14386205
gen_fuel_hydro_pct,0.5846142,0.08998729,0.09046769,0.05355061,0.016158458,0.09493884
da_as_ss_mw_thirty_minutes_reserve,0.5840003,0.059785336,0.06888737,0.06250075,0.03281821,0.12317684
total_pjm_self_sched_reg,0.5839319,0.06724197,0.09611753,0.05380595,0.0069683273,0.11091647
gen_fuel_oil_pct,0.5829975,0.03328551,0.11308744,0.069836475,0.021391582,0.1031326
da_as_nsr_mw_primary_reserve,0.5824222,0.06225585,0.07126425,0.050419006,0.062178247,0.09034781
gen_fuel_oil_mw,0.5790662,0.054522347,0.0068146316,0.010140522,0.05825335,0.14111003
da_as_ss_mw_synchronized_reserve,0.5788077,0.06894343,0.07434977,0.022582168,0.019241013,0.07999474
net_inadv_interchange_mw,0.57786316,0.0684312,0.083215356,0.03586049,0.0,0.06555167
gen_fuel_solar_mw,0.57647014,0.0831344,0.0064970437,0.01952736,0.020943386,0.09823595
total_pjm_loc_credit,0.57434905,0.023940612,0.08646123,0.036399934,0.007920837,0.06375396
gen_fuel_hydro_mw,0.57022417,0.0063790004,0.030299535,0.02343762,0.02155789,0.083188586
gen_fuel_solar_pct,0.56971866,0.058006253,0.026518948,0.011972946,0.013448692,0.03845853
