阶,最强真值,口径,强协同数
3,0.455,82号专用DNN重训（FDR配对检验独立给 0.461，互证）,"66 个过 FDR(τ=0.10, q=0.05)——统计保证的计数"
4,0.196,本批专用DNN重训（L1自选top-20，9个>0.10）,L1 估计 208 个>0.10（top精确率 9/20）
5,0.154,93号专用DNN重训（L1自选top-21，10个>0.10）,L1 估计 117 个>0.10（top精确率 10/21）
