S,syn_true,best_parent_rank,parent_ranks
"(0, 7, 9, 11, 14)",0.1543,1173,"[1173, 5398, 9924, 37111, 87336]"
"(0, 9, 11, 14, 17)",0.1519,2429,"[2429, 5398, 27866, 34162, 51880]"
"(0, 7, 11, 14, 18)",0.1417,1173,"[1173, 13270, 20900, 30488, 41407]"
"(7, 9, 10, 11, 14)",0.1368,654,"[654, 3911, 7747, 9924, 67575]"
"(0, 11, 14, 17, 18)",0.1363,2429,"[2429, 12385, 13270, 35163, 52773]"
"(1, 7, 9, 10, 19)",0.1284,164,"[164, 2226, 7652, 35009, 41722]"
"(0, 1, 7, 9, 19)",0.1251,164,"[164, 1496, 20990, 36636, 76617]"
"(1, 9, 10, 17, 20)",0.1235,355,"[355, 1578, 5482, 33332, 35815]"
"(1, 7, 10, 18, 19)",0.1168,367,"[367, 2226, 20825, 45313, 46310]"
"(1, 4, 7, 9, 19)",0.1147,164,"[164, 5923, 31669, 51461, 77060]"
