S,group,artifact,syn_struct,conf_struct,v_struct,syn_true_audit,conf_true_audit,v_true_audit,maxsub_true_audit,syn_true_full,conf_true_full,v_true_full,syn_at_struct_conf,Stup,rank_s1,rank_s2,cross_rank,true
"(3, 13, 38, 42)",strong,False,0.1416519097818657,0,0.9838119847184884,0.166032612323761,0,0.9828699827194214,0.9813104271888732,0.1672418713569641,0,0.9849619269371032,0.166032612323761,"(3, 13, 38, 42)",105,20,45.8257569495584,True
"(3, 11, 13, 17)",strong,False,0.1431205055931018,4,0.891667720972931,0.1959564685821533,4,0.9071224927902222,0.9045709371566772,0.1739508509635925,4,0.9090054631233216,0.1959564685821533,"(3, 11, 13, 17)",184,12,46.98936049788292,True
"(6, 11, 16, 17)",strong,False,0.1541672549975243,4,0.9075121796273916,0.1515796780586242,4,0.906439483165741,0.9047791957855223,0.1511991024017334,4,0.9112646579742432,0.1515796780586242,"(6, 11, 16, 17)",85,27,47.90615826801394,True
"(7, 10, 12, 26)",strong,False,0.1356605795732346,7,0.7212813083812063,0.105257511138916,7,0.7377253770828247,0.7209451198577881,0.0754456520080566,8,0.7381524443626404,0.105257511138916,"(7, 10, 12, 26)",37,289,103.40696301506973,True
"(6, 11, 16, 40)",strong,False,0.1436412681248092,4,0.91044083460157,0.1525853276252746,4,0.910368025302887,0.9047791957855223,0.1411596536636352,4,0.915740728378296,0.1525853276252746,"(6, 11, 16, 40)",216,51,104.95713410721541,True
"(7, 12, 13, 43)",strong,False,0.1381791033537657,3,0.6565252764722788,0.1501094102859497,3,0.6599695682525635,0.6471219062805176,0.1417183876037597,3,0.6815274953842163,0.1501094102859497,"(7, 12, 13, 43)",229,54,111.20251795710384,True
"(6, 7, 11, 16)",strong,False,0.1390621623742968,4,0.90756296279237,0.141370415687561,4,0.9110162258148192,0.9047791957855223,0.1429002285003662,4,0.9152728319168092,0.141370415687561,"(6, 7, 11, 16)",330,52,130.99618315050253,True
"(3, 7, 11, 13)",strong,False,0.1573703235120462,4,0.8943073471067361,0.1907305717468261,4,0.9065133929252625,0.9036527872085572,0.169996976852417,4,0.9067836999893188,0.1907305717468261,"(3, 7, 11, 13)",1736,21,190.93454375780198,True
"(0, 3, 14, 19)",strong,False,0.1368630373581791,0,0.9930485798563377,0.1566236615180969,0,0.9908520579338074,0.9910720586776732,0.1377153396606445,0,0.9909351468086244,0.1566236615180969,"(0, 3, 14, 19)",175,305,231.03030104295843,True
"(2, 7, 24, 35)",strong,False,0.1568268624067693,7,0.5064408675843521,0.0395439863204956,4,0.5228129625320435,0.4997721910476684,0.0493309497833251,9,0.4792030453681946,0.0308850407600402,"(2, 7, 24, 35)",22978,37,922.05531287445,False
"(14, 32, 34, 36)",strong,False,0.180232554873103,7,0.8921146443625011,0.0082799792289733,7,0.8919720649719238,0.891638457775116,0.00480717420578,11,0.8900484442710876,0.0082799792289733,"(14, 32, 34, 36)",20916,90,1372.0204080114843,False
"(2, 7, 10, 26)",strong,False,0.16221639002212,7,0.7671160763853535,0.0660545229911804,7,0.7790807485580444,0.768643319606781,0.0584843754768371,9,0.7770384550094604,0.0660545229911804,"(2, 7, 10, 26)",1030,4257,2093.9699138239785,False
"(6, 14, 16, 31)",strong,False,0.149074378470834,7,0.9637896002696484,0.0711957812309265,11,0.965151309967041,0.9616345167160034,0.0846111178398132,11,0.9642866849899292,0.0055866837501525,"(6, 14, 16, 31)",9336,9377,9356.477542323286,False
"(2, 9, 17, 24)",strong,False,0.1564266492464714,7,0.4582713314857485,0.0555118918418884,4,0.5003377199172974,0.4882790446281433,0.052517294883728,4,0.4844111204147339,-0.0482832789421081,"(2, 9, 17, 24)",92587,2503,15223.181697660972,False
"(7, 15, 27, 43)",strong,False,0.1380069800748758,8,0.7504118211481062,0.034961998462677,0,0.7378917932510376,0.7254651784896851,0.0418415069580078,0,0.7302165031433105,0.0124266147613525,"(7, 15, 27, 43)",23774,32150,27646.592918477316,False
"(3, 8, 14, 33)",strong,False,0.1354963858637569,7,0.9006175878009994,0.0336160659790039,0,0.902935028076172,0.9029834270477296,0.0305637717247009,0,0.9030576944351196,0.0197706222534179,"(3, 8, 14, 33)",64542,14300,30380.10204064496,False
"(12, 13, 19, 35)",strong,False,0.1369504311844458,7,0.9912042419746512,0.0593460798263549,10,0.988394260406494,0.9895802736282348,0.0676254630088806,10,0.9881591200828552,0.017857551574707,"(12, 13, 19, 35)",62525,21329,36518.42993612951,False
"(2, 8, 9, 24)",strong,False,0.1340852438320525,7,0.4103353072285225,0.0181100964546203,11,0.4770346879959106,0.4773520231246948,0.0225378274917602,8,0.4117813110351562,-0.0220317244529724,"(2, 8, 9, 24)",125259,22265,52809.957725792585,False
"(3, 5, 14, 20)",strong,False,0.1381422071683309,5,0.9862118642194142,0.0445917844772338,0,0.9853249192237854,0.9846076965332032,0.0442312955856323,0,0.98534494638443,0.0429710149765014,"(3, 5, 14, 20)",59865,61101,60479.84263372384,False
"(2, 8, 24, 35)",strong,False,0.158188898225523,7,0.4223924903655304,0.0163691639900207,8,0.4937211871147156,0.4773520231246948,0.0126134753227233,8,0.4018569588661194,0.0137174129486083,"(2, 8, 24, 35)",109536,96490,102806.2675132212,False
