field,probe_r2,model_r2,delta,used
net_actual_interchange_mw,0.2481899560136845,0.707106351852417,0.4589163958387325,True
gross_actual_interchange_mw,0.2460934792895835,0.7104336023330688,0.4643401230434854,True
total_gen,0.9906449538219424,0.9835454821586609,-0.007099471663281509,True
metered_load_mw,0.9762308832723112,0.9874694347381592,0.011238551465847957,True
total_losses,0.6540839836602339,0.787804901599884,0.13372091793965013,True
congestion_price_da,0.0475838272605031,0.3394985795021057,0.2919147522416026,True
congestion_price_rt,0.4561738508473963,0.5505875945091248,0.09441374366172844,True
marginal_loss_price_da,0.4407231017762543,0.7130793929100037,0.2723562911337494,True
total_lmp_da,0.9299314144617218,0.9727290272712708,0.04279761280954897,True
da_as_total_mw_primary_reserve,0.9752278189577616,0.9443622827529907,-0.030865536204770838,True
da_as_total_mw_synchronized_reserve,0.9418431110456468,0.9077410101890564,-0.03410210085659038,True
da_as_total_mw_thirty_minutes_reserve,0.4569040380045041,0.7736300230026245,0.31672598499812044,True
