field,max_confidential_edge,mean_top3_confidential_edge,anchor_score
forecast_load_mw_latest_available,0.9746780395507812,0.8117815852165222,0.9258091032505035
system_energy_price_da,0.9795014262199402,0.6816303133964539,0.8901400923728942
forecast_load_mw_day_ahead,0.9281774163246155,0.7715260982513428,0.8811820209026336
gen_fuel_nuclear_pct,0.761864423751831,0.6933705806732178,0.741316270828247
total_lmp_rt,0.7664481997489929,0.6230564117431641,0.7234306633472442
gen_fuel_gas_mw,0.7534358501434326,0.636943519115448,0.7184881508350371
marginal_loss_price_rt,0.7425471544265747,0.6096360087394714,0.7026738107204437
da_as_as_req_mw_synchronized_reserve,0.7436321377754211,0.5951536297798157,0.6990885853767395
da_as_as_req_mw_primary_reserve,0.7402665615081787,0.5929911732673645,0.6960839450359344
da_as_as_req_mw_thirty_minutes_reserve,0.6986002922058105,0.5762110352516174,0.6618835151195526
gen_fuel_coal_mw,0.6681551337242126,0.6273301243782043,0.6559076309204102
da_as_mcp_synchronized_reserve,0.6598432660102844,0.49702706933021545,0.6109984070062637
da_as_nsr_mw_primary_reserve,0.6220815777778625,0.47427868843078613,0.5777407109737396
gross_inadv_interchange_mw,0.6050575375556946,0.4365572929382324,0.5545074641704559
gen_fuel_oil_mw,0.5641776919364929,0.5192052721977234,0.550685966014862
gen_fuel_other_renewables_pct,0.5588696002960205,0.4999556243419647,0.5411954075098038
gen_fuel_oil_pct,0.5283039212226868,0.4443892538547516,0.5031295210123062
gen_fuel_coal_pct,0.49235549569129944,0.45723190903663635,0.48181841969490047
da_as_mcp_primary_reserve,0.5004637241363525,0.42525139451026917,0.4779000252485275
gen_fuel_nuclear_mw,0.472223699092865,0.46186351776123047,0.46911564469337463
rmccp,0.44485241174697876,0.36781129240989685,0.42174007594585416
gen_fuel_hydro_mw,0.42115482687950134,0.37381502985954285,0.4069528877735138
total_pjm_rmccp_cr,0.4200572073459625,0.3622053563594818,0.4027016520500183
gen_fuel_multiple_fuels_mw,0.38586416840553284,0.3487072288990021,0.3747170865535736
gross_sched_interchange_mw,0.35817891359329224,0.3021194040775299,0.34136106073856354
gen_fuel_hydro_pct,0.3555049002170563,0.28065475821495056,0.3330498576164245
gen_fuel_multiple_fuels_pct,0.34242936968803406,0.28241392970085144,0.32442473769187924
total_pjm_reg_purchases,0.35128331184387207,0.26091617345809937,0.32417317032814025
gen_fuel_storage_mw,0.3287055194377899,0.2449381947517395,0.3035753220319748
gen_fuel_gas_pct,0.2758798599243164,0.2534778118133545,0.2691592454910278
total_pjm_rmpcp_cr,0.27002012729644775,0.2211350053548813,0.2553545907139778
total_pjm_assigned_reg,0.2608611285686493,0.23155884444713593,0.25207044333219525
gen_fuel_wind_pct,0.2551305294036865,0.22201408445835114,0.24519559592008588
gen_fuel_other_renewables_mw,0.2383829951286316,0.2241750955581665,0.23412062525749205
total_pjm_loc_credit,0.2136387974023819,0.2050783485174179,0.21107066273689268
gen_fuel_wind_mw,0.1928737312555313,0.16355250775814056,0.18407736420631407
rmpcp,0.1941935271024704,0.15805654227733612,0.1833524316549301
gen_fuel_solar_pct,0.19573761522769928,0.14855365455150604,0.1815824270248413
gen_fuel_solar_mw,0.18237441778182983,0.17749403417110443,0.18091030269861222
da_as_ss_mw_thirty_minutes_reserve,0.16059258580207825,0.118768610060215,0.14804539307951925
da_as_ss_mw_primary_reserve,0.1542629450559616,0.11066965013742447,0.14118495658040045
net_inadv_interchange_mw,0.14186906814575195,0.12565647065639496,0.13700528889894484
da_as_ss_mw_synchronized_reserve,0.14142408967018127,0.11109960824251175,0.13232674524188043
total_pjm_self_sched_reg,0.11704099923372269,0.10703960061073303,0.11404057964682578
