,total_lmp_da,system_energy_price_da,marginal_loss_price_rt,da_as_nsr_mw_primary_reserve,marginal_loss_price_da,da_as_total_mw_primary_reserve,total_lmp_rt,da_as_as_req_mw_primary_reserve,da_as_total_mw_thirty_minutes_reserve,da_as_total_mw_synchronized_reserve,da_as_as_req_mw_thirty_minutes_reserve,congestion_price_da
total_lmp_da,0.4755779,0.050851315,0.1321423,0.32647243,0.1640451,0.4695076,0.15881753,0.4776641,0.50054663,0.33544978,0.48810002,0.25278068
system_energy_price_da,0.025851429,0.450578,0.113541245,0.31010184,0.14565599,0.46073034,0.14082259,0.47544986,0.47531813,0.3368608,0.48668107,0.25024962
marginal_loss_price_rt,0.038608134,0.04500696,0.38204372,0.2264131,0.15155399,0.3707554,0.12744582,0.3862841,0.33158898,0.26301488,0.39821658,0.21344727
da_as_nsr_mw_primary_reserve,0.25637168,0.26500097,0.24984652,0.40547714,0.22391331,0.31335977,0.28289604,0.37367082,0.3554589,0.24543479,0.36316305,0.23830906
marginal_loss_price_da,0.036254168,0.04286495,0.11729723,0.16622314,0.34778696,0.2860361,0.12577188,0.27619,0.2595381,0.2158769,0.30289516,0.16929096
da_as_total_mw_primary_reserve,0.20212215,0.21834478,0.19690412,0.11607507,0.14644158,0.20819244,0.20805311,0.10687369,0.37132847,0.15992421,0.124596894,0.1590288
total_lmp_rt,0.021754086,0.028759032,0.083916545,0.21593335,0.116499364,0.33837512,0.33851445,0.35274142,0.30145937,0.23583117,0.36156186,0.18150413
da_as_as_req_mw_primary_reserve,0.18519545,0.20798108,0.18734962,0.1513029,0.11151227,0.08179048,0.1973362,0.18310922,0.36943004,0.13681045,0.05014351,0.18121743
da_as_total_mw_thirty_minutes_reserve,0.14703959,0.14681098,0.07161611,0.0720526,0.033822,0.28520688,0.085015774,0.30839166,0.12207085,0.15149078,0.30369475,0.09416002
da_as_total_mw_synchronized_reserve,0.17171794,0.19812885,0.19281721,0.1518037,0.17993599,0.26357782,0.20916277,0.26554728,0.34126598,0.31184605,0.27087444,0.17802036
da_as_as_req_mw_thirty_minutes_reserve,0.14548784,0.16906878,0.14913857,0.09065163,0.08807391,0.04937017,0.15601313,0.0,0.31458962,0.09199411,0.13296571,0.1301372
congestion_price_da,0.030938327,0.053407162,0.085139096,0.08656746,0.07523954,0.2045719,0.096725225,0.25184375,0.22582471,0.11990985,0.25090703,0.25373554
