目标,字段,r2,M0,M1,M2,M3,估计M2,升级_M2减M0,K2见证
metered_load_mw,rmccp,0.01050333958119154,0.059722959995269775,0.10682150721549988,0.1260787844657898,0.1488998830318451,0.10470539331436157,0.06635582447052002,total_pjm_self_sched_reg + da_as_as_req_mw_thirty_minutes_reserve
metered_load_mw,rmpcp,0.0016988608986139297,0.07196089625358582,0.09245719760656357,0.09671755135059357,0.10118073225021362,0.0743037611246109,0.02475665509700775,total_pjm_self_sched_reg + da_as_as_req_mw_thirty_minutes_reserve
metered_load_mw,total_pjm_reg_purchases,0.012179940938949585,0.1252022385597229,0.14259445667266846,0.15782353281974792,0.16512703895568848,0.1539183259010315,0.032621294260025024,total_pjm_self_sched_reg + da_as_as_req_mw_thirty_minutes_reserve
metered_load_mw,total_pjm_self_sched_reg,0.004147014580667019,0.014922082424163818,0.05363847315311432,0.0952727198600769,0.10814481973648071,0.06723405420780182,0.08035063743591309,total_pjm_assigned_reg + da_as_total_mw_thirty_minutes_reserve
metered_load_mw,total_pjm_assigned_reg,6.618180486839265e-05,0.019204124808311462,0.05792051553726196,0.0821797251701355,0.1095360815525055,0.06776025891304016,0.06297560036182404,total_pjm_self_sched_reg + da_as_total_mw_thirty_minutes_reserve
metered_load_mw,da_as_mcp_primary_reserve,0.07372109591960907,0.1319025158882141,0.1395801603794098,0.16769066452980042,0.16769066452980042,0.19041982293128967,0.035788148641586304,total_pjm_self_sched_reg + gross_sched_interchange_mw
metered_load_mw,da_as_mcp_synchronized_reserve,0.09113133698701859,0.13575099408626556,0.1753685474395752,0.19558387994766235,0.23641809821128845,0.21700695157051086,0.05983288586139679,da_as_as_req_mw_thirty_minutes_reserve + gross_sched_interchange_mw
metered_load_mw,da_as_as_req_mw_primary_reserve,0.10346643626689911,0.18310922384262085,0.3694300353527069,0.3694300353527069,0.3694300353527069,0.3388305604457855,0.18632081151008606,da_as_total_mw_thirty_minutes_reserve
metered_load_mw,da_as_as_req_mw_thirty_minutes_reserve,0.09996888041496277,0.13296571373939514,0.31458961963653564,0.31458961963653564,0.31458961963653564,0.31817030906677246,0.1816239058971405,da_as_total_mw_thirty_minutes_reserve
metered_load_mw,da_as_ss_mw_primary_reserve,0.009222575463354588,0.08014064282178879,0.11395904421806335,0.13257114589214325,0.13434100151062012,0.09177616238594055,0.05243050307035446,rmpcp + da_as_total_mw_thirty_minutes_reserve
metered_load_mw,da_as_nsr_mw_primary_reserve,0.004211120773106813,0.4054771363735199,0.4054771363735199,0.4054771363735199,0.4054771363735199,0.17877957224845886,0.0,∅
metered_load_mw,system_energy_price_da,0.35067814588546753,0.4505780041217804,0.4866810739040375,0.501800537109375,0.503727912902832,0.4935992360115051,0.051222532987594604,total_pjm_assigned_reg + da_as_total_mw_thirty_minutes_reserve
metered_load_mw,total_lmp_rt,0.1627381294965744,0.33851444721221924,0.3615618646144867,0.37010106444358826,0.3769436776638031,0.3582361936569214,0.03158661723136902,total_pjm_self_sched_reg + da_as_as_req_mw_thirty_minutes_reserve
metered_load_mw,marginal_loss_price_rt,0.17837053537368774,0.382043719291687,0.40192490816116333,0.40930604934692383,0.40930604934692383,0.39791327714920044,0.027262330055236816,total_pjm_self_sched_reg + total_pjm_assigned_reg
metered_load_mw,gross_sched_interchange_mw,0.0410054586827755,0.057204365730285645,0.08842754364013672,0.10977354645729065,0.10977354645729065,0.08657633513212204,0.052569180727005005,total_pjm_self_sched_reg + da_as_mcp_primary_reserve
metered_load_mw,congestion_price_da,0.11620812863111496,0.2537355422973633,0.26000261306762695,0.2894900441169739,0.30433329939842224,0.2564800977706909,0.035754501819610596,da_as_as_req_mw_primary_reserve + gross_sched_interchange_mw
metered_load_mw,marginal_loss_price_da,0.27307814359664917,0.34778696298599243,0.3559093475341797,0.3739514648914337,0.3739514648914337,0.3635864853858948,0.026164501905441284,total_pjm_self_sched_reg + gross_sched_interchange_mw
metered_load_mw,total_lmp_da,0.3685535788536072,0.4755778908729553,0.5027406215667725,0.5218246579170227,0.5218246579170227,0.5165120959281921,0.04624676704406738,total_pjm_assigned_reg + da_as_total_mw_thirty_minutes_reserve
metered_load_mw,congestion_price_rt,0.08173136413097382,0.1196083128452301,0.17571303248405457,0.18206283450126648,0.20850306749343872,0.1760694533586502,0.06245452165603638,total_pjm_self_sched_reg + da_as_as_req_mw_thirty_minutes_reserve
metered_load_mw,da_as_total_mw_primary_reserve,0.058040015399456024,0.20819243788719177,0.3713284730911255,0.3713284730911255,0.3713284730911255,0.32371339201927185,0.16313603520393372,da_as_total_mw_thirty_minutes_reserve
metered_load_mw,da_as_total_mw_synchronized_reserve,0.050327423959970474,0.3118460476398468,0.3412659764289856,0.3412659764289856,0.3412659764289856,0.2485901117324829,0.029419928789138794,da_as_total_mw_thirty_minutes_reserve
metered_load_mw,da_as_total_mw_thirty_minutes_reserve,0.010354586876928806,0.12207084894180298,0.30839166045188904,0.34235379099845886,0.3518776595592499,0.3218116760253906,0.22028294205665588,total_pjm_self_sched_reg + da_as_as_req_mw_thirty_minutes_reserve
