feature,gate,pearson,spearman,kendall,nmi,distance_corr,hsic
da_as_as_req_mw_primary_reserve,0.74061835,0.68116736,0.6951302,0.5750274,1.0,0.7642858,0.5535422
da_as_as_req_mw_synchronized_reserve,0.7374099,0.6912454,0.70170087,0.5552591,1.0,0.73547435,0.5064649
da_as_as_req_mw_thirty_minutes_reserve,0.72926027,0.6843878,0.69676685,0.55318946,0.8636029,0.7318774,0.50721586
da_as_nsr_mw_primary_reserve,0.7051197,0.6821942,0.5651743,0.4590883,0.8175004,0.6726793,0.2903203
gen_fuel_nuclear_mw,0.6232443,0.43389496,0.41877222,0.29892668,0.31894007,0.42212752,0.11098091
da_as_mcp_primary_reserve,0.6039645,0.13801812,0.3190624,0.23736832,0.68142414,0.22471665,0.029869169
gen_fuel_gas_mw,0.58845645,0.29802397,0.3171965,0.24221869,0.1002588,0.37432906,0.095653
gen_fuel_coal_mw,0.5698095,0.22460271,0.19297858,0.15228163,0.11386566,0.3122403,0.094958946
forecast_load_mw_latest_available,0.56784374,0.25124854,0.25308415,0.16100046,0.07936042,0.2716416,0.04529102
da_as_mcp_synchronized_reserve,0.5674892,0.08364655,0.12425546,0.11718519,0.50191134,0.15327631,0.016088124
forecast_load_mw_day_ahead,0.5662886,0.23821917,0.24152732,0.15350978,0.078001335,0.26986355,0.055253852
gen_fuel_gas_pct,0.5644198,0.25406185,0.24119896,0.15152748,0.058876984,0.25450093,0.043407317
total_pjm_rmpcp_cr,0.5615532,0.14800464,0.17051516,0.16318804,0.1588815,0.25564536,0.055050164
gross_sched_interchange_mw,0.55535054,0.19189219,0.22344731,0.16376317,0.03274645,0.22246943,0.028047986
gen_fuel_multiple_fuels_pct,0.5535402,0.17569701,0.17094038,0.13397172,0.10022812,0.20683591,0.025722696
gen_fuel_other_renewables_pct,0.55351305,0.16482894,0.1419145,0.13835232,0.11511107,0.2176445,0.03215437
gen_fuel_other_renewables_mw,0.5507261,0.18270105,0.20632863,0.1185314,0.067117,0.17566912,0.022147557
total_pjm_rmccp_cr,0.55007714,0.05918873,0.009869292,0.0124226585,0.4971292,0.09214617,0.0059960997
rmpcp,0.54562706,0.054087833,0.17100564,0.12692387,0.12143596,0.19000451,0.033000913
gen_fuel_coal_pct,0.5450617,0.107959986,0.1252585,0.08773338,0.09428064,0.19975074,0.059356567
gen_fuel_hydro_pct,0.54432875,0.14823091,0.12979953,0.0908959,0.08536317,0.17625189,0.023222113
gen_fuel_nuclear_pct,0.5402191,0.14245212,0.11648696,0.06932598,0.045610636,0.18631995,0.026368015
total_pjm_self_sched_reg,0.536396,0.14848289,0.13983437,0.07079864,0.030727906,0.123296976,0.0144915255
gen_fuel_wind_pct,0.5350236,0.115357056,0.10254945,0.05278559,0.050899066,0.15226756,0.025977641
gen_fuel_hydro_mw,0.53374964,0.10031415,0.07397439,0.043162234,0.066282384,0.16292295,0.026459832
gen_fuel_oil_mw,0.5331362,0.07013328,0.04011673,0.023319708,0.17630075,0.11961549,0.01431959
total_pjm_reg_purchases,0.53286636,0.09064345,0.09412183,0.040796444,0.096856914,0.12005321,0.01496636
rmccp,0.53279585,0.044161253,0.049048427,0.004635053,0.27647838,0.04977637,0.0023816822
gen_fuel_storage_mw,0.5324365,0.081029736,0.11434635,0.108605884,0.03689106,0.122704096,0.009239591
gen_fuel_multiple_fuels_mw,0.53121257,0.06391474,0.09437896,0.068664595,0.08000625,0.11651732,0.017879434
system_energy_price_da,0.5293184,0.019306269,0.085637376,0.08829222,0.080835335,0.12561628,0.018458944
total_pjm_loc_credit,0.52898437,0.023750091,0.0512613,0.049572635,0.16380095,0.09320015,0.007276546
gen_fuel_oil_pct,0.5278777,0.043271158,0.088732705,0.056131117,0.08744103,0.100760266,0.007783901
gross_inadv_interchange_mw,0.52704024,0.09420632,0.064937666,0.058349196,0.02581517,0.114380874,0.011015274
gen_fuel_wind_mw,0.52696615,0.054798342,0.0687878,0.04794967,0.04607968,0.13432263,0.017639112
total_lmp_rt,0.52670586,0.00956125,0.060825597,0.030743489,0.18109794,0.06322646,0.0038623353
da_as_ss_mw_primary_reserve,0.5256621,0.043321427,0.04413791,0.037839897,0.13066429,0.070025496,0.007438077
total_pjm_assigned_reg,0.52469987,0.06807411,0.05268514,0.033931866,0.047866233,0.11149856,0.011060671
da_as_ss_mw_thirty_minutes_reserve,0.5238015,0.025252055,0.030266229,0.020523274,0.12280538,0.08966878,0.013427606
da_as_ss_mw_synchronized_reserve,0.52158195,0.03109041,0.035161857,0.014401263,0.12525314,0.05322726,0.004209873
gen_fuel_solar_mw,0.52039516,0.0521426,0.019139845,0.053490415,0.066094786,0.058347262,0.0036846567
net_inadv_interchange_mw,0.5190529,0.070662856,0.0744,0.012174242,0.011512765,0.063769616,0.003318643
marginal_loss_price_rt,0.51729333,0.02779685,0.008201999,0.010730249,0.0873744,0.05567341,0.004029764
gen_fuel_solar_pct,0.512965,0.022129837,0.0150436135,0.008518512,0.02110209,0.059896726,0.006255746
da_as_mcp_thirty_minutes_reserve,0.5047043,0.0,0.0,0.0,0.0,0.0,0.0
da_as_ircmwt2_thirty_minutes_reserve,0.5047043,0.0,0.0,0.0,0.0,0.0,0.0
da_as_ircmwt2_primary_reserve,0.5047043,0.0,0.0,0.0,0.0,0.0,0.0
gen_fuel_storage_pct,0.5047043,0.0,0.0,0.0,0.0,0.0,0.0
da_as_ircmwt2_synchronized_reserve,0.5047043,0.0,0.0,0.0,0.0,0.0,0.0
