数据集,估计器,目标,k,背景总数,认证下界比,见证召回,M2偏差,M2误差
NEM 真实市场,三种子,机组出力_BW01,1,436,0.7566644549369812,0.3,0.032147157937288284,0.03708982095122337
NEM 真实市场,三种子,机组出力_BW01,2,436,0.8548694849014282,0.5,0.032147157937288284,0.03708982095122337
NEM 真实市场,三种子,机组出力_BW01,3,436,0.8948628902435303,0.5333333333333333,0.032147157937288284,0.03708982095122337
NEM 真实市场,三种子,机组出力_BW01,5,436,0.9379813075065613,0.7,0.032147157937288284,0.03708982095122337
NEM 真实市场,三种子,机组出力_BW01,10,436,0.9695380926132202,0.8333333333333334,0.032147157937288284,0.03708982095122337
NEM 真实市场,三种子,机组出力_BW01,20,436,0.9823136329650879,0.9,0.032147157937288284,0.03708982095122337
NEM 真实市场,三种子,机组出力_BW01,30,436,0.982785701751709,0.9,0.032147157937288284,0.03708982095122337
NEM 真实市场,三种子,机组出力_BW01,50,436,0.982785701751709,0.9,0.032147157937288284,0.03708982095122337
NEM 真实市场,三种子,机组出力_BW01,100,436,0.9918762445449829,0.9666666666666667,0.032147157937288284,0.03708982095122337
NEM 真实市场,三种子,机组出力_TUMUT3,1,436,0.33895573019981384,0.06666666666666667,0.16722969710826874,0.16975127160549164
NEM 真实市场,三种子,机组出力_TUMUT3,2,436,0.6527571082115173,0.2,0.16722969710826874,0.16975127160549164
NEM 真实市场,三种子,机组出力_TUMUT3,3,436,0.7939948439598083,0.4,0.16722969710826874,0.16975127160549164
NEM 真实市场,三种子,机组出力_TUMUT3,5,436,0.8391366600990295,0.4666666666666667,0.16722969710826874,0.16975127160549164
NEM 真实市场,三种子,机组出力_TUMUT3,10,436,0.9243726134300232,0.7333333333333333,0.16722969710826874,0.16975127160549164
NEM 真实市场,三种子,机组出力_TUMUT3,20,436,0.9459725022315979,0.8,0.16722969710826874,0.16975127160549164
NEM 真实市场,三种子,机组出力_TUMUT3,30,436,0.9460910558700562,0.8,0.16722969710826874,0.16975127160549164
NEM 真实市场,三种子,机组出力_TUMUT3,50,436,0.9638158082962036,0.8666666666666667,0.16722969710826874,0.16975127160549164
NEM 真实市场,三种子,机组出力_TUMUT3,100,436,0.9799557328224182,0.9333333333333333,0.16722969710826874,0.16975127160549164
