目标,字段,r2,M0,M1,M2,估计M2,升级_M2减M0,K2见证
机组出力_BW01,实际需求_新南威尔士,0.3646663427352905,0.42571818828582764,0.5034388303756714,0.5194571018218994,0.5134744644165039,0.09373891353607178,可用发电容量_昆士兰 + 可用发电容量_塔斯马尼亚
机组出力_BW01,实际需求_昆士兰,0.2803463339805603,0.3252721428871155,0.36173999309539795,0.39384859800338745,0.4355461001396179,0.06857645511627197,可用发电容量_昆士兰 + 联络线潮流_NSW1-QLD1
机组出力_BW01,实际需求_维多利亚,0.1957591474056244,0.2153453826904297,0.2646636962890625,0.2787785530090332,0.29218727350234985,0.06343317031860352,可用发电容量_塔斯马尼亚 + 联络线潮流_NSW1-QLD1
机组出力_BW01,实际需求_南澳,0.2750423848628998,0.2771717309951782,0.302562952041626,0.3185855746269226,0.3217740058898926,0.041413843631744385,可用发电容量_南澳 + 可用发电容量_塔斯马尼亚
机组出力_BW01,实际需求_塔斯马尼亚,0.07966157048940659,0.056980907917022705,0.11313188076019287,0.14491140842437744,0.17636963725090027,0.08793050050735474,可用发电容量_昆士兰 + 联络线潮流_NSW1-QLD1
机组出力_BW01,可用发电容量_新南威尔士,0.18268759548664093,0.18464726209640503,0.18931257724761963,0.2310519516468048,0.2870393693447113,0.04640468955039978,实际需求_塔斯马尼亚 + 出清价_塔斯马尼亚
机组出力_BW01,可用发电容量_昆士兰,0.03466741740703583,0.04739022254943848,0.12511086463928223,0.14197701215744019,0.15245983004570007,0.09458678960800171,实际需求_昆士兰 + 联络线潮流_NSW1-QLD1
机组出力_BW01,可用发电容量_维多利亚,0.05078708752989769,0.05949634313583374,0.09077101945877075,0.12535840272903442,0.17219452559947968,0.06586205959320068,可用发电容量_南澳 + 联络线潮流_NSW1-QLD1
机组出力_BW01,可用发电容量_南澳,0.005097537767142057,0.00550480792298913,0.04265177249908447,0.09436102956533432,0.1955636590719223,0.08885622164234519,可用发电容量_维多利亚 + 联络线潮流_V-SA
机组出力_BW01,可用发电容量_塔斯马尼亚,0.004926532041281462,0.0044408440589904785,0.04016244411468506,0.09365540742874146,0.2096705436706543,0.08921456336975098,实际需求_塔斯马尼亚 + 出清价_塔斯马尼亚
机组出力_BW01,风电出力预测_新南威尔士,0.00019400361634325236,0.036271870136260986,0.06360632181167603,0.12431907653808594,0.19489513337612152,0.08804720640182495,实际需求_塔斯马尼亚 + 出清价_塔斯马尼亚
机组出力_BW01,风电出力预测_昆士兰,0.04866598919034004,0.044665634632110596,0.0604361928999424,0.10169398784637451,0.10915915668010712,0.057028353214263916,实际需求_塔斯马尼亚 + 出清价_塔斯马尼亚
机组出力_BW01,风电出力预测_维多利亚,0.00792179349809885,0.011297163553535938,0.05992889404296875,0.10697536170482635,0.16678234934806824,0.09567819815129042,实际需求_塔斯马尼亚 + 出清价_塔斯马尼亚
