目标,规则依据,M0均值,M1均值,M2均值,背景升级均值_M2减M0,K饱和_M1除M2,最强单字段V,全部规模≤3集合最大V,τ0.5_单字段即危险,τ0.5_K2关键,τ0.5_单看安全组合危险,τ0.5_危险小组合,τ0.5_单字段定级后仍暴露,τ0.5_最少扣留,τ0.7_单字段即危险,τ0.7_K2关键,τ0.7_单看安全组合危险,τ0.7_危险小组合,τ0.7_单字段定级后仍暴露,τ0.7_最少扣留,τ0.9_单字段即危险,τ0.9_K2关键,τ0.9_单看安全组合危险,τ0.9_危险小组合,τ0.9_单字段定级后仍暴露,τ0.9_最少扣留,V_MAE,V_MAE_单种子,M2_MAE,M2排序Spearman,认证下界比_top1,认证下界比_top3
机组出力_BW01,第十七条（三）机组实际出力——特定信息（NEM 中已作为历史数据公开）,0.17050006985664368,0.2102489471435547,0.23996415734291077,0.06946410983800888,0.8761681318283081,0.4933544993400574,0.6533966064453125,0,30,30,266,266,4,0,0,0,0,0,0,0,0,0,0,0,0,0.011281798593699932,0.01269883755594492,0.03708982095122337,0.8625139043381533,0.7566644549369812,0.8948628902435303
机组出力_TUMUT3,第十七条（三）机组实际出力——特定信息（NEM 中已作为历史数据公开）,0.07142879068851471,0.12487449496984482,0.17129357159137726,0.09986477345228195,0.7290086150169373,0.37987667322158813,0.5324828028678894,0,22,22,23,23,1,0,0,0,0,0,0,0,0,0,0,0,0,0.017604686319828033,0.01785949058830738,0.16975127160549164,0.5635150166852058,0.33895573019981384,0.7939948439598083
机组出力_PPCCGT,第十七条（三）机组实际出力——特定信息（NEM 中已作为历史数据公开）,0.15491046011447906,0.2460891157388687,0.28169673681259155,0.12678629159927368,0.8735958933830261,0.5480713844299316,0.8003384470939636,2,30,28,215,213,6,0,10,10,8,8,1,0,0,0,0,0,0,0.01576303318142891,0.0186830572783947,0.13019144535064697,0.8007564850974426,0.4054364264011383,0.4788716435432434
