confidential_field,test_r2,test_mse,used_in_loss
metered_load_mw,0.9907298684120178,0.009665079414844513,True
total_gen,0.9892275929450989,0.011338905431330204,True
total_lmp_da,0.9841275811195374,0.018127689138054848,True
da_as_total_mw_primary_reserve,0.9503751397132874,0.052196551114320755,True
da_as_total_mw_synchronized_reserve,0.9166682958602905,0.0859360322356224,True
da_as_total_mw_thirty_minutes_reserve,0.8718148469924927,0.1332227736711502,True
total_losses,0.8656703233718872,0.13398289680480957,True
net_actual_interchange_mw,0.8571839332580566,0.1449175775051117,True
gross_actual_interchange_mw,0.7862219214439392,0.22245627641677856,True
marginal_loss_price_da,0.7742993235588074,0.22166962921619415,True
congestion_price_rt,0.6572895050048828,0.3829592168331146,True
congestion_price_da,0.6023118495941162,0.4313887655735016,True
