scheme,seed,test_parent_mae,test_parent_bias,test_syn_mae,test_s1_spearman,test_top30_recall,test_top30_precision,test_top30_f1,extreme_parent_error_mean,extreme_pair_error_mean,extreme_syn_est_mean,extreme_negative_count,extreme_top30_hit,r2_full,epochs_run
uniform,1,0.07101292634397474,-0.0709785243925844,0.01744014292543957,0.7271982121128661,0.8154365219453438,0.23682734800846375,0.3670517908593378,-0.3599895437558492,-0.08067517280578612,0.012711524963378906,8,1,0.8389371037483215,400
uniform,0,0.07181015034192058,-0.0717781724594771,0.019642789534763443,0.6823918611897195,0.8424481447446787,0.25417907784047,0.3905295950155763,-0.3667697866757711,-0.07920377651850381,0.004459885756174723,11,1,0.8310090899467468,318
rawwide,0,0.06307748855794958,-0.06306138343536795,0.019566095409658753,0.7001986324059543,0.8254707193308203,0.2450138997704769,0.3778696050007357,-0.37586326599121095,-0.08350404103597003,-0.0003333290417989095,11,1,0.7205343246459961,297
poly2,0,0.05937903564024271,-0.059343441904731654,0.020862322058194306,0.6991145185968706,0.7659311578873618,0.23965494780413096,0.3650790133756443,-0.36847107807795204,-0.07347657680511473,-0.002968605359395345,11,2,0.6585028171539307,232
mix25_cvar25,0,0.07193635539335448,-0.0719247507874057,0.021832683365655955,0.6832595506722332,0.7562297719365854,0.22953247345987965,0.35217272900686725,-0.3912051677703857,-0.08667981227238972,-0.012499459584554036,14,3,0.6462481021881104,229
cvar10,0,0.15373418423400873,-0.1537276275133294,0.034157611261243975,0.3587378157626273,0.5370458201848115,0.15482386612372628,0.24035598556205734,-0.4476018269856771,-0.14300548235575358,-0.012570448716481527,14,4,0.3823891580104828,122
mix75_cvar25,0,0.08201881186053711,-0.08199769557585203,0.023356623746035192,0.6931200480638611,0.7364941886003329,0.22302721586673493,0.3423753709314982,-0.4079952597618103,-0.10263075828552244,-0.013338605562845865,14,2,0.59681636095047,348
cvar50,0,0.08236703409703623,-0.08236180933428133,0.023940736071458576,0.6650870528110834,0.7340688421126388,0.22129528080394506,0.3400713228560854,-0.3977142016092936,-0.09170035123825072,-0.01398795445760091,12,2,0.5465344190597534,229
mix50_cvar25,0,0.07651670583704469,-0.0765055433338434,0.02358938214915944,0.6603235744526105,0.7735400087851441,0.2267798277302543,0.3507343622132679,-0.3981679479281108,-0.08885238170623778,-0.01728967030843099,13,3,0.6050043702125549,229
cvar25,0,0.10732375601033477,-0.10732366901750126,0.027781716110092006,0.58993325886121,0.7219421096741682,0.22657883708548668,0.34490920672195663,-0.4116386413574219,-0.10018182992935179,-0.019430915514628094,13,6,0.49804556369781494,203
local234_group32,0,0.06569730601495968,-0.06563982138729994,0.01991268540428707,0.6853433317903114,0.7094825658009979,0.2233484946751496,0.3397439681929792,-0.3970366875330607,-0.08361045916875202,-0.0214003324508667,14,1,0.6996961236000061,333
