scheme,seed,mode,all_parent_mae,all_parent_bias,all_pair_mae,all_syn_mae,all_s1_spearman,all_top30_recall,all_top30_precision,all_top30_f1,tune_parent_mae,tune_parent_bias,tune_pair_mae,tune_syn_mae,tune_s1_spearman,tune_top30_recall,tune_top30_precision,tune_top30_f1,test_parent_mae,test_parent_bias,test_pair_mae,test_syn_mae,test_s1_spearman,test_top30_recall,test_top30_precision,test_top30_f1,extreme_n,extreme_parent_error_mean,extreme_pair_error_mean,extreme_syn_est_mean,extreme_negative_count,extreme_top30_hit,extreme_conf_match,extreme_monotonicity_violation,warm_start,epochs_run,val_loss,r2_full
uniform,0,single,0.07138141392379253,-0.07134856946415942,0.053645095130704985,0.01957732273055821,0.6970580483459075,0.8271208501153977,0.238760825021711,0.3705553086665237,0.07109566157585355,-0.07106223954348312,0.05346631065817124,0.019533689178047355,0.7073419113108045,0.8170353491918538,0.22932288821726704,0.3581276456832068,0.07181015034192058,-0.0717781724594771,0.053913339346102984,0.019642789534763443,0.6823918611897195,0.8424481447446787,0.25417907784047,0.3905295950155763,15,-0.3667697866757711,-0.07920377651850381,0.004459885756174723,11,1,2,11,False,318,0.3643007166683674,0.8310090899467468
uniform,1,single,0.07034488881263659,-0.0702958247783368,0.05485356671435258,0.017374053322909446,0.7315219005060075,0.8419551969677846,0.23699896244277666,0.3698813454941956,0.06989964253772316,-0.06984080624139968,0.05453798025887211,0.017330004676004672,0.7351583113237108,0.8594047291845837,0.23710623517037255,0.37167019108548904,0.07101292634397474,-0.0709785243925844,0.05532706555874811,0.01744014292543957,0.7271982121128661,0.8154365219453438,0.23682734800846375,0.3670517908593378,15,-0.3599895437558492,-0.08067517280578612,0.012711524963378906,8,1,6,8,False,400,0.33724231645464897,0.8389371037483215
local234_group32,0,single,0.06547842081168849,-0.06540224717724374,0.04715711127675674,0.019904356510368162,0.666343444354416,0.7784655186058997,0.22380249520616824,0.34765656110947596,0.0653325340660816,-0.06524390422930917,0.047140420400947174,0.01989880531179386,0.6551944104232027,0.8238569364033727,0.22406057896663328,0.3523060917462359,0.06569730601495968,-0.06563982138729994,0.04718215389271988,0.01991268540428707,0.6853433317903114,0.7094825658009979,0.2233484946751496,0.3397439681929792,15,-0.3970366875330607,-0.08361045916875202,-0.0214003324508667,14,1,1,14,False,333,0.7216380536556244,0.6996961236000061
cvar10,0,single,0.15387384198188533,-0.15385191741693535,0.12191345072533097,0.03421889579046431,0.3884994724711069,0.5994148825808052,0.16323604151467097,0.2565947527658738,0.15396692371620088,-0.15393475650006141,0.12191331449352953,0.03425974186132878,0.4075696895900074,0.6404542996214171,0.16828103666012598,0.2665304918399339,0.15373418423400873,-0.1537276275133294,0.12191365512447236,0.034157611261243975,0.3587378157626273,0.5370458201848115,0.15482386612372628,0.24035598556205734,15,-0.4476018269856771,-0.14300548235575358,-0.012570448716481527,14,4,1,14,False,122,2.073187008500099,0.3823891580104828
cvar25,0,single,0.10664989624303779,-0.10664873578739921,0.0805628333357321,0.027686505260911667,0.6052575266822268,0.7656883338003434,0.21492458230952702,0.33563752346675835,0.1062007694543048,-0.10619889353689534,0.08026299235473983,0.027623047335360716,0.6151576379585688,0.7944737518729663,0.20851174136398867,0.3303280188756972,0.10732375601033477,-0.10732366901750126,0.08101270802311726,0.027781716110092006,0.58993325886121,0.7219421096741682,0.22657883708548668,0.34490920672195663,15,-0.4116386413574219,-0.10018182992935179,-0.019430915514628094,13,6,2,13,False,203,1.4312862008810043,0.49804556369781494
cvar50,0,single,0.08198680032265614,-0.08197768594949822,0.05938952901860043,0.02390812392683547,0.649040379620438,0.7695384941167409,0.21123154464966942,0.3314758778400538,0.08173337493306777,-0.08172166813888326,0.059267693152548075,0.02388638796855586,0.6391813626618624,0.792877851563539,0.20553724786448155,0.3264492526133346,0.08236703409703623,-0.08236180933428133,0.05957232882125321,0.023940736071458576,0.6650870528110834,0.7340688421126388,0.22129528080394506,0.3400713228560854,15,-0.3977142016092936,-0.09170035123825072,-0.01398795445760091,12,2,1,12,False,229,1.1041755229234695,0.5465344190597534
mix25_cvar25,0,single,0.07194762102730944,-0.07193439494294997,0.051137296436468804,0.02202676614742701,0.6650975429197139,0.7636311717535127,0.2109223582751167,0.3305449780555614,0.07195512955986585,-0.07194082276194115,0.05109346148840937,0.02215612210656795,0.6539252936486174,0.7685013609483193,0.20040159621200213,0.3179036626671288,0.07193635539335448,-0.0719247507874057,0.05120306541004115,0.021832683365655955,0.6832595506722332,0.7562297719365854,0.22953247345987965,0.35217272900686725,15,-0.3912051677703857,-0.08667981227238972,-0.012499459584554036,14,3,1,14,False,229,0.9143610820174217,0.6462481021881104
mix50_cvar25,0,single,0.07655189989090937,-0.07654109298472732,0.05406960432926051,0.023643781769348487,0.6522568837164658,0.7783334367172676,0.21475488542709623,0.33662848368887854,0.07657535668883951,-0.076564786787677,0.05414273299898696,0.02368003905596733,0.646519454184252,0.7814875564106428,0.20758571784863844,0.3280356665359757,0.07651670583704469,-0.0765055433338434,0.05395988371227473,0.02358938214915944,0.6603235744526105,0.7735400087851441,0.2267798277302543,0.3507343622132679,15,-0.3981679479281108,-0.08885238170623778,-0.01728967030843099,13,3,1,13,False,229,1.0897296220064163,0.6050043702125549
mix75_cvar25,0,single,0.08131553342957751,-0.08129952728487835,0.05933409370589647,0.023326365787881824,0.6747041303089881,0.7880909193968937,0.22079528617208227,0.3449482391916003,0.08084679913408895,-0.08083419889203189,0.05901724357891017,0.023306198892277488,0.6635076529783673,0.8220420431070407,0.2195003003065566,0.3464832255119531,0.08201881186053711,-0.08199769557585203,0.059809488534696045,0.023356623746035192,0.6931200480638611,0.7364941886003329,0.22302721586673493,0.3423753709314982,15,-0.4079952597618103,-0.10263075828552244,-0.013338605562845865,14,2,1,14,False,348,1.2563299089670181,0.59681636095047
poly2,0,single,0.059097410035151864,-0.05904665733831482,0.03952710894566891,0.020798143120968764,0.7168501545551375,0.8066433446770463,0.233767938444382,0.3624861721593347,0.05890970688120515,-0.058848850753429986,0.03944490660170934,0.020755367930373806,0.7281196351249909,0.8334323382599367,0.2303462471513637,0.3609360331286153,0.05937903564024271,-0.059343441904731654,0.03965044350010092,0.020862322058194306,0.6991145185968706,0.7659311578873618,0.23965494780413096,0.3650790133756443,15,-0.36847107807795204,-0.07347657680511473,-0.002968605359395345,11,2,2,11,False,232,0.7137235552072525,0.6585028171539307
rawwide,0,single,0.06264475473704104,-0.06261680703893964,0.044409895006672306,0.01949007753405674,0.6941647993892117,0.8185900712921351,0.2283908667286031,0.35713829944463904,0.06235633812457521,-0.06232049736300328,0.044204662114524486,0.01943941170414322,0.6917137234430669,0.814062541559904,0.21849972752173288,0.3445263280338308,0.06307748855794958,-0.06306138343536795,0.04471782183805673,0.019566095409658753,0.7001986324059543,0.8254707193308203,0.2450138997704769,0.3778696050007357,15,-0.37586326599121095,-0.08350404103597003,-0.0003333290417989095,11,1,2,11,False,297,0.721575103700161,0.7205343246459961
