indices,source,weight,split,syn3_dnn,syn3_portfolio,parent_gain,pair_gain,strong_dnn,strong_portfolio
"(0, 1, 14)",remainder1800,7.137222222222222,test,0.1107172966003418,0.1107172966003418,0.0,0.0,True,True
"(0, 1, 23)",remainder1800,7.137222222222222,tune,0.021767258644104004,0.021767258644104004,0.03745090961456299,0.0,False,False
"(0, 1, 24)",remainder1800,7.137222222222222,test,0.07815420627593994,0.07815420627593994,0.0,0.0,False,False
"(0, 2, 6)",exact397,1.0,test,0.1695621013641357,0.1695621013641358,0.0,0.0010844408428554997,True,True
"(0, 2, 10)",exact397,1.0,tune,0.1305495500564575,0.13054955005645752,0.0023470669359078045,0.0011639728846135622,True,True
"(0, 2, 12)",remainder1800,7.137222222222222,tune,0.08816266059875488,0.08816266059875488,0.0,0.0,False,False
"(0, 2, 15)",remainder1800,7.137222222222222,tune,0.0870547890663147,0.0870547890663147,0.011615872383117676,0.0,False,False
"(0, 2, 21)",remainder1800,7.137222222222222,tune,0.05337226390838623,0.05337226390838623,0.00534145177002171,0.0,False,False
"(0, 2, 34)",remainder1800,7.137222222222222,tune,0.05273699760437012,0.05273699760437012,0.01099330186843872,0.001084440842855472,False,False
"(0, 2, 42)",remainder1800,7.137222222222222,tune,0.03456848859786987,0.03456848859786987,0.0,0.001084440842855472,False,False
"(0, 2, 43)",remainder1800,7.137222222222222,tune,0.03407210111618042,0.03407210111618042,0.0,0.0,False,False
"(0, 3, 10)",exact397,1.0,test,0.164752721786499,0.16475272178649908,0.002973337121233821,0.0011639728846135622,True,True
"(0, 3, 13)",remainder1800,7.137222222222222,tune,0.08741658926010132,0.08741658926010132,0.0,0.0,False,False
"(0, 3, 15)",remainder1800,7.137222222222222,tune,0.07962822914123535,0.07962822914123535,0.0,0.0,False,False
"(0, 3, 24)",remainder1800,7.137222222222222,tune,0.09093010425567627,0.09093010425567627,0.0,0.0,False,False
"(0, 3, 37)",remainder1800,7.137222222222222,tune,0.07256340980529785,0.07256340980529785,0.0,0.0,False,False
"(0, 3, 41)",remainder1800,7.137222222222222,test,0.00966113805770874,0.00966113805770874,0.005950033664703369,0.0,False,False
"(0, 3, 42)",exact397,1.0,test,0.1590762138366699,0.15907621383666992,0.0,0.0,True,True
"(0, 4, 9)",remainder1800,7.137222222222222,tune,0.06845003366470337,0.06845003366470337,0.005277156829833984,0.0,False,False
"(0, 4, 15)",exact397,1.0,tune,0.0570907592773437,0.057090759277343806,0.0,0.0,False,False
"(0, 4, 23)",remainder1800,7.137222222222222,tune,0.021358907222747803,0.021358907222747803,0.04754394292831421,0.0,False,False
"(0, 4, 25)",remainder1800,7.137222222222222,test,0.041489601135253906,0.041489601135253906,0.0,0.0,False,False
"(0, 4, 28)",exact397,1.0,tune,0.0547501444816589,0.054750144481658936,0.0152349472045899,0.0,False,False
"(0, 4, 30)",remainder1800,7.137222222222222,tune,0.07309228181838989,0.07309228181838989,0.0,0.0,False,False
"(0, 4, 40)",remainder1800,7.137222222222222,tune,0.09811294078826904,0.09811294078826904,0.0,0.0,False,False
"(0, 5, 10)",exact397,1.0,tune,0.1451682448387146,0.14516824483871466,0.0021891474131108257,0.0011639728846135622,True,True
"(0, 5, 18)",exact397,1.0,test,0.0472758412361145,0.0472758412361145,0.0,0.0,False,False
"(0, 5, 25)",remainder1800,7.137222222222222,tune,0.038471758365631104,0.038471758365631104,0.0,0.0,False,False
"(0, 5, 34)",remainder1800,7.137222222222222,tune,0.03583008050918579,0.03583008050918579,0.0,0.0,False,False
"(0, 5, 40)",remainder1800,7.137222222222222,tune,0.07303273677825928,0.07303273677825928,0.0,0.0,False,False
"(0, 6, 9)",remainder1800,7.137222222222222,tune,0.09663337469100952,0.09663337469100952,0.0,0.0,False,False
"(0, 6, 11)",exact397,1.0,test,0.1441633105278015,0.1441633105278015,0.0,0.0,True,True
"(0, 6, 12)",exact397,1.0,test,0.1763120293617248,0.1763120293617248,0.0,0.0,True,True
"(0, 6, 17)",remainder1800,7.137222222222222,test,0.04683101177215576,0.04683101177215576,0.0,0.0,False,False
"(0, 6, 29)",remainder1800,7.137222222222222,tune,0.09568345546722412,0.09568345546722412,0.0,0.0,False,False
"(0, 6, 33)",exact397,1.0,tune,0.1611581444740295,0.1611581444740296,0.0,0.0,True,True
"(0, 7, 37)",remainder1800,7.137222222222222,tune,0.04464155435562134,0.04464155435562134,0.0,0.0,False,False
"(0, 7, 40)",remainder1800,7.137222222222222,test,0.05138254165649414,0.05138254165649414,0.010428071022033691,0.0,False,False
"(0, 7, 43)",remainder1800,7.137222222222222,tune,0.04785388708114624,0.04785388708114624,0.0,0.0,False,False
"(0, 8, 14)",remainder1800,7.137222222222222,tune,0.04265075922012329,0.04265075922012329,0.0,0.0,False,False
"(0, 8, 22)",remainder1800,7.137222222222222,tune,0.060963451862335205,0.060963451862335205,0.0,0.0,False,False
"(0, 8, 27)",remainder1800,7.137222222222222,test,0.05408197641372681,0.05408197641372681,0.0003581340502008534,0.0,False,False
"(0, 8, 42)",remainder1800,7.137222222222222,tune,0.06604576110839844,0.06604576110839844,0.0,0.0,False,False
"(0, 9, 10)",exact397,1.0,test,0.0568886399269104,0.0568886399269104,0.0026200053936835666,0.0011639728846135622,False,False
"(0, 9, 14)",exact397,1.0,tune,0.0469090938568115,0.046909093856811496,0.0,0.0,False,False
"(0, 9, 15)",exact397,1.0,test,0.0502968430519104,0.0502968430519104,0.0,8.877858760800161e-05,False,False
"(0, 9, 19)",remainder1800,7.137222222222222,test,0.07018572092056274,0.07018572092056274,0.0013790545379873675,0.0009480702969303367,False,False
"(0, 9, 22)",remainder1800,7.137222222222222,test,0.08294433355331421,0.08294433355331421,0.0017768144607543945,0.0,False,False
"(0, 9, 26)",remainder1800,7.137222222222222,tune,0.08575224876403809,0.08575224876403809,0.0,0.0,False,False
"(0, 9, 32)",remainder1800,7.137222222222222,tune,0.08349984884262085,0.08349984884262085,0.0,0.0,False,False
"(0, 10, 11)",remainder1800,7.137222222222222,test,0.04892277717590332,0.04892277717590332,0.0032755055544433365,0.0011639728846134512,False,False
"(0, 10, 12)",exact397,1.0,test,0.1277672052383422,0.12776720523834229,0.0021594749449569406,0.0011639728846135622,True,True
"(0, 10, 13)",exact397,1.0,test,0.1634071469306945,0.16340714693069464,0.0029342307483477548,0.0011639728846135622,True,True
"(0, 10, 14)",exact397,1.0,tune,0.2397216558456421,0.23972165584564215,0.002131537827324892,0.0011639728846135622,True,True
"(0, 10, 15)",exact397,1.0,tune,0.1442674994468689,0.14426749944686895,0.0023914964548639173,0.0011639728846135622,True,True
"(0, 10, 19)",exact397,1.0,tune,0.4243054389953613,0.42430543899536133,0.0018370661976255809,0.0011639728846135622,True,True
"(0, 10, 20)",exact397,1.0,tune,0.3322914838790893,0.33229148387908936,0.0015117918572553624,0.0011639728846135622,True,True
"(0, 10, 21)",remainder1800,7.137222222222222,tune,0.05688822269439697,0.05688822269439697,0.0024299121642560317,0.0011639728846134512,False,False
"(0, 10, 23)",remainder1800,7.137222222222222,test,0.01901775598526001,0.01901775598526001,0.04482674598693848,0.0011639728846134512,False,False
"(0, 10, 31)",exact397,1.0,tune,0.1470221281051635,0.14702212810516363,0.0026950743175684355,0.0011639728846135622,True,True
"(0, 10, 32)",exact397,1.0,tune,0.1484266519546508,0.14842665195465093,0.0029375835765371727,0.0011639728846135622,True,True
"(0, 10, 34)",remainder1800,7.137222222222222,tune,0.04471820592880249,0.04471820592880249,0.0035156455931618646,0.0011639728846134512,False,False
"(0, 10, 35)",exact397,1.0,tune,0.0447182059288024,0.04471820592880249,0.0035156455931617536,0.0011639728846135622,False,False
"(0, 10, 39)",exact397,1.0,test,0.1310500502586364,0.13105005025863653,0.002467853247919205,0.0011639728846135622,True,True
"(0, 11, 16)",exact397,1.0,test,0.0893214344978332,0.08932143449783331,0.0,0.0,False,False
"(0, 11, 23)",remainder1800,7.137222222222222,tune,0.020083189010620117,0.020083189010620117,0.013209283351898193,0.0,False,False
"(0, 11, 24)",remainder1800,7.137222222222222,test,0.13673406839370728,0.13673406839370728,0.0,0.0,True,True
"(0, 11, 25)",remainder1800,7.137222222222222,tune,0.035574257373809814,0.035574257373809814,0.0,0.0,False,False
"(0, 11, 27)",remainder1800,7.137222222222222,test,0.07470047473907471,0.07470047473907471,0.0,0.0,False,False
"(0, 11, 31)",exact397,1.0,tune,0.1541998982429504,0.15419989824295038,0.0,0.0,True,True
"(0, 11, 32)",exact397,1.0,tune,0.1548994779586792,0.1548994779586792,0.0,0.0,True,True
"(0, 11, 33)",exact397,1.0,tune,0.1540014743804931,0.15400147438049322,0.0,0.0,True,True
"(0, 11, 36)",remainder1800,7.137222222222222,test,0.06285130977630615,0.06285130977630615,0.0,0.0,False,False
"(0, 11, 37)",remainder1800,7.137222222222222,test,0.0939490795135498,0.0939490795135498,0.0,0.0,False,False
"(0, 12, 13)",remainder1800,7.137222222222222,tune,0.11863547563552856,0.11863547563552856,0.0,0.0,True,True
"(0, 12, 18)",remainder1800,7.137222222222222,tune,0.09976440668106079,0.09976440668106079,0.0,0.0,False,False
"(0, 12, 29)",remainder1800,7.137222222222222,tune,0.06386739015579224,0.06386739015579224,0.0,0.0,False,False
"(0, 12, 30)",remainder1800,7.137222222222222,test,0.05186021327972412,0.05186021327972412,0.0,0.0,False,False
