target_field,degree,attention_entropy,attention_entropy_normalized
net_actual_interchange_mw,7,1.908174991607666,0.9806079651385925
gross_actual_interchange_mw,10,2.187845230102539,0.9501691106918829
total_gen,23,2.932476282119751,0.9352516956408297
metered_load_mw,21,2.865635871887207,0.9412431442055719
total_losses,14,2.567671298980713,0.9729501781437417
congestion_price_da,4,1.3361674547195435,0.9638410803605569
congestion_price_rt,9,2.1455907821655273,0.9765004471080103
marginal_loss_price_da,16,2.6152400970458984,0.9432484796855223
total_lmp_da,25,3.0905892848968506,0.9601455455410112
da_as_total_mw_primary_reserve,8,1.4196867942810059,0.6827250325749191
da_as_total_mw_synchronized_reserve,7,1.1344785690307617,0.5830066560789152
da_as_total_mw_thirty_minutes_reserve,15,2.490171432495117,0.9195440437114447
