arch,scheme,K,n,mae,bias,spearman
gnn,bern50,0,4728.0,0.1946490092073802,-0.1946490092073802,0.7149530449656567
gnn,bern50,10,4728.0,0.08489919930393926,-0.08488810167044351,0.9365882275280091
gnn,bern50,50,4728.0,0.048860723874492286,-0.0486860727850354,0.9523739141786274
gnn,bern50,200,4728.0,0.03924171888787935,-0.03826594930110646,0.9544208670842426
gnn,none,0,4728.0,0.24883195619191817,-0.24883081018924713,0.5204299367556598
gnn,none,10,4728.0,0.12082138634877762,-0.12081576434993098,0.8878280614838693
gnn,none,50,4728.0,0.05987686643695266,-0.05978905308720626,0.9482037169957235
gnn,none,200,4728.0,0.04556958484518547,-0.045365659403417705,0.9538167446665663
gnn,ours,0,4728.0,0.0962634249992177,-0.09623505959252618,0.919711738800914
gnn,ours,10,4728.0,0.07090605211691606,-0.07088194201289094,0.9449424979838719
gnn,ours,50,4728.0,0.04784698098544945,-0.04763152953331845,0.9524034039147076
gnn,ours,200,4728.0,0.04050942197719402,-0.039957643374674605,0.954036182904807
mlp,bern50,0,4728.0,0.10481432521504598,-0.1047797432002279,0.9002921602859179
mlp,bern50,10,4728.0,0.046997564446099115,-0.04682410224742696,0.9777996041231555
mlp,bern50,50,4728.0,0.026610835781557304,-0.026091885773461887,0.9894279064155481
mlp,bern50,200,4728.0,0.015239195485304656,-0.014537402707610638,0.9954731379535939
mlp,none,0,4728.0,0.21501958390379516,-0.21483085497381724,0.734368789488636
mlp,none,10,4728.0,0.07716840585022408,-0.07701839981900052,0.9620657199851144
mlp,none,50,4728.0,0.034135466602247984,-0.03355545367787131,0.9876210908458275
mlp,none,200,4728.0,0.018547554709987996,-0.017691742269520833,0.9951637105625516
mlp,ours,0,4728.0,0.0596683501894704,-0.05958040393951984,0.9698300585953489
mlp,ours,10,4728.0,0.04435904041663846,-0.044208894702787126,0.9811601216244332
mlp,ours,50,4728.0,0.026474457732110258,-0.02604279673442421,0.989899863082737
mlp,ours,200,4728.0,0.016285983565091682,-0.015747859796695095,0.9955342876843032
