sid,group,size,K,conf,est,arch,scheme,truth,err
p00_03,pair,2,0,net_actual_interchange_mw,0.0,mlp,none,0.3322997689247131,-0.3322997689247131
p00_03,pair,2,0,gross_actual_interchange_mw,0.0,mlp,none,0.1886195540428161,-0.1886195540428161
p00_03,pair,2,0,total_gen,0.3955321311950683,mlp,none,0.8230172395706177,-0.42748510837554937
p00_03,pair,2,0,metered_load_mw,0.3098801970481872,mlp,none,0.820925772190094,-0.5110455751419067
p00_03,pair,2,0,total_losses,0.1051295399665832,mlp,none,0.5761618614196777,-0.47103232145309454
p00_03,pair,2,0,congestion_price_da,0.0122957825660705,mlp,none,0.1416769027709961,-0.1293811202049256
p00_03,pair,2,0,congestion_price_rt,0.0,mlp,none,0.1527249217033386,-0.1527249217033386
p00_03,pair,2,0,marginal_loss_price_da,0.0,mlp,none,0.4735172390937805,-0.4735172390937805
p00_03,pair,2,0,total_lmp_da,0.0,mlp,none,0.5531632304191589,-0.5531632304191589
p00_03,pair,2,0,da_as_total_mw_primary_reserve,0.0,mlp,none,0.1636451482772827,-0.1636451482772827
p00_03,pair,2,0,da_as_total_mw_synchronized_reserve,0.0,mlp,none,0.1407872438430786,-0.1407872438430786
p00_03,pair,2,0,da_as_total_mw_thirty_minutes_reserve,0.0771099328994751,mlp,none,0.3960656523704529,-0.3189557194709778
p00_03,pair,2,10,net_actual_interchange_mw,0.1870200634002685,mlp,none,0.3322997689247131,-0.14527970552444458
p00_03,pair,2,10,gross_actual_interchange_mw,0.1213642954826355,mlp,none,0.1886195540428161,-0.06725525856018061
p00_03,pair,2,10,total_gen,0.7810219526290894,mlp,none,0.8230172395706177,-0.04199528694152832
p00_03,pair,2,10,metered_load_mw,0.7752499580383301,mlp,none,0.820925772190094,-0.045675814151763916
p00_03,pair,2,10,total_losses,0.4388073086738586,mlp,none,0.5761618614196777,-0.13735455274581915
p00_03,pair,2,10,congestion_price_da,0.1116721034049987,mlp,none,0.1416769027709961,-0.030004799365997398
p00_03,pair,2,10,congestion_price_rt,0.0829732418060302,mlp,none,0.1527249217033386,-0.06975167989730839
p00_03,pair,2,10,marginal_loss_price_da,0.2302463054656982,mlp,none,0.4735172390937805,-0.24327093362808233
p00_03,pair,2,10,total_lmp_da,0.3512344360351562,mlp,none,0.5531632304191589,-0.20192879438400274
p00_03,pair,2,10,da_as_total_mw_primary_reserve,0.0948190093040466,mlp,none,0.1636451482772827,-0.06882613897323608
p00_03,pair,2,10,da_as_total_mw_synchronized_reserve,0.0696555376052856,mlp,none,0.1407872438430786,-0.07113170623779301
p00_03,pair,2,10,da_as_total_mw_thirty_minutes_reserve,0.2508178353309631,mlp,none,0.3960656523704529,-0.1452478170394898
p00_03,pair,2,50,net_actual_interchange_mw,0.2606858611106872,mlp,none,0.3322997689247131,-0.07161390781402588
p00_03,pair,2,50,gross_actual_interchange_mw,0.1720102429389953,mlp,none,0.1886195540428161,-0.0166093111038208
p00_03,pair,2,50,total_gen,0.8113138675689697,mlp,none,0.8230172395706177,-0.01170337200164795
p00_03,pair,2,50,metered_load_mw,0.8139508962631226,mlp,none,0.820925772190094,-0.0069748759269714355
p00_03,pair,2,50,total_losses,0.5298703908920288,mlp,none,0.5761618614196777,-0.046291470527648926
p00_03,pair,2,50,congestion_price_da,0.1305685639381408,mlp,none,0.1416769027709961,-0.01110833883285528
p00_03,pair,2,50,congestion_price_rt,0.1336231231689453,mlp,none,0.1527249217033386,-0.019101798534393283
p00_03,pair,2,50,marginal_loss_price_da,0.3114652037620544,mlp,none,0.4735172390937805,-0.16205203533172613
p00_03,pair,2,50,total_lmp_da,0.4353107213973999,mlp,none,0.5531632304191589,-0.11785250902175903
p00_03,pair,2,50,da_as_total_mw_primary_reserve,0.12765634059906,mlp,none,0.1636451482772827,-0.035988807678222684
p00_03,pair,2,50,da_as_total_mw_synchronized_reserve,0.1209756731986999,mlp,none,0.1407872438430786,-0.019811570644378718
p00_03,pair,2,50,da_as_total_mw_thirty_minutes_reserve,0.3321267366409302,mlp,none,0.3960656523704529,-0.0639389157295227
p00_03,pair,2,200,net_actual_interchange_mw,0.3087672591209411,mlp,none,0.3322997689247131,-0.023532509803771973
p00_03,pair,2,200,gross_actual_interchange_mw,0.1795728206634521,mlp,none,0.1886195540428161,-0.009046733379364014
p00_03,pair,2,200,total_gen,0.8171411752700806,mlp,none,0.8230172395706177,-0.005876064300537109
p00_03,pair,2,200,metered_load_mw,0.816370964050293,mlp,none,0.820925772190094,-0.004554808139801025
p00_03,pair,2,200,total_losses,0.5609816312789917,mlp,none,0.5761618614196777,-0.015180230140686035
p00_03,pair,2,200,congestion_price_da,0.1290992498397827,mlp,none,0.1416769027709961,-0.012577652931213407
p00_03,pair,2,200,congestion_price_rt,0.1484792232513427,mlp,none,0.1527249217033386,-0.004245698451995905
p00_03,pair,2,200,marginal_loss_price_da,0.4209889769554138,mlp,none,0.4735172390937805,-0.0525282621383667
p00_03,pair,2,200,total_lmp_da,0.5172189474105835,mlp,none,0.5531632304191589,-0.03594428300857544
p00_03,pair,2,200,da_as_total_mw_primary_reserve,0.153139054775238,mlp,none,0.1636451482772827,-0.010506093502044678
p00_03,pair,2,200,da_as_total_mw_synchronized_reserve,0.1366925239562988,mlp,none,0.1407872438430786,-0.004094719886779813
p00_03,pair,2,200,da_as_total_mw_thirty_minutes_reserve,0.3745151162147522,mlp,none,0.3960656523704529,-0.021550536155700684
p00_06,pair,2,0,net_actual_interchange_mw,0.0351697206497192,mlp,none,0.2660852074623108,-0.2309154868125916
p00_06,pair,2,0,gross_actual_interchange_mw,0.0,mlp,none,0.1838071346282959,-0.1838071346282959
p00_06,pair,2,0,total_gen,0.346824586391449,mlp,none,0.779238224029541,-0.43241363763809204
p00_06,pair,2,0,metered_load_mw,0.2427142858505249,mlp,none,0.7591387629508972,-0.5164244771003723
p00_06,pair,2,0,total_losses,0.1231083273887634,mlp,none,0.5569307804107666,-0.4338224530220032
p00_06,pair,2,0,congestion_price_da,0.0,mlp,none,0.1187409162521362,-0.1187409162521362
p00_06,pair,2,0,congestion_price_rt,0.0,mlp,none,0.0604552030563354,-0.0604552030563354
p00_06,pair,2,0,marginal_loss_price_da,0.0,mlp,none,0.3732752799987793,-0.3732752799987793
