arch,scheme,K,band,n,mae,bias,spearman
gnn,bern50,0,1-2,3000.0,0.16682636507352192,-0.16682636507352192,0.5517617147389742
gnn,bern50,0,17-32,120.0,0.11736455857753754,-0.11736455857753754,0.9655531634141258
gnn,bern50,0,3-4,1248.0,0.2735510929845847,-0.2735510929845847,0.6775530820315707
gnn,bern50,0,33-44,120.0,0.09956259081761042,-0.09956259081761042,0.9517883186332383
gnn,bern50,0,5-8,120.0,0.23460591485102972,-0.23460591485102972,0.8414502232105072
gnn,bern50,0,9-16,120.0,0.20204740464687349,-0.20204740464687349,0.919341620945899
gnn,bern50,200,1-2,3000.0,0.03198886948823927,-0.03116028346618015,0.9289805169078087
gnn,bern50,200,17-32,120.0,0.07973380237817765,-0.07969595144192378,0.9772206403222444
gnn,bern50,200,3-4,1248.0,0.04229142053578144,-0.040673634419456504,0.9535934029210801
gnn,bern50,200,33-44,120.0,0.057222457230091096,-0.057222457230091096,0.9686783804430862
gnn,bern50,200,5-8,120.0,0.07400353054205576,-0.07313568592071533,0.9709951704515081
gnn,bern50,200,9-16,120.0,0.09561142325401306,-0.09561142325401306,0.9805472602264046
gnn,none,0,1-2,3000.0,0.192655888736248,-0.192655888736248,0.4137038878705588
gnn,none,0,17-32,120.0,0.26953272918860116,-0.269526810447375,0.868575909249726
gnn,none,0,3-4,1248.0,0.35927704215431827,-0.35927704215431827,0.43227497554315425
gnn,none,0,33-44,120.0,0.06728513538837433,-0.06724590162436167,0.9338426279602748
gnn,none,0,5-8,120.0,0.43644768446683885,-0.43644768446683885,0.5913897400272002
gnn,none,0,9-16,120.0,0.47783506810665133,-0.47783506810665133,0.6934132413662998
gnn,none,200,1-2,3000.0,0.03575227363904316,-0.03560270400842029,0.9289130784661629
gnn,none,200,17-32,120.0,0.08976242790619532,-0.08973483890295028,0.9744912841169523
gnn,none,200,3-4,1248.0,0.05236341785161923,-0.052011885799658604,0.9532529694612943
gnn,none,200,33-44,120.0,0.05258252223332723,-0.05225757459799449,0.9659698590179872
gnn,none,200,5-8,120.0,0.092935578028361,-0.09264862636725107,0.9700436229668736
gnn,none,200,9-16,120.0,0.12177472809950511,-0.12177472809950511,0.9720744496145565
gnn,ours,0,1-2,3000.0,0.07173463249206542,-0.07172286276022592,0.892071861649274
gnn,ours,0,17-32,120.0,0.13844358325004577,-0.13842930495738984,0.9639002708521425
gnn,ours,0,3-4,1248.0,0.13330938982275817,-0.13323159410785407,0.8910606968536577
gnn,ours,0,33-44,120.0,0.10699880768855413,-0.10699880768855413,0.9478436002500171
gnn,ours,0,5-8,120.0,0.16663344850142797,-0.16663344850142797,0.9354149509189672
gnn,ours,0,9-16,120.0,0.20091963907082874,-0.20091963907082874,0.938398499895826
gnn,ours,200,1-2,3000.0,0.0316206986705462,-0.03105517381429671,0.9290679601886144
gnn,ours,200,17-32,120.0,0.09533269057671229,-0.09533269057671229,0.9752343912771718
gnn,ours,200,3-4,1248.0,0.042974074777120196,-0.04224541305731504,0.9550418545652515
gnn,ours,200,33-44,120.0,0.07210425535837811,-0.07209511001904807,0.9654350996596984
gnn,ours,200,5-8,120.0,0.08122531771659851,-0.08121058940887452,0.9717383498738135
gnn,ours,200,9-16,120.0,0.10996111780405045,-0.10996111780405045,0.9797277588721438
mlp,bern50,0,1-2,3000.0,0.09343081816037496,-0.09343081816037496,0.8177353280941957
mlp,bern50,0,17-32,120.0,0.06265532275040943,-0.06203491886456806,0.9777901243141882
mlp,bern50,0,3-4,1248.0,0.13683569985322463,-0.13681381721145067,0.9041717014162769
mlp,bern50,0,33-44,120.0,0.05886388669411342,-0.05834933867057165,0.9618445725397595
mlp,bern50,0,5-8,120.0,0.13348081310590107,-0.13348081310590107,0.947024767787826
mlp,bern50,0,9-16,120.0,0.11582265843947728,-0.11582265843947728,0.9695673310646571
mlp,bern50,200,1-2,3000.0,0.013114217638969422,-0.012844793717066446,0.9913176103501324
mlp,bern50,200,17-32,120.0,0.014605949819087975,-0.009528216222922003,0.9921175081602888
mlp,bern50,200,3-4,1248.0,0.019517235648937713,-0.019210262176318046,0.9936524816670311
mlp,bern50,200,33-44,120.0,0.007862328489621477,0.0026348799467086777,0.980700048614487
mlp,bern50,200,5-8,120.0,0.026980515817801164,-0.026172325511773432,0.993388429752066
mlp,bern50,200,9-16,120.0,0.020140816271305092,-0.01880143533150356,0.9950135426071254
mlp,none,0,1-2,3000.0,0.16556346420447032,-0.16555255170663197,0.6650008507327897
mlp,none,0,17-32,120.0,0.3088213120897611,-0.3088213120897611,0.7841366244039806
mlp,none,0,3-4,1248.0,0.30316322903411513,-0.30316322903411513,0.726391711397592
mlp,none,0,33-44,120.0,0.04707143604755402,-0.0399083286523819,0.9175151052156398
mlp,none,0,5-8,120.0,0.37478803197542826,-0.37478803197542826,0.7506925564206068
mlp,none,0,9-16,120.0,0.4491066386302312,-0.4491066386302312,0.7009420471029265
mlp,none,200,1-2,3000.0,0.014689035733540853,-0.014475425879160564,0.9912673640606985
mlp,none,200,17-32,120.0,0.020027597248554223,-0.015547458827495564,0.9910966039308284
mlp,none,200,3-4,1248.0,0.024197324632834166,-0.023979274126199577,0.9932050260527958
mlp,none,200,33-44,120.0,0.012486265103022257,0.009018552303314201,0.98791582748802
mlp,none,200,5-8,120.0,0.039513332148393004,-0.0394996389746666,0.9929439544412805
mlp,none,200,9-16,120.0,0.039868391553560895,-0.039756002028783176,0.9938606847697755
mlp,ours,0,1-2,3000.0,0.04332824703057607,-0.04330025347073873,0.9568344169956019
mlp,ours,0,17-32,120.0,0.07555437038342158,-0.07537187486886979,0.9789846517119243
mlp,ours,0,3-4,1248.0,0.0884887577058413,-0.08834793848487046,0.9438543493211746
mlp,ours,0,33-44,120.0,0.037235939999421444,-0.036117712159951534,0.9725050350718797
mlp,ours,0,5-8,120.0,0.109153646727403,-0.109153646727403,0.9750954927425516
mlp,ours,0,9-16,120.0,0.12549978444973628,-0.12549978444973628,0.9761372317522049
mlp,ours,200,1-2,3000.0,0.013712684333324432,-0.013507443487644195,0.9914948236381959
mlp,ours,200,17-32,120.0,0.016795294980208073,-0.013181049128373456,0.9921869574275991
mlp,ours,200,3-4,1248.0,0.02056282347975633,-0.02030146647340212,0.9936881897103642
mlp,ours,200,33-44,120.0,0.009167823692162827,-5.7684878508255934e-05,0.9869018681852906
mlp,ours,200,5-8,120.0,0.03172249048948288,-0.031511696676413216,0.994360719494409
mlp,ours,200,9-16,120.0,0.02731167078018189,-0.02689390679200491,0.9941662615459406
