arch,metric,ours_K0,none_equiv_K
gnn,mae,0.0962634249992177,26.118240908347847
gnn,spearman,0.919711738800914,31.1235320241183
mlp,mae,0.0596683501894704,26.26666081060381
mlp,spearman,0.9698300585953489,22.152965656500506
