arch,K,none_mae,ours_mae,mae_reduction
gnn,0,0.24883195619191817,0.0962634249992177,0.6131388167644674
gnn,10,0.12082138634877762,0.07090605211691606,0.4131332683749376
gnn,50,0.05987686643695266,0.04784698098544945,0.2009104044242208
gnn,200,0.04556958484518547,0.04050942197719402,0.11104254921747592
mlp,0,0.21501958390379516,0.0596683501894704,0.722498066891584
mlp,10,0.07716840585022408,0.04435904041663846,0.42516577959722546
mlp,50,0.034135466602247984,0.026474457732110258,0.22442959281632358
mlp,200,0.018547554709987996,0.016285983565091682,0.12193365542027168
