node_type,target_field,pearson,spearman,kendall,nmi,distance_corr,dominant_metric,dominant_alpha
general,gen_fuel_coal_mw,0.16600855,0.18717553,0.18466519,0.28182256,0.18032818,nmi,0.28182256
general,gen_fuel_gas_mw,0.20084591,0.1999134,0.20307207,0.19270736,0.20346123,distance_corr,0.20346123
general,gen_fuel_hydro_mw,0.20190203,0.19984272,0.19767682,0.19994038,0.20063801,pearson,0.20190203
general,gen_fuel_multiple_fuels_mw,0.18914466,0.19906649,0.20970564,0.20231028,0.19977298,kendall,0.20970564
general,gen_fuel_nuclear_mw,0.17704491,0.16845918,0.18047804,0.30360687,0.17041096,nmi,0.30360687
general,gen_fuel_oil_mw,0.2365577,0.17876963,0.18714637,0.1678422,0.22968414,pearson,0.2365577
general,gen_fuel_other_renewables_mw,0.20020646,0.20000939,0.20001274,0.20007733,0.1996941,pearson,0.20020646
general,gen_fuel_solar_mw,0.20062253,0.19915435,0.2012017,0.19860749,0.20041394,kendall,0.2012017
general,gen_fuel_storage_mw,0.20070314,0.20004493,0.19997966,0.19917971,0.20009251,pearson,0.20070314
general,gen_fuel_wind_mw,0.19735645,0.19004798,0.19992512,0.21573263,0.19693784,nmi,0.21573263
general,gen_fuel_coal_pct,0.2001909,0.2000092,0.19879156,0.1990543,0.20195396,distance_corr,0.20195396
general,gen_fuel_gas_pct,0.20192976,0.19827169,0.20360991,0.19443972,0.2017489,kendall,0.20360991
general,gen_fuel_hydro_pct,0.20169927,0.19943303,0.19971848,0.19911556,0.2000337,pearson,0.20169927
general,gen_fuel_multiple_fuels_pct,0.19559008,0.1965311,0.1966295,0.20052423,0.21072514,distance_corr,0.21072514
general,gen_fuel_nuclear_pct,0.19114558,0.19833921,0.19767348,0.22487058,0.18797112,nmi,0.22487058
general,gen_fuel_oil_pct,0.17732304,0.20140733,0.19853033,0.22978069,0.19295865,nmi,0.22978069
general,gen_fuel_other_renewables_pct,0.20382757,0.19797945,0.19949771,0.1978731,0.2008222,pearson,0.20382757
general,gen_fuel_solar_pct,0.20170678,0.19944052,0.19972411,0.19861765,0.20051095,pearson,0.20170678
general,gen_fuel_wind_pct,0.19976436,0.19974273,0.20011097,0.2005542,0.19982772,nmi,0.2005542
general,forecast_load_mw_latest_available,0.22343212,0.19828393,0.20674881,0.16074947,0.21078573,pearson,0.22343212
general,forecast_load_mw_day_ahead,0.14776564,0.17050692,0.17778528,0.3471118,0.15683046,nmi,0.3471118
general,rmccp,0.19251078,0.20312391,0.20336466,0.20638801,0.19461264,nmi,0.20638801
general,rmpcp,0.20268928,0.2104494,0.20268798,0.17693125,0.20724213,spearman,0.2104494
general,total_pjm_loc_credit,0.20477502,0.2161977,0.20606332,0.15425806,0.21870594,distance_corr,0.21870594
general,total_pjm_reg_purchases,0.20589808,0.19948095,0.19960707,0.19266139,0.20235252,pearson,0.20589808
general,total_pjm_self_sched_reg,0.19948699,0.19952652,0.19978613,0.20143948,0.19976091,nmi,0.20143948
general,total_pjm_assigned_reg,0.20336398,0.20202525,0.20003106,0.19256793,0.20201181,pearson,0.20336398
general,total_pjm_rmccp_cr,0.19623093,0.19834858,0.20353645,0.2097927,0.19209135,nmi,0.2097927
