node_type,target_field,pearson,spearman,kendall,nmi,distance_corr
confidential,net_actual_interchange_mw,0.1756107,0.1790374,0.2799019,0.18835294,0.17709707
confidential,gross_actual_interchange_mw,0.031445105,0.03273431,0.036680788,0.8703793,0.028760493
confidential,total_gen,0.06344477,0.056461073,0.08776374,0.73951405,0.052816406
confidential,metered_load_mw,0.073111445,0.05337312,0.102889806,0.71265864,0.057967033
confidential,total_losses,0.18087818,0.14746499,0.100514635,0.4495598,0.12158239
confidential,congestion_price_da,0.116736874,0.12038619,0.111537956,0.4996162,0.15172271
confidential,congestion_price_rt,0.08804943,0.127087,0.124879554,0.1754555,0.48452854
confidential,marginal_loss_price_da,0.22750425,0.13533482,0.14329094,0.09680467,0.3970653
confidential,total_lmp_da,0.544045,0.050770316,0.11023391,0.23024972,0.064701125
confidential,da_as_total_mw_primary_reserve,0.29835474,0.088951685,0.09020299,0.4235448,0.09894578
confidential,da_as_total_mw_synchronized_reserve,0.08990781,0.08667502,0.095772475,0.6370245,0.09062014
confidential,da_as_total_mw_thirty_minutes_reserve,0.24587968,0.21642148,0.20654896,0.14287408,0.18827581
