confidential_field,test_r2,test_mse,used_in_loss
metered_load_mw,0.9674991369247437,0.014068285003304482,True
da_as_total_mw_primary_reserve,0.9586244225502014,0.057291921228170395,True
total_gen,0.941591203212738,0.02672557905316353,True
total_lmp_da,0.8967710733413696,0.044880256056785583,True
da_as_total_mw_synchronized_reserve,0.8765075206756592,0.10378225147724152,True
total_losses,0.6983511447906494,0.26495805382728577,True
congestion_price_rt,0.47087621688842773,0.8657310009002686,True
marginal_loss_price_da,0.46359896659851074,0.2941499650478363,True
da_as_total_mw_thirty_minutes_reserve,0.4459981918334961,0.3980494737625122,True
congestion_price_da,0.3207787275314331,1.1529408693313599,True
gross_actual_interchange_mw,-0.5551137924194336,0.9090884923934937,False
net_actual_interchange_mw,-1.9484992027282715,2.277147054672241,False
