field,probe_r2,model_r2,delta,used
net_actual_interchange_mw,0.2481899560136845,-1.2013261318206787,-1.4495160878343631,True
gross_actual_interchange_mw,0.2460934792895835,0.07427775859832764,-0.17181572069125586,True
total_gen,0.9906449538219424,0.9361003190279007,-0.0545446347940417,True
metered_load_mw,0.9762308832723112,0.9636010490357876,-0.01262983423652364,True
total_losses,0.6540839836602339,0.6513049602508545,-0.002779023409379411,True
congestion_price_da,0.0475838272605031,0.2235773801803589,0.1759935529198558,True
congestion_price_rt,0.4561738508473963,0.4102626442909241,-0.04591120655647224,True
marginal_loss_price_da,0.4407231017762543,0.4524480700492859,0.0117249682730316,True
total_lmp_da,0.9299314144617218,0.855683222413063,-0.07424819204865873,True
da_as_total_mw_primary_reserve,0.9752278189577616,0.9653128162026405,-0.009915002755121027,True
da_as_total_mw_synchronized_reserve,0.9418431110456468,0.930435948073864,-0.011407162971782792,True
da_as_total_mw_thirty_minutes_reserve,0.4569040380045041,0.3610873818397522,-0.09581665616475188,True
