target_field,degree,attention_entropy,attention_entropy_normalized
net_actual_interchange_mw,19,1.9714992046356201,0.6695670104169535
gross_actual_interchange_mw,19,0.7568871974945068,0.2570565064686037
total_gen,27,1.8059916496276855,0.5479614808172103
metered_load_mw,30,1.7098724842071533,0.5027266260482488
total_losses,22,2.1513803005218506,0.6960047728184537
congestion_price_da,20,2.780771255493164,0.9282442493414782
congestion_price_rt,19,1.8065686225891113,0.6135527465067536
marginal_loss_price_da,23,2.1317155361175537,0.6798658805644955
total_lmp_da,29,1.5795034170150757,0.4690717705730715
da_as_total_mw_primary_reserve,18,1.3832696676254272,0.4785784610047109
da_as_total_mw_synchronized_reserve,15,1.2900398969650269,0.47637222398608586
da_as_total_mw_thirty_minutes_reserve,24,2.2214176654815674,0.6989867963433325
