confidential_field,test_r2,test_mse,used_in_loss
da_as_total_mw_primary_reserve,0.9579895101487637,0.058086883276700974,True
metered_load_mw,0.9578399769961834,0.01823035627603531,True
da_as_total_mw_synchronized_reserve,0.912413127720356,0.07376818358898163,True
total_gen,0.910534679889679,0.04092441126704216,True
total_lmp_da,0.8103814274072647,0.08235321193933487,True
total_losses,0.6316676437854767,0.32336267828941345,True
congestion_price_rt,0.46346884965896606,0.8768563270568848,True
marginal_loss_price_da,0.46090954542160034,0.29525700211524963,True
da_as_total_mw_thirty_minutes_reserve,0.2214166522026062,0.5587363839149475,True
congestion_price_da,0.1935875415802002,1.3667882680892944,True
gross_actual_interchange_mw,0.01877826452255249,0.5728956460952759,True
net_actual_interchange_mw,-1.1562681198120117,1.6766902208328247,True
