数据,目标,方法,k,剩余最大V,剩余危险组合
RTS-GMLC,Y_机组出力_223_STEAM_3,pearson,0,0.9950751066207886,60
RTS-GMLC,Y_机组出力_223_STEAM_3,pearson,1,0.9934831857681274,59
RTS-GMLC,Y_机组出力_223_STEAM_3,pearson,2,0.9934831857681274,58
RTS-GMLC,Y_机组出力_223_STEAM_3,pearson,3,0.9929665327072144,57
RTS-GMLC,Y_机组出力_223_STEAM_3,pearson,4,0.9899468421936035,56
RTS-GMLC,Y_机组出力_223_STEAM_3,pearson,5,0.9899468421936035,55
RTS-GMLC,Y_机组出力_223_STEAM_3,pearson,6,0.9899468421936035,54
RTS-GMLC,Y_机组出力_223_STEAM_3,pearson,7,0.9863810539245605,53
RTS-GMLC,Y_机组出力_223_STEAM_3,pearson,8,0.9852306246757507,52
RTS-GMLC,Y_机组出力_223_STEAM_3,pearson,9,0.9773703813552856,51
RTS-GMLC,Y_机组出力_223_STEAM_3,pearson,10,0.9749926328659058,32
RTS-GMLC,Y_机组出力_223_STEAM_3,pearson,11,0.9749926328659058,18
RTS-GMLC,Y_机组出力_223_STEAM_3,pearson,12,0.9749926328659058,10
RTS-GMLC,Y_机组出力_223_STEAM_3,pearson,13,0.9698789119720459,3
RTS-GMLC,Y_机组出力_223_STEAM_3,pearson,14,0.5363897085189819,2
RTS-GMLC,Y_机组出力_223_STEAM_3,pearson,15,0.4860830307006836,0
RTS-GMLC,Y_机组出力_223_STEAM_3,pearson,16,0.47886085510253906,0
RTS-GMLC,Y_机组出力_223_STEAM_3,pearson,17,0.43853557109832764,0
RTS-GMLC,Y_机组出力_223_STEAM_3,pearson,18,0.43853557109832764,0
RTS-GMLC,Y_机组出力_223_STEAM_3,pearson,19,0.43853557109832764,0
RTS-GMLC,Y_机组出力_223_STEAM_3,pearson,20,0.4032078981399536,0
RTS-GMLC,Y_机组出力_223_STEAM_3,pearson,21,0.29965388774871826,0
RTS-GMLC,Y_机组出力_223_STEAM_3,pearson,22,0.04330158233642578,0
RTS-GMLC,Y_机组出力_223_STEAM_3,pearson,23,0.0,0
RTS-GMLC,Y_机组出力_223_STEAM_3,spearman,0,0.9950751066207886,60
RTS-GMLC,Y_机组出力_223_STEAM_3,spearman,1,0.9934831857681274,59
RTS-GMLC,Y_机组出力_223_STEAM_3,spearman,2,0.9934831857681274,58
